"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",58221,0.0708174396201078,55696.6,0.0677469049822078
537011,"Segatella copri",47999,0.0583838526360859,47980.4,0.0583612748004805
411479,"Bacteroides uniformis",36964,0.0449613685460172,36669.1,0.0446026987346441
301302,"Roseburia faecis",34435,0.0418852052235175,32568.5,0.0396148703763627
28116,"Bacteroides ovatus",34378,0.0418158729540899,33349.3,0.040564629651685
1150298,"Fusicatenibacter saccharivorans",32356,0.0393564019228149,32509.1,0.0395426834954505
300267,"Shigella dysenteriae",27954,0.0340020045540354,27719,0.0337161626777727
449673,"Bacteroides stercoris",26823,0.0326263063659187,27728,0.0337271266094562
40520,"Blautia obeum",24456,0.029747192651266,23789.2,0.028936085271187
484018,"Phocaeicola plebeius",24061,0.0292667321876885,23874.7,0.0290401504791347
515619,"Agathobacter rectalis",21480,0.0261273183737812,21391.2,0.0260193659598524
435591,"Parabacteroides distasonis",20572,0.0250228674853551,20581.8,0.0250348221340818
226186,"Bacteroides thetaiotaomicron",20075,0.0244183387501703,20996.5,0.0255392647511445
411462,"Dorea longicatena",19180,0.0233297004845961,18683.7,0.0227260811821755
47678,"Bacteroides caccae",18866,0.0229477648249421,19081.2,0.023209557618625
349741,"Akkermansia muciniphila",18467,0.0224624389389487,18467,0.0224624389389487
206672,"Bifidobacterium longum",16403,0.019951880972306,16374,0.0199165655136768
411469,"Anaerobutyricum hallii",15681,0.0190736722262227,15883,0.0193193708376898
649756,"Anaerostipes hadrus",15416,0.0187513379911644,15440.4,0.0187810245043672
246787,"Bacteroides cellulosilyticus",14796,0.0179971975166884,15235.5,0.0185318173995259
411474,"Coprococcus eutactus",14145,0.0172053500184886,13965.7,0.0169872544567591
515620,"Lachnospira eligens",14144,0.0172041336628846,14226.7,0.0173047187261499
622312,"Roseburia inulinivorans",13784,0.0167662456454469,14996.8,0.0182414060683078
742726,"Barnesiella intestinihominis",12953,0.0157554541385283,13354.5,0.0162438365423612
411460,"[Ruminococcus] torques",12868,0.0156520639121889,12886.1,0.0156740675799318
536231,"Roseburia intestinalis",12718,0.0154696105715898,12787,0.0155535613116224
411903,"Collinsella aerofaciens",11891,0.0144636844870872,11882.1,0.0144528070814378
295405,"Bacteroides fragilis",11499,0.0139868730903217,12008.7,0.0146068523281531
367928,"Bifidobacterium adolescentis",11431,0.0139041609092501,11456.6,0.0139352781533439
679935,"Alistipes finegoldii",10673,0.012982163361423,10318.3,0.0125507142294416
445970,"Alistipes putredinis",10460,0.0127230796177724,10740.9,0.0130647788321127
511680,"Eshraghiella crossota",10082,0.0122632971994629,9678.9,0.0117729978333337
709991,"Odoribacter splanchnicus",8303,0.0100994005799584,8352.6,0.0101597291846644
411461,"Dorea formicigenerans",7144,0.00868964443492984,7247.9,0.00881599308227245
1002367,"Leyella stercorea",7016,0.00853395091761867,7183.5,0.00873767849001765
1282887,"Lachnospira multipara",6817,0.00829189615242395,6822.1,0.00829811977438441
585394,"Roseburia hominis",5428,0.00660237821847693,6434.9,0.00782715193799116
471875,"[Ruminococcus] lactaris",5135,0.00624598602650682,5224.2,0.00635447607027897
1550024,"Ruthenibacterium lactatiformans",4617,0.00561591382363817,4692.4,0.00570766946098437
626939,"Phascolarctobacterium succinatutens",4598,0.00559280306716229,4585.3,0.00557738436698722
702459,"Bifidobacterium bifidum",4080,0.00496273086429364,4082.1,0.00496532869357821
745368,"Gemmiger formicilis",3541,0.00430711519374112,3773.9,0.00459042178956521
NA,"unknown genome; accession ID isNZ_GG662014.1",3486,0.00424021563552148,3720.7,0.00452571137761799
411483,"Faecalibacterium duncaniae",3291,0.00400302629274274,3281.7,0.0039917154579836
1384063,"Mediterraneibacter gnavus",3288,0.00399937722593076,3349.9,0.00407472734344581
868129,"Prevotella bivia",3234,0.0039336940233151,3244.3,0.00394624217285662
470145,"Phocaeicola coprocola",3233,0.00393247766771111,3612.2,0.00439373274055059
717959,"Alistipes shahii",3225,0.00392274682287916,3288.8,0.00400037464801969
266264,"Cupriavidus metallidurans",3174,0.00386071268707549,3173.9,0.00386057253816142
NA,"unknown genome; accession ID isNZ_GG662007.1",3098,0.00376826966117198,3120,0.00379507507064431
1501391,"Alistipes inops",2970,0.00361257614386081,2970.1,0.0036126969137747
999419,"Parabacteroides johnsonii",2895,0.00352134947356129,2902.1,0.0035300252575158
1121101,"Bacteroides salyersiae",2651,0.00322455870618687,2678.8,0.00325837293300998
292800,"Flavonifractor plautii",2506,0.00304818714360781,2510.5,0.00305366543274971
1384484,"Adlercreutzia equolifaciens",2431,0.00295696047330829,2431.9,0.00295808041680832
1304,"Streptococcus salivarius",2419,0.00294236420606037,2321.8,0.00282409590558241
518637,"Holdemanella biformis",2410,0.00293141700562443,2421.8,0.00294575524220618
198214,"Shigella flexneri",2389,0.00290587353794056,2621.3,0.00318847099485737
1051074,"Streptococcus thermophilus",2267,0.00275747815425335,2363.1,0.0028743522291161
1256908,"Eubacterium ramulus",2233,0.00271612206371757,2254.1,0.00274178224971522
762966,"Parasutterella excrementihominis",1986,0.00241568222953117,1987,0.00241685250851267
762982,"Paraprevotella xylaniphila",1750,0.00212862230698869,1753.3,0.00213263184439242
445973,"Intestinibacter bartlettii",1671,0.0020325302142732,1665.8,0.00202617874447513
411463,"Eubacterium ventriosum",1628,0.00198022692330148,1687,0.00205197538197977
1235811,"Prevotella disiens",1510,0.00183669696203024,1308.6,0.0015917757741036
518635,"Bifidobacterium angulatum",1407,0.00171141233481891,1406.8,0.0017111338486105
1122992,"Hoylesella timonensis",1369,0.00166519082186715,1537.8,0.00187055806329689
1069534,"Ligilactobacillus ruminis",1339,0.00162870015374735,1339.1,0.00162878624879834
479437,"Eggerthella lenta",1308,0.00159099313002355,1325.3,0.00161201887619208
568816,"Acidaminococcus intestini",1263,0.00153625712784384,1263,0.00153620863069468
NA,"unknown genome; accession ID isNZ_GG662012.1",1242,0.00151071366015998,1243.2,0.00151211386935274
