"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",4999,0.0501555131935387,4704.8,0.0472075644024135
537011,"Segatella copri",4796,0.048118792013645,4793.9,0.0481016969566797
1150298,"Fusicatenibacter saccharivorans",4040,0.0405337614126618,3971.6,0.0398513189880463
386585,"Escherichia coli",3633,0.0364502859436139,3633,0.0364531819227745
301302,"Roseburia faecis",3613,0.0362496237584027,3502.4,0.0351432192680479
820,"Bacteroides uniformis",3339,0.0335005518210093,3457.1,0.0346890660505953
853,"Faecalibacterium prausnitzii",3166,0.0317648239189325,3185.2,0.0319600990296827
28116,"Bacteroides ovatus",3108,0.03118290358182,3038.8,0.0304911339911764
449673,"Bacteroides stercoris",2808,0.0281729708036521,2663,0.026720649714861
823,"Parabacteroides distasonis",2701,0.0270994281127721,2674.2,0.0268330842516436
484018,"Phocaeicola plebeius",2468,0.0247617136550617,2332.4,0.0234038030593887
239935,"Akkermansia muciniphila",2123,0.0213002909601686,2123,0.0213022145071793
818,"Bacteroides thetaiotaomicron",2120,0.0212701916323869,2089.7,0.0209682833115445
565042,"Bifidobacterium longum",2097,0.021039430119394,2092,0.0209911368147999
997873,"Bacteroides caccae",2090,0.0209691983545701,2181.5,0.0218888744969597
39491,"Agathobacter rectalis",1975,0.0198153907896057,1986.8,0.0199359138163506
649756,"Anaerostipes hadrus",1948,0.0195444968395706,1954.2,0.0196082051844947
88431,"Dorea longicatena",1824,0.0183003912912612,1855.2,0.018615323168172
357276,"Phocaeicola dorei",1822,0.01828032507274,1946.9,0.0195356138116763
39488,"Anaerobutyricum hallii",1716,0.0172168154911207,1702.6,0.0170835133498442
622312,"Roseburia inulinivorans",1693,0.0169860539781278,1670.2,0.0167584549492897
246787,"Bacteroides cellulosilyticus",1580,0.0158523126316846,1605.6,0.0161108117809655
33039,"[Ruminococcus] torques",1545,0.015501153807565,1587.1,0.0159246389522637
470146,"Coprococcus comes",1524,0.0152904585130932,1499.2,0.0150434300573492
515620,"Lachnospira eligens",1448,0.0145279422092907,1461.7,0.0146669027968501
46503,"Parabacteroides merdae",1415,0.0141968496036922,1442.2,0.0144710687707501
