"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
357276,"Phocaeicola dorei",18607,0.186116529132283,16472.2,0.164763312052179
820,"Bacteroides uniformis",13263,0.132663165791448,13420.2,0.13423580440848
435590,"Phocaeicola vulgatus",12805,0.128082020505126,14764,0.147676546963373
537011,"Segatella copri",10270,0.102725681420355,10270.8,0.102734152978548
39491,"Agathobacter rectalis",10025,0.100275068767192,9982.7,0.0998514822407618
853,"Faecalibacterium prausnitzii",8978,0.0898024506126532,9019.3,0.0902160187033181
445970,"Alistipes putredinis",7311,0.0731282820705176,7328.7,0.0733057488429595
411903,"Collinsella aerofaciens",7101,0.0710277569392348,7101,0.0710277569386562
367928,"Bifidobacterium adolescentis",6042,0.0604351087771943,6042,0.0604351087530377
40518,"Ruminococcus bromii",5343,0.05344336084021,5344,0.0534533770352929
2447885,"Bacteroides faecalis",86,0.000860215053763441,77.8,0.000777729538556209
449673,"Bacteroides stercoris",25,0.000250062515628907,22.3,0.000223051417000917
246787,"Bacteroides cellulosilyticus",21,0.000210052513128282,19.9,0.000198975185974865
371601,"Bacteroides xylanisolvens",18,0.000180045011252813,18.1,0.000181228425343979
2838470,"Candidatus Bacteroides intestinigallinarum",16,0.000160040010002501,15.6,0.000156374983135662
310298,"Phocaeicola coprocola",11,0.000110027506876719,10.4,0.000104520787169352
762982,"Paraprevotella xylaniphila",9,9.00225056264066e-05,12.6,0.000126116251235526
NA,"unknown genome; accession ID isNZ_CP182814.1",8,8.00200050012503e-05,11.2,0.00011153470718672
3038145,"Palleniella muris",7,7.0017504376094e-05,8.5,8.46780097996063e-05
39490,"Eubacterium ramulus",7,7.0017504376094e-05,6.2,6.20891566714459e-05
2949651,"Parabacteroides sp. TA-V-105",5,5.00125031257814e-05,6.6,6.62664739133409e-05
1217282,"Parabacteroides faecis",3,3.00075018754689e-05,5.4,5.35724141863687e-05
536231,"Roseburia intestinalis",3,3.00075018754689e-05,3,2.95849952454985e-05
411483,"Faecalibacterium duncaniae",2,2.00050012503126e-05,2,1.99991723078037e-05
2763064,"Roseburia zhanii",2,2.00050012503126e-05,2.8,2.8339458270115e-05
518635,"Bifidobacterium angulatum",1,1.00025006251563e-05,1,9.80706835798118e-06
2751153,"Coprobacter secundus",1,1.00025006251563e-05,0.7,6.98778246470422e-06
823,"Parabacteroides distasonis",1,1.00025006251563e-05,1.4,1.35806487543974e-05
116085,"Coprococcus catus",1,1.00025006251563e-05,0.8,8.02782217151898e-06
1851427,"Faecalibacterium butyricigenerans",1,1.00025006251563e-05,1,1.00015956617495e-05
2897776,"Amedibacillus hominis",1,1.00025006251563e-05,1,1.0002522163176e-05
3030638,"Faecalibacterium taiwanense",1,1.00025006251563e-05,1,1.00003943933366e-05
