"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",8481,0.0851394898256252,7989.7,0.0802083500175129
537011,"Segatella copri",8455,0.0848784797165029,8454.9,0.0848786559493371
820,"Bacteroides uniformis",6032,0.0605543453163744,6177,0.0620105839839303
853,"Faecalibacterium prausnitzii",5616,0.0563781835704175,5609.1,0.0563093674782869
39491,"Agathobacter rectalis",3412,0.0342525573971269,3389.4,0.0340259732272657
357276,"Phocaeicola dorei",3101,0.0311304749380101,3394,0.0340719922304372
1150298,"Fusicatenibacter saccharivorans",2385,0.0239426580867959,2371.1,0.023803673174424
386585,"Escherichia coli",2228,0.0223665585817112,2227.9,0.0223657787869962
301302,"Roseburia faecis",2219,0.0222762089285535,2189.2,0.0219768669354036
411903,"Collinsella aerofaciens",2095,0.0210313914850471,2094.9,0.0210307719161507
445970,"Alistipes putredinis",2084,0.0209209641311877,2068.8,0.0207681493894293
367928,"Bifidobacterium adolescentis",1969,0.019766496340839,1967.6,0.0197524922709066
40518,"Ruminococcus bromii",1837,0.0184413680945258,1836.4,0.0184353757201487
28116,"Bacteroides ovatus",1797,0.0180398140804915,1764.5,0.017713416222039
823,"Parabacteroides distasonis",1613,0.0161926656159337,1622.7,0.0162901376948126
449673,"Bacteroides stercoris",1559,0.0156505676969873,1563.9,0.0156998893472464
484018,"Phocaeicola plebeius",1386,0.0139138465862889,1389.8,0.013952471506912
997873,"Bacteroides caccae",1309,0.0131408551092729,1320.9,0.0132604470558328
239935,"Akkermansia muciniphila",1305,0.0131006997078695,1305,0.0131008312251536
818,"Bacteroides thetaiotaomicron",1292,0.0129701946533083,1269.5,0.0127445226623378
565042,"Bifidobacterium longum",1284,0.0128898838505014,1284.5,0.0128951563431893
649756,"Anaerostipes hadrus",1202,0.0120666981217311,1203.6,0.0120829344200024
622312,"Roseburia inulinivorans",1119,0.0112334735426099,1081.3,0.0108547276680927
88431,"Dorea longicatena",1101,0.0110527742362945,1111.9,0.0111620811722876
39488,"Anaerobutyricum hallii",1054,0.0105809482698041,1055.5,0.0105956313060153
33039,"[Ruminococcus] torques",1045,0.0104905986166464,1021.2,0.0102522237956363
46503,"Parabacteroides merdae",949,0.00952686898296407,958.1,0.00961852387716476
246787,"Bacteroides cellulosilyticus",934,0.0093762862277012,945,0.00948652861135526
515620,"Lachnospira eligens",901,0.0090450041661229,904.7,0.00908257694796183
471870,"Bacteroides intestinalis",894,0.00897473221366689,862,0.00865344187496287
470146,"Coprococcus comes",866,0.00869364440384287,886.2,0.00889630578381464
1125630,"Klebsiella pneumoniae",848,0.00851294509752743,884.3,0.00887733648388188
33043,"Coprococcus eutactus",844,0.008472789696124,846,0.00849248750512391
1121115,"Blautia wexlerae",828,0.00831216809051027,839.3,0.0084260158452022
411470,"Mediterraneibacter gnavus",805,0.00808127453244054,797.3,0.00800366826152744
742726,"Barnesiella intestinihominis",786,0.00789053637577425,795.7,0.00798767118701064
411459,"Blautia obeum",774,0.00777007017156395,780.4,0.00783422473314259
116085,"Coprococcus catus",764,0.00766968166805537,777.3,0.00780303316191688
585394,"Roseburia hominis",762,0.00764960396735366,784,0.00787042489204767
272559,"Bacteroides fragilis",758,0.00760944856595023,760.4,0.00763322306470245
536231,"Roseburia intestinalis",749,0.00751909891279251,763.1,0.00766063265265867
1121098,"Phocaeicola massiliensis",725,0.00727816650437192,735.2,0.00738085497837128
214856,"Alistipes finegoldii",711,0.00713762259945991,704.1,0.00706840440001711
1550024,"Ruthenibacterium lactatiformans",649,0.00651521387770672,649.8,0.0065235752614862
28052,"Lachnospira pectinoschiza",614,0.0061638541154267,614,0.00616391599405694
674529,"Bacteroides faecis",581,0.00583257205384839,592.7,0.0059498326209393
371601,"Bacteroides xylanisolvens",569,0.0057121058496381,627.9,0.00630316769741489
119219,"Cupriavidus metallidurans",567,0.00569202814893638,567,0.00569208526457037
483215,"Bacteroides finegoldii",552,0.00554144539367352,550.4,0.00552564562768287
28111,"Bacteroides eggerthii",550,0.0055213676929718,552.5,0.00554694825296356
45851,"Eshraghiella crossota",544,0.00546113459086665,548.4,0.00550561701145938
28118,"Odoribacter splanchnicus",512,0.0051398913796392,512.9,0.00514876999950018
868129,"Prevotella bivia",498,0.00499934747472719,487.9,0.00489769071684354
347253,"Streptococcus salivarius",490,0.00491903667192033,491.1,0.00493027035538604
745368,"Gemmiger formicilis",483,0.00484876471946433,490.9,0.00492789416111145
717959,"Alistipes shahii",479,0.0048086093180609,503.8,0.0050571442234559
310298,"Phocaeicola coprocola",474,0.00475841506630661,476,0.00477840204714027
292800,"Flavonifractor plautii",472,0.00473833736560489,471.9,0.00473734099667221
1735,"Holdemanella biformis",444,0.00445724955578087,443.7,0.00445415354423883
1501391,"Alistipes inops",428,0.00429662795016715,428,0.00429667108380516
2173,"Methanobrevibacter smithii",425,0.00426651139911457,425,0.00426655423041401
291644,"Bacteroides salyersiae",413,0.00414604519490428,414.6,0.00416209790835325
1002367,"Leyella stercorea",408,0.00409585094314999,413.3,0.00414915262085907
1308,"Streptococcus thermophilus",374,0.00375453003122082,372.9,0.00374394483022102
2590157,"Klebsiella variicola",366,0.00367421922841396,329.8,0.00331092883837924
39486,"Dorea formicigenerans",364,0.00365414152771225,371.8,0.00373206494650766
762982,"Paraprevotella xylaniphila",351,0.00352363647315109,329.3,0.00330589156648183
1384484,"Adlercreutzia equolifaciens",350,0.00351359762280024,350,0.00351363289563506
626940,"Phascolarctobacterium succinatutens",337,0.00338309256823909,337.1,0.00338416886612502
39490,"Eubacterium ramulus",312,0.00313212130946764,320.5,0.00321745890153222
471875,"[Ruminococcus] lactaris",303,0.00304177165630992,303.1,0.00304289126994011
1628085,"Agathobaculum butyriciproducens",288,0.00289118890104705,288.2,0.00289314214350049
762966,"Parasutterella excrementihominis",284,0.00285103349964362,284,0.00285106212102959
566552,"Bifidobacterium catenulatum",282,0.00283095579894191,279.7,0.00280748491612602
679190,"Hoylesella buccalis",279,0.00280083924788933,282.4,0.00283478061226224
1681,"Bifidobacterium bifidum",266,0.00267033419332818,266.6,0.00267652693846096
33025,"Phascolarctobacterium faecium",262,0.00263017879192475,262,0.00263020519616111
39496,"Eubacterium ventriosum",230,0.0023089355806973,235.4,0.00236354649826535
261299,"Intestinibacter bartlettii",228,0.00228885787999558,228.3,0.00229172651547954
572010,"Slackia isoflavoniconvertens",226,0.00226878017929387,226,0.00226929657305699
626929,"Bacteroides clarus",218,0.002188469376487,221.5,0.00222380641315659
901,"Desulfovibrio piger",214,0.00214831397508357,214,0.00214833554190258
547043,"Bifidobacterium pseudocatenulatum",213,0.00213827512473272,215.5,0.00216333934406318
84112,"Eggerthella lenta",213,0.00213827512473272,213,0.00213846972723433
518635,"Bifidobacterium angulatum",195,0.00195757581841727,195.1,0.00195894632558951
1069534,"Ligilactobacillus ruminis",193,0.00193749811771556,193.1,0.00193825099791141
1122992,"Hoylesella timonensis",193,0.00193749811771556,193.9,0.00194662289926728
187327,"Acidaminococcus intestini",183,0.00183710961420698,183.2,0.0018393923347092
471189,"Gordonibacter pamelaeae",178,0.00178691536245269,178,0.00178726853696494
1352,"Enterococcus faecium",174,0.00174675996104926,174,0.00174677749668715
592028,"Dialister invisus",172,0.00172668226034754,172,0.00172669959442637
28130,"Prevotella disiens",161,0.00161625490648811,163.8,0.00164406003478012
1122981,"Prevotella corporis",158,0.00158613835543554,162.9,0.00163570145474481
1260,"Finegoldia magna",155,0.00155602180438296,155,0.00155603742520981
760570,"Streptococcus parasanguinis",153,0.00153594410368125,153,0.00153594687014859
1981510,"Monoglobus pectinilyticus",147,0.0014757110015761,147.5,0.00148088404197781
555970,"Bifidobacterium animalis",144,0.00144559445052353,144,0.00144560896277557
1064535,"Megasphaera elsdenii",125,0.00125485629385723,125,0.00125486889129824
29466,"Veillonella parvula",113,0.00113439008964693,113,0.00113440147773361
2764323,"Catenibacterium faecis",61,0.000612369871402327,60.9,0.000611481636795469
3035606,"Catenibacterium tridentinum",26,0.000261010109122303,26.4,0.000264861108531897
2939491,"Parabacteroides leei",9,9.03496531577204e-05,8.4,8.45766544629505e-05
871665,"Blautia faecis",7,7.02719524560047e-05,5,5.03301733505009e-05
290052,"Acetivibrio ethanolgignens",5,5.01942517542891e-05,4.2,4.17666874787123e-05
2763030,"Blautia segnis",5,5.01942517542891e-05,4,4.00372641688263e-05
1472417,"Butyricimonas paravirosa",5,5.01942517542891e-05,4.2,4.23344073653519e-05
2763064,"Roseburia zhanii",4,4.01554014034313e-05,4.4,4.40249731628756e-05
1982626,"Faecalibacillus intestinalis",4,4.01554014034313e-05,4,4.0161918271702e-05
1912896,"Bacteroides koreensis",4,4.01554014034313e-05,4,4.01740331211338e-05
2497436,"Enterobacter quasiroggenkampii",4,4.01554014034313e-05,3.9,3.8890651806187e-05
537007,"Blautia hansenii",3,3.01165510525735e-05,3.8,3.84641416385687e-05
624,"Shigella sonnei",3,3.01165510525735e-05,2.7,2.7273287535946e-05
411483,"Faecalibacterium duncaniae",3,3.01165510525735e-05,3,3.02001456606986e-05
3133154,"Coprococcus intestinihominis",3,3.01165510525735e-05,3,3.03896961263383e-05
3133152,"Blautia intestinihominis",3,3.01165510525735e-05,3,3.02383788784021e-05
2763042,"Dysosmobacter segnis",2,2.00777007017156e-05,2.8,2.80023534617186e-05
2714358,"Pusillibacter faecalis",2,2.00777007017156e-05,2.5,2.50795048883258e-05
2666183,"Pseudomonas juntendi",2,2.00777007017156e-05,2,2.00784665693385e-05
3078042,"Pilosibacter fragilis",2,2.00777007017156e-05,2.4,2.36669948727826e-05
871325,"Bacteroides faecichinchillae",2,2.00777007017156e-05,2,2.0104661236248e-05
290338,"Citrobacter koseri",1,1.00388503508578e-05,1.1,1.05818381044425e-05
1410657,"Kandleria vitulina",1,1.00388503508578e-05,1,1.00425689919565e-05
1410674,"Sharpea azabuensis",1,1.00388503508578e-05,1,1.00391003997001e-05
1972431,"Phytobacter ursingii",1,1.00388503508578e-05,1,9.97011753630907e-06
621,"Shigella boydii",1,1.00388503508578e-05,1.3,1.29050785206682e-05
1655491,"Leeuwenhoekiella nanhaiensis",1,1.00388503508578e-05,1,1.00386788180783e-05
1912894,"Bacteroides kribbi",1,1.00388503508578e-05,1.2,1.1716640245218e-05
2137581,"Ellagibacter isourolithinifaciens",1,1.00388503508578e-05,1,1.00399692273215e-05
671267,"Phocaeicola sartorii",1,1.00388503508578e-05,1.4,1.38084237632069e-05
2763065,"Ruminococcus hominis",1,1.00388503508578e-05,1,1.00495384895992e-05
67826,"Citrobacter sedlakii",1,1.00388503508578e-05,0.5,5.05228445393604e-06
2838470,"Candidatus Bacteroides intestinigallinarum",1,1.00388503508578e-05,1.1,1.13984209465888e-05
332186,"Shewanella xiamenensis",1,1.00388503508578e-05,1,1.00392193703271e-05
3085177,"Xenorhabdus sp. TCT-1",1,1.00388503508578e-05,0.2,1.86323255113198e-06
3133155,"Faecalibacterium intestinale",1,1.00388503508578e-05,1.4,1.40247538628488e-05
1903262,"Bacteroides ndongoniae",1,1.00388503508578e-05,0.8,7.55146610493546e-06
1917883,"Bacteroides togonis",1,1.00388503508578e-05,1.5,1.53037100605169e-05
1871030,"Merdibacter massiliensis",1,1.00388503508578e-05,1.6,1.60021623883478e-05
754,"Pasteurella dagmatis",1,1.00388503508578e-05,0.2,1.86323255113198e-06
2941338,"Streptococcus caecimuris",1,1.00388503508578e-05,1,1.00527441587712e-05
