"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",5030654,0.569851674319206,5030638.4,0.569849911979839
435590,"Phocaeicola vulgatus",1395723,0.1581017276155,1383745,0.156744908424493
411479,"Bacteroides uniformis",858421,0.0972383797654872,870247.3,0.098578013385719
515619,"Agathobacter rectalis",510063,0.057777826612261,509627.3,0.0577284685778121
411903,"Collinsella aerofaciens",303117,0.034335839826117,303101,0.034334022519383
445970,"Alistipes putredinis",295249,0.0334445853344459,295403.2,0.0334620501843966
367928,"Bifidobacterium adolescentis",282469,0.0319969198027278,282469,0.0319969197962044
411483,"Faecalibacterium duncaniae",89648,0.0101549545843082,90017.2,0.0101967717338083
1002367,"Leyella stercorea",10123,0.00114669156319105,10108.7,0.00114507725396547
745368,"Gemmiger formicilis",9956,0.00112777449403637,9835.1,0.0011140807320526
1650663,"Allofournierella massiliensis",4150,0.000470094832287155,3452.3,0.00039106451833062
1150298,"Fusicatenibacter saccharivorans",3826,0.000433393452609797,3400.7,0.000385218651588008
39482,"Faecalicatena contorta",3328,0.000376982072735338,3320.2,0.000376099998195845
295405,"Bacteroides fragilis",2763,0.000312981210026364,2686.4,0.000304303322308566
585394,"Roseburia hominis",2561,0.000290099485659616,2895.9,0.000328035226184765
226186,"Bacteroides thetaiotaomicron",2392,0.000270955864778524,2403.5,0.000272262350657813
40520,"Blautia obeum",2266,0.000256683106015107,2374.4,0.00026896020821701
999419,"Parabacteroides johnsonii",2260,0.000256003450835897,2179.5,0.000246885600326323
622312,"Roseburia inulinivorans",1707,0.000193361898485343,2042.1,0.000231319479574338
1121094,"Phocaeicola barnesiae",1439,0.000163003967147281,1450,0.000164245788260278
1871018,"Angelakisella massiliensis",1371,0.000155301208449564,1826,0.000206840919029185
1121323,"Anaerotignum lactatifermentans",1353,0.000153262242911933,1327,0.000150320523289405
763034,"Bacteroides fluxus",1284,0.000145446208351014,1318.9,0.000149400716887422
NA,"unknown genome; accession ID isNZ_EQ973339.1",1258,0.000142501035907769,1117.5,0.000126591426309454
796942,"Stomatobaculum longum",810,9.17534491933966e-05,818.5,9.27200445428958e-05
246787,"Bacteroides cellulosilyticus",733,8.30312077268638e-05,735.4,8.3304381650183e-05
1550024,"Ruthenibacterium lactatiformans",674,7.63479317979621e-05,683.2,7.73906670603282e-05
NA,"unknown genome; accession ID isNZ_DS480350.1",613,6.94381041426569e-05,580.2,6.57225911225437e-05
411474,"Coprococcus eutactus",595,6.73991386050259e-05,610.1,6.91066951961576e-05
1121101,"Bacteroides salyersiae",507,5.74308626432741e-05,591.9,6.70444971321481e-05
36847,"Anaerotignum neopropionicum",447,5.06343108511707e-05,488.1,5.52937000094752e-05
476272,"Blautia hydrogenotrophica",443,5.01812073983638e-05,427.9,4.84717964363452e-05
411467,"Pseudoflavonifractor capillosus",434,4.91617246295483e-05,499,5.65256310533566e-05
1211819,"Holdemania massiliensis",432,4.89351729031448e-05,433.1,4.90612174068856e-05
1650661,"Clostridium phoceensis",428,4.84820694503379e-05,431.3,4.88609633451088e-05
301302,"Roseburia faecis",395,4.4743965964681e-05,431.8,4.89099446367888e-05
511680,"Eshraghiella crossota",383,4.33846556062604e-05,412,4.66640036719714e-05
