"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",560743,0.0712059033764147,544060.9,0.0690875222540652
537011,"Segatella copri",479435,0.0608810137358315,479354.3,0.0608707604584885
411479,"Bacteroides uniformis",354888,0.0450654232642209,356608.5,0.0452839067728331
28116,"Bacteroides ovatus",310407,0.0394170071661398,312459.9,0.0396776954707929
1150298,"Fusicatenibacter saccharivorans",294694,0.0374216931635511,279333.2,0.0354710999689319
449673,"Bacteroides stercoris",270097,0.0342982451573349,276076.1,0.0350574970545808
301302,"Roseburia faecis",249097,0.0316315618979724,256683.4,0.0325949202023171
484018,"Phocaeicola plebeius",241040,0.030608444420797,241347.6,0.0306475035808869
300267,"Shigella dysenteriae",219276,0.0278447446847606,214911,0.0272904523416358
40520,"Blautia obeum",214128,0.0271910263314654,218980.7,0.0278072487917825
515619,"Agathobacter rectalis",212223,0.0269491200643661,209476.8,0.0266003921923124
226186,"Bacteroides thetaiotaomicron",201792,0.0256245403939656,204295.6,0.0259424636967952
411462,"Dorea longicatena",185413,0.02354465443658,185035.2,0.0234966776605179
349741,"Akkermansia muciniphila",182978,0.023235446163411,182978,0.0232354461634111
411469,"Anaerobutyricum hallii",176834,0.0224552508326718,171591.9,0.0217895784755243
435591,"Parabacteroides distasonis",172825,0.0219461682999678,172185.1,0.0218649064613732
47678,"Bacteroides caccae",170097,0.0215997534460849,167895.9,0.0213202483604481
206672,"Bifidobacterium longum",163696,0.0207869229916478,163462,0.0207572120245453
622312,"Roseburia inulinivorans",157024,0.0199396796246732,169230.6,0.0214897397666437
649756,"Anaerostipes hadrus",147613,0.0187446245697275,147716.1,0.0187577165864855
536231,"Roseburia intestinalis",146946,0.0186599256300134,137155.3,0.0174166542373292
515620,"Lachnospira eligens",142818,0.018135731892173,143106.5,0.018172368004911
411474,"Coprococcus eutactus",135237,0.0171730592355432,138037.4,0.0175286689431097
742726,"Barnesiella intestinihominis",134105,0.0170293123093718,135301.7,0.0171812714872855
411460,"[Ruminococcus] torques",129305,0.0164197847072318,129549.5,0.0164508388138764
246787,"Bacteroides cellulosilyticus",127839,0.0162336248187449,129482.7,0.0164423499240427
411903,"Collinsella aerofaciens",118864,0.0150939351876602,118871.7,0.0150949174734014
367928,"Bifidobacterium adolescentis",114048,0.0144823758268464,114274.2,0.0145111021060954
295405,"Bacteroides fragilis",113377,0.0143971689474639,114607,0.0145533598532162
445970,"Alistipes putredinis",111178,0.0141179291147335,113902.8,0.0144639319276321
679935,"Alistipes finegoldii",89821,0.0114059122399619,89089.9,0.0113130779531581
511680,"Eshraghiella crossota",88156,0.0111944823529696,88982.4,0.0112994169930235
411461,"Dorea formicigenerans",85310,0.0108330832788674,83506.9,0.0106041163172168
709991,"Odoribacter splanchnicus",82894,0.0105262877191236,82858.8,0.0105218131128852
1002367,"Leyella stercorea",75208,0.00955028164619691,75365.5,0.00957028193600964
1282887,"Lachnospira multipara",59662,0.00757617412476598,59584.5,0.0075663321803962
585394,"Roseburia hominis",53357,0.00677553422237167,55301.4,0.0070224422627587
471875,"[Ruminococcus] lactaris",49069,0.00623102289779327,49372.5,0.00626956907345607
1550024,"Ruthenibacterium lactatiformans",47676,0.00605413290825556,48321.1,0.00613605471614113
626939,"Phascolarctobacterium succinatutens",45718,0.00580549644054928,45724,0.00580626387372927
702459,"Bifidobacterium bifidum",40555,0.00514987331349744,40478.6,0.00514017798259621
198214,"Shigella flexneri",36736,0.0046649179150448,41085.2,0.00521720201660765
745368,"Gemmiger formicilis",36221,0.00459952068273187,36695.4,0.00465976366069477
868129,"Prevotella bivia",35776,0.0045430123946168,35327.3,0.00448603554673108
NA,"unknown genome; accession ID isNZ_GG662014.1",35013,0.00444612290285997,35397.9,0.00449499526963703
717959,"Alistipes shahii",33493,0.00425310582884897,33834.7,0.00429650192323359
1384063,"Mediterraneibacter gnavus",31592,0.0040117075014181,31822.3,0.00404094680244764
