"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",2521974,0.25226414909385,2521965.1,0.252263255366349
435590,"Phocaeicola vulgatus",1884944,0.188544288818821,1796840.7,0.179731622681424
820,"Bacteroides uniformis",1292017,0.129235895818033,1307129.8,0.130747571757316
853,"Faecalibacterium prausnitzii",1216849,0.121717106346339,1216238.4,0.121656030417673
39491,"Agathobacter rectalis",741052,0.0741248134256324,741722.5,0.0741918765811302
357276,"Phocaeicola dorei",604841,0.0605001083286638,677345.4,0.0677524716874598
411903,"Collinsella aerofaciens",456653,0.0456773862363982,456656.5,0.0456777377476409
445970,"Alistipes putredinis",442997,0.0443114248030029,443491.9,0.0443609247470799
367928,"Bifidobacterium adolescentis",425018,0.0425130489527529,425018,0.0425130489478023
40518,"Ruminococcus bromii",400053,0.0400158882040188,399989.6,0.0400095460844539
2447885,"Bacteroides faecalis",2782,0.000278273631202816,2115.2,0.000211572423630614
371601,"Bacteroides xylanisolvens",1431,0.000143137874281535,1512.6,0.000151302227067391
823,"Parabacteroides distasonis",884,8.84233968308014e-05,746.2,7.46414630125673e-05
1602169,"Prevotella pectinovora",849,8.49224704856905e-05,959.9,9.60142860834332e-05
470146,"Coprococcus comes",811,8.11214647395701e-05,760,7.60213694035063e-05
745368,"Gemmiger formicilis",664,6.64175740901042e-05,651.6,6.51769555225037e-05
449673,"Bacteroides stercoris",527,5.27139481106701e-05,732.4,7.32612030200286e-05
2838470,"Candidatus Bacteroides intestinigallinarum",487,4.87128894305433e-05,577.7,5.77902396468129e-05
484018,"Phocaeicola plebeius",418,4.18110632073247e-05,566.8,5.66919399797766e-05
3133156,"Faecalibacterium tardum",210,2.10055580706655e-05,208.9,2.08918067796489e-05
2989541,"Bacteroides rhinocerotis",202,2.02053463346401e-05,313.1,3.13222313919232e-05
2763064,"Roseburia zhanii",158,1.58041817865007e-05,160.2,1.60230562539973e-05
3133152,"Blautia intestinihominis",148,1.4803917116469e-05,142.2,1.42285948070093e-05
