"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",2367148,0.236784438303305,2367145,0.236784142435257
435590,"Phocaeicola vulgatus",2284917,0.22855891917813,2242655.5,0.224331529566422
820,"Bacteroides uniformis",1657576,0.16580636365155,1681932.7,0.168242753737625
853,"Faecalibacterium prausnitzii",1559255,0.155971371180264,1559083.9,0.155954255556937
40518,"Ruminococcus bromii",513637,0.0513788105081705,513659.1,0.0513810181889393
39491,"Agathobacter rectalis",444739,0.0444869836218832,444887,0.0445017906005677
357276,"Phocaeicola dorei",364951,0.0365058363664754,382707.2,0.0382819779548206
411903,"Collinsella aerofaciens",273985,0.0274065602693752,273985.9,0.0274066518474441
445970,"Alistipes putredinis",266573,0.0266651422183264,266724.2,0.0266802661923126
367928,"Bifidobacterium adolescentis",255002,0.0255077018151038,255002,0.025507701788367
371601,"Bacteroides xylanisolvens",1602,0.000160247128680545,1567.1,0.000156754562092023
2447885,"Bacteroides faecalis",1108,0.000110832595866444,1095.2,0.000109549349551546
1602169,"Prevotella pectinovora",1087,0.000108731978074752,895.1,8.95403966307399e-05
470146,"Coprococcus comes",1020,0.000102030007025066,860.3,8.60598275017383e-05
745368,"Gemmiger formicilis",772,7.72227111993637e-05,744.6,7.44817035595757e-05
823,"Parabacteroides distasonis",583,5.83171510741309e-05,684.9,6.85059521810242e-05
2763057,"Parabacteroides hominis",297,2.97087373396516e-05,281.9,2.81994911657162e-05
3133156,"Faecalibacterium tardum",271,2.71079724546989e-05,358.8,3.58919080420725e-05
1917883,"Bacteroides togonis",267,2.67078547800908e-05,253.8,2.53836886371956e-05
2714353,"Vescimonas fastidiosa",257,2.57075605935706e-05,297.6,2.97651131487813e-05
1841857,"Culturomica massiliensis",230,2.30067662899659e-05,271.2,2.71325488582765e-05
2989541,"Bacteroides rhinocerotis",167,1.67049129148883e-05,163.5,1.63553070651275e-05
2479840,"Prevotella marseillensis",142,1.42041774485876e-05,180.9,1.80994465758846e-05
471870,"Bacteroides intestinalis",134,1.34039420993714e-05,120.7,1.20780935182607e-05
536633,"Blautia glucerasea",130,1.30038244247633e-05,150,1.50053280798791e-05
2763064,"Roseburia zhanii",127,1.27037361688072e-05,124.6,1.24617296618441e-05
2759752,"Limosilactobacillus albertensis",115,1.15033831449829e-05,98.1,9.81482193588492e-06
1236512,"Bacteroides rodentium",86,8.6025300040742e-06,95.9,9.59562879432671e-06
2981728,"Huintestinicola butyrica",78,7.80229465485799e-06,66.2,6.61766789479968e-06
2763673,"Yanshouia hominis",77,7.70226523620597e-06,66.3,6.62929285391492e-06
2763047,"Flintibacter faecis",57,5.70167686316546e-06,42.5,4.24867388432867e-06
246787,"Bacteroides cellulosilyticus",54,5.40158860720938e-06,67.4,6.73815700305509e-06
2763053,"Lawsonibacter hominis",44,4.40129442068913e-06,42.5,4.2517171495656e-06
3133152,"Blautia intestinihominis",44,4.40129442068913e-06,55,5.50480064945958e-06
449673,"Bacteroides stercoris",41,4.10120616473305e-06,64.1,6.41113520777268e-06
2885348,"Hominifimenecus microfluidus",37,3.70108849012495e-06,41.9,4.18943632709297e-06
547043,"Bifidobacterium pseudocatenulatum",32,3.20094139686482e-06,29,2.90070797278724e-06
2763042,"Dysosmobacter segnis",32,3.20094139686482e-06,33.5,3.34636631873253e-06
3030638,"Faecalibacterium taiwanense",31,3.10091197821279e-06,33.4,3.34555785208726e-06
290055,"Faecalicatena fissicatena",28,2.80082372225672e-06,35.6,3.56537806046783e-06
NA,"unknown genome; accession ID isNZ_AP031406.1",26,2.60076488495266e-06,40.5,4.0526704445609e-06
2929491,"Faecalibacterium wellingii",20,2.00058837304051e-06,21.3,2.12920533144804e-06
2652292,"Hornefia porci",19,1.90055895438849e-06,26.2,2.62236962059833e-06
1912896,"Bacteroides koreensis",18,1.80052953573646e-06,22,2.20314294373341e-06
2606631,"Pseudoramibacter porci",17,1.70050011708443e-06,26.1,2.61449499797164e-06
78346,"Bifidobacterium ruminantium",16,1.60047069843241e-06,17.3,1.7300297575776e-06
301302,"Roseburia faecis",16,1.60047069843241e-06,17.1,1.71475889859139e-06
2838470,"Candidatus Bacteroides intestinigallinarum",15,1.50044127978038e-06,24.1,2.4142400908648e-06
3014267,"Agathobaculum massiliense",13,1.30038244247633e-06,17.8,1.77974467463164e-06
1689270,"Intestinimonas timonensis",13,1.30038244247633e-06,13.6,1.35615802420017e-06
2926318,"Grylomicrobium aquisgranensis",12,1.20035302382431e-06,18.2,1.82022699685411e-06
46503,"Parabacteroides merdae",12,1.20035302382431e-06,18.9,1.88973919643297e-06
763034,"Bacteroides fluxus",11,1.10032360517228e-06,17.4,1.7452529793255e-06
2606640,"Victivallis lenta",11,1.10032360517228e-06,12.9,1.2940011005582e-06
2079531,"Prevotella merdae",9,9.0026476786823e-07,11.8,1.18071710468757e-06
2041044,"Eubacterium maltosivorans",7,7.00205930564179e-07,11.7,1.17231706338609e-06
328812,"Parabacteroides goldsteinii",7,7.00205930564179e-07,8.7,8.71954573241334e-07
717959,"Alistipes shahii",7,7.00205930564179e-07,8.5,8.48056415913186e-07
1150298,"Fusicatenibacter saccharivorans",7,7.00205930564179e-07,9.2,9.20879854145436e-07
310298,"Phocaeicola coprocola",7,7.00205930564179e-07,8.9,8.86119450898113e-07
2652274,"Eisenbergiella porci",6,6.00176511912153e-07,9.6,9.60322092585e-07
2736294,"Xylanibacter caecicola",6,6.00176511912153e-07,10.9,1.08690834970185e-06
1871024,"Mordavella massiliensis",6,6.00176511912153e-07,9.8,9.81191152162974e-07
1776379,"Leyella lascolaii",6,6.00176511912153e-07,11.6,1.1652030554697e-06
NA,"unknown genome; accession ID isNZ_CP182814.1",5,5.00147093260128e-07,6.7,6.71879708148939e-07
536231,"Roseburia intestinalis",5,5.00147093260128e-07,4.8,4.77617008372939e-07
1410605,"Bifidobacterium pseudolongum",4,4.00117674608102e-07,8.7,8.70175620195642e-07
1437610,"Bifidobacterium reuteri",3,3.00088255956077e-07,4.4,4.42742457587924e-07
1871030,"Merdibacter massiliensis",3,3.00088255956077e-07,3.2,3.23554262140048e-07
566552,"Bifidobacterium catenulatum",2,2.00058837304051e-07,2.5,2.50786378803565e-07
671267,"Phocaeicola sartorii",2,2.00058837304051e-07,1.8,1.83217364295114e-07
282402,"Prevotella multiformis",2,2.00058837304051e-07,3,3.02681558924976e-07
39486,"Dorea formicigenerans",2,2.00058837304051e-07,3.4,3.4345527722517e-07
2981782,"Blautia ammoniilytica",2,2.00058837304051e-07,2.1,2.13289007787295e-07
1851428,"Faecalibacterium longum",2,2.00058837304051e-07,2.3,2.30828038958447e-07
484018,"Phocaeicola plebeius",1,1.00029418652026e-07,2.9,2.93324448766833e-07
1002367,"Leyella stercorea",1,1.00029418652026e-07,2.7,2.73768780887165e-07
742727,"Bacteroides oleiciplenus",1,1.00029418652026e-07,0.9,8.77077462638358e-08
1851427,"Faecalibacterium butyricigenerans",1,1.00029418652026e-07,1.1,1.06738080362235e-07
3085167,"Segatella sinensis",1,1.00029418652026e-07,0.8,8.42081429849124e-08
1335613,"Gordonibacter urolithinfaciens",1,1.00029418652026e-07,0.6,5.90610827312678e-08
762982,"Paraprevotella xylaniphila",1,1.00029418652026e-07,3.1,3.13990629450226e-07
