"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
246787,"Bacteroides cellulosilyticus",25744,0.0259222152297042,22333.2,0.0224878575836407
371601,"Bacteroides xylanisolvens",24134,0.0243010698552549,20170.7,0.0203104077117582
818,"Bacteroides thetaiotaomicron",21673,0.0218230333543109,18299.9,0.0184266112268552
119219,"Cupriavidus metallidurans",19503,0.0196380113278792,19503,0.0196380508757178
2590157,"Klebsiella variicola",19149,0.0192815607300189,17231.8,0.0173511211670819
357276,"Phocaeicola dorei",18401,0.0185283826305853,17090.5,0.0172088358574885
674529,"Bacteroides faecis",16630,0.016745122718691,18014.7,0.0181393996050916
291644,"Bacteroides salyersiae",16236,0.0163483952171177,16201.3,0.0163135379856501
997873,"Bacteroides caccae",16127,0.0162386406544997,15975.3,0.016085880020198
471870,"Bacteroides intestinalis",15895,0.0160050346129641,17035,0.0171529151766776
386585,"Escherichia coli",15849,0.0159587161736941,15836.4,0.0159460722096033
28116,"Bacteroides ovatus",15338,0.0154441787287602,17768.4,0.0178914262554288
820,"Bacteroides uniformis",15082,0.0151864065449969,14120.1,0.0142178619472126
272559,"Bacteroides fragilis",14893,0.0149960981749528,14919.1,0.015022362535171
1121115,"Blautia wexlerae",14592,0.0146930144745123,13927.6,0.0140240115255913
823,"Parabacteroides distasonis",13993,0.0140898678414097,14539,0.0146396797697379
1125630,"Klebsiella pneumoniae",12475,0.0125613593455003,14404.8,0.0145045386895364
28118,"Odoribacter splanchnicus",12472,0.0125583385777218,12447.9,0.01253404849463
435590,"Phocaeicola vulgatus",12458,0.0125442416614223,14923.7,0.0150269994741453
585394,"Roseburia hominis",12181,0.0122653241032096,10831.1,0.0109061315599548
483215,"Bacteroides finegoldii",12163,0.0122471994965387,12755.8,0.0128441784210065
622312,"Roseburia inulinivorans",12125,0.0122089364380113,11643,0.0117236260467532
28111,"Bacteroides eggerthii",12094,0.0121777218376337,12288.1,0.0123731977325873
536231,"Roseburia intestinalis",12072,0.0121555695405916,12816.1,0.0129048803580052
717959,"Alistipes shahii",11578,0.0116581497797357,11451.6,0.0115308745454734
1550024,"Ruthenibacterium lactatiformans",11451,0.0115302706104468,11533.2,0.0116130895099993
292800,"Flavonifractor plautii",11294,0.0113721837633732,11290.2,0.0113684034975712
484018,"Phocaeicola plebeius",11219,0.0112966645689113,11790.8,0.011872467364648
46503,"Parabacteroides merdae",11161,0.0112382630585274,11727.3,0.0118085567253308
762982,"Paraprevotella xylaniphila",10999,0.0110751415984896,11447.2,0.0115264193596451
411459,"Blautia obeum",10891,0.0109663939584644,10596.1,0.0106694804748162
1121098,"Phocaeicola massiliensis",10881,0.0109563247325362,11583.1,0.0116633140137081
626929,"Bacteroides clarus",10768,0.0108425424795469,10857.2,0.0109323496573675
679190,"Hoylesella buccalis",10763,0.0108375078665828,9950.3,0.0100192030678899
39486,"Dorea formicigenerans",10483,0.0105555695405916,9629.1,0.00969573403751741
449673,"Bacteroides stercoris",10296,0.0103672750157332,11014.4,0.0110906581801527
742726,"Barnesiella intestinihominis",10267,0.0103380742605412,9887.1,0.00995560529240484
537011,"Segatella copri",10045,0.0101145374449339,10043.4,0.0101129943327154
411470,"Mediterraneibacter gnavus",10022,0.0100913782252989,10054.9,0.0101245627117488
310298,"Phocaeicola coprocola",9942,0.0100108244178729,10534.8,0.0106077419507884
39491,"Agathobacter rectalis",9937,0.0100057898049087,9927,0.00999577990793422
301302,"Roseburia faecis",9890,0.00995846444304594,9695.4,0.00976256944403268
84112,"Eggerthella lenta",9869,0.0099373190685966,9850.6,0.00991880672469535
1150298,"Fusicatenibacter saccharivorans",9841,0.00990912523599748,10189.5,0.0102600287617377
116085,"Coprococcus catus",9766,0.00983360604153556,9917.1,0.00998572306459307
39488,"Anaerobutyricum hallii",9559,0.00962517306482064,9651.9,0.00971870625157432
471189,"Gordonibacter pamelaeae",9491,0.0095567023285085,9515.5,0.0095813861788637
470146,"Coprococcus comes",9199,0.0092626809314034,9670,0.00973695074231761
39490,"Eubacterium ramulus",9174,0.00923750786658276,9391.4,0.00945640136414372
853,"Faecalibacterium prausnitzii",9023,0.00908546255506608,9095.6,0.00915859691512014
214856,"Alistipes finegoldii",8868,0.0089293895531781,9380.2,0.00944518430821843
33043,"Coprococcus eutactus",8753,0.00881359345500315,8854.6,0.00891588195374634
1122992,"Hoylesella timonensis",8716,0.0087763373190686,8747.5,0.00880808575405029
745368,"Gemmiger formicilis",8658,0.00871793580868471,8820.6,0.00888164111594719
261299,"Intestinibacter bartlettii",8441,0.00849943360604154,8507.9,0.00856679729860132
