"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
"1236989","Bacteria;Bacteroidota;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Geofilum;Geofilum rubicundum;Geofilum rubicundum JCM 15548",81775,0.658498679378986,81769.8,0.65853669867018
"81409","Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium aggregans;NA",39355,0.31690878051923,39360.1,0.316988287407702
"1227346","Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium proliferatum;Fusarium proliferatum ET1",2542,0.0204696257166785,2539.4,0.0204509102443061
"198214","Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri;Shigella flexneri 2a str. 301",139,0.001119306835019,138.6,0.00111608553690448
"NC_010682.1","unknown genome; accession ID is NC_010682.1",91,0.000732783611415319,89,0.000716907857859203
"70584","Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;NA;Aquabacterium;Aquabacterium parvum;NA",45,0.000362365522128455,44.6,0.000359409020662581
"2886930","Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Sinsheimervirus phiX174;NA",17,0.000136893641692972,19.6,0.000157930590730335
"1447715","Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudolongum;Bifidobacterium pseudolongum PV8-2",13,0.000104683373059331,13.4,0.000107702411170111
"1042878","Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus necator;Cupriavidus necator N-1",13,0.000104683373059331,12.7,0.000102164106718965
"105219","Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia mannitolilytica;NA",8,6.44205372672808e-05,10.3,8.27959962490325e-05
"435590","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus;Phocaeicola vulgatus ATCC 8482",7,5.63679701088707e-05,7,5.6374779673502e-05
"53408","Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas citronellolis;NA",7,5.63679701088707e-05,7,5.63644504405237e-05
"435591","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis;Parabacteroides distasonis ATCC 8503",6,4.83154029504606e-05,5.8,4.67937825786774e-05
"1254439","Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium thermophilum;Bifidobacterium thermophilum RBL67",6,4.83154029504606e-05,4.6,3.69357828945998e-05
"50340","Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fuscovaginae;NA",6,4.83154029504606e-05,6,4.82908116239843e-05
"679935","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes finegoldii;Alistipes finegoldii DSM 17242",6,4.83154029504606e-05,5.9,4.78292521411957e-05
"272623","Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis;Lactococcus lactis subsp. lactis Il1403",5,4.02628357920505e-05,5,4.02676996673888e-05
"28116","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus;NA",5,4.02628357920505e-05,4.8,3.87330626084375e-05
"765698","Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium ciceri;Mesorhizobium ciceri biovar biserrulae WSM1271",5,4.02628357920505e-05,5,3.99078852133698e-05
"273526","Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia marcescens;Serratia marcescens subsp. marcescens Db11",4,3.22102686336404e-05,3.9,3.17871029626142e-05
"176280","Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis;Staphylococcus epidermidis ATCC 12228",4,3.22102686336404e-05,3.6,2.87770252369001e-05
"210007","Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans;Streptococcus mutans UA159",4,3.22102686336404e-05,4,3.2214159733911e-05
"1242245","Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter johnsonii;Acinetobacter johnsonii XBB1",4,3.22102686336404e-05,4,3.22141597350983e-05
