"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
"NC_010682.1","unknown genome; accession ID is NC_010682.1",42310,0.298150914677115,42392.8,0.298763772077637
"198214","Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri;Shigella flexneri 2a str. 301",33592,0.236716746060828,33521.7,0.236244503994422
"1042878","Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus necator;Cupriavidus necator N-1",29971,0.2112002142233,29953.8,0.211099798186861
"1447715","Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudolongum;Bifidobacterium pseudolongum PV8-2",25891,0.182449192434535,25883.2,0.182411918316716
"1254439","Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium thermophilum;Bifidobacterium thermophilum RBL67",4532,0.0319361840065394,4387,0.0309171315460396
"1227346","Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium proliferatum;Fusarium proliferatum ET1",2245,0.0158201088028864,2243.2,0.0158088337899969
"698737","Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus lugdunensis;Staphylococcus lugdunensis HKU09-01",839,0.005912281196268,830.7,0.00585419834133404
"1236989","Bacteria;Bacteroidota;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Geofilum;Geofilum rubicundum;Geofilum rubicundum JCM 15548",670,0.00472136877413535,670.4,0.00472481766671359
"105219","Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia mannitolilytica;NA",566,0.00398849959128449,672.4,0.00473877807175966
"702459","Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum;Bifidobacterium bifidum PRL2010",316,0.00222679482481608,299.2,0.00210893519914441
