Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1_noerr,healthy_stool_10_10_noerr,healthy_stool_10_100_noerr,healthy_stool_10_50_noerr,healthy_stool_100_1_noerr,healthy_stool_100_10_noerr,healthy_stool_100_100_noerr,healthy_stool_100_50_noerr
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio ethanolgignens,Acetivibrio ethanolgignens,1,0,0,3.5,0,0,2.9,4.3,4.2
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus intestini,2,0,0,0,0,48,130.926829268293,633.1,180.4
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax soli,Acidovorax soli,3,0,0,0,0,0,0,1,0
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii,4,0,0,0,0,0,1,0,0
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter defluvii,Acinetobacter defluvii,5,0,0,0,0,0,1,0,0
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,Acinetobacter johnsonii,6,0,0,0,0,2,0,3,1
NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces graevenitzii,Actinomyces graevenitzii,7,0,0,0,0,0,0.4,0,0
NA,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,Actinophytocola xinjiangensis,Actinophytocola xinjiangensis,8,0,0,0,0,0.8,0,0,0
NA,Bacillota,Clostridia,Eubacteriales,Acutalibacteraceae,Acutalibacter,Acutalibacter muris,Acutalibacter muris,9,2,0,0,0,0,0,0,0
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,10,0,0,0,0,93,243,809.6,351
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia mucosicola,Adlercreutzia mucosicola,11,0,0,0,0,0,0,0,1
NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Aedoeadaptatus,Aedoeadaptatus urinae,Aedoeadaptatus urinae,12,0,0,0,0,0,0,0.8,0
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus christensenii,Aerococcus christensenii,13,0,0,0,0,0.6,0,0,0
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus viridans,Aerococcus viridans,14,0,0,0,0,0,0.6,0,0.6
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter rectalis,15,4966.3383625731,7591.56,10017.8714285714,4596.81428571429,4753.55294573643,3240.75833333333,1209.05714285714,7810.97592592593
NA,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum desmolans,Agathobaculum desmolans,16,0,0,0,0,2,4,1.1,1.2
NA,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,17,0,0,0,0,698,1852.16097560976,697,1120.37592592593
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,Alicycliphilus denitrificans,Alicycliphilus denitrificans,18,0,0,0,0,0,0,1,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis,Alistipes communis,19,0,0,0,0,0,2.5,1,1
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii,20,0,0,0,0,437.7,1019.17575757576,931.851666666667,950
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes ihumii,Alistipes ihumii,21,0,0,0,0,0,0,2,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes inops,Alistipes inops,22,0,0,0,0,0,0,647.1,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes putredinis,23,2894.9,0,0,0,1236.5,0,0,2025.4
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes senegalensis,Alistipes senegalensis,24,0,0,0,0,2,7,9.1,6
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes shahii,25,3.1,4,0,1,184,499.1,1066.30210526316,486.3
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes timonensis,Alistipes timonensis,26,0,0,0,0,0,1,12.6,0
