Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1_noerr,healthy_stool_10_10_noerr,healthy_stool_10_100_noerr,healthy_stool_10_50_noerr,healthy_stool_100_1_noerr,healthy_stool_100_10_noerr,healthy_stool_100_100_noerr,healthy_stool_100_50_noerr
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Acetitomaculum,Acetitomaculum ruminis,Acetitomaculum ruminis,1,0,0,0,0,1.2,0,1,3.2
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio cellulolyticus,Acetivibrio cellulolyticus,2,0,0,0,0,0,0,1,0
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio ethanolgignens,Acetivibrio ethanolgignens,3,0,0,1.1,2.4,3.1,69.1,4,8
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans,Acidaminococcus fermentans,4,0,0,0,0,4.5,0,21,2
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus intestini,5,0,0,0,0,468.1,1264.2,6330.8,1814.8
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus timonensis,Acidaminococcus timonensis,6,0,0,0,0,0,0,5,1
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax soli,Acidovorax soli,7,0,0,0,0,0,0,2.5,0
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,Acinetobacter johnsonii,8,0,0,0,0,5.1,5.8,13,9
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter schindleri,Acinetobacter schindleri,9,0,0,0,0,0,2.3,0,0
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter towneri,Acinetobacter towneri,10,0,0,0,0,0,1.1,0,0.6
NA,Bacillota,Clostridia,Eubacteriales,Acutalibacteraceae,Acutalibacter,Acutalibacter muris,Acutalibacter muris,11,4.6,1.1,2,8.2,1.9,3,0,1
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia caecimuris,Adlercreutzia caecimuris,12,0,0,0,0,5.7,15.7,0,19.4
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,13,0,0,0,0,923.6,2411.3,8099.9,3489
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia mucosicola,Adlercreutzia mucosicola,14,0,0,0,0,0,4.3,1.7,0
NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Aedoeadaptatus,Aedoeadaptatus coxii,Aedoeadaptatus coxii,15,0,0,0,0,0,0,0,1
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus christensenii,Aerococcus christensenii,16,0,0,0,0,0.8,0,1.3,0
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus viridans,Aerococcus viridans,17,0,0,0,0,0,1.1,21.2,0
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter rectalis,18,50238.6571428572,76339.7933333333,100992.115384615,46367.075,43425.64,38012.1559808612,12471.0384024578,77465.1154807693
NA,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum desmolans,Agathobaculum desmolans,19,17.1,0,0,0,17,47.3,41.8,47.8
NA,Uroviricota,Caudoviricetes,NA,NA,Aguilavirus,Aguilavirus mEp043,Aguilavirus mEp043,20,0,0,0,0,0,7.3,0,0
NA,Uroviricota,Caudoviricetes,NA,NA,Aguilavirus,Aguilavirus mEp213,Aguilavirus mEp213,21,0,0,0,0,0,0,2.7,2.2
NA,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,22,0,0,0,0,6971.51333333333,18374.7,6972.9,11238
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,Alicycliphilus denitrificans,Alicycliphilus denitrificans,23,0,0,0,0,0,1,4,4
