species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Acetivibrio ethanolgignens,2.1,0,0,0.9,7.9,1,0,4.7
Acidaminococcus fermentans,0,0,0,0,0,0,1,1.2
Acidaminococcus intestini,0,0,0,0,48,130.553846153846,638.3375,190.202816901408
Acinetobacter defluvii,0,0,0,0,0,0,0.2,0
Acinetobacter johnsonii,0,0,0,0,2,1,3.8,1.3
Acinetobacter junii,0,0,0,0,0,0,2,0
Acinetobacter schindleri,0,0,0,0,0,0,0.2,0
Actinomyces graevenitzii,0,0,0,0,0.9,0,0,0
Acutalibacter muris,2.1,0,0,1.2,0,0,0,0
Adlercreutzia equolifaciens,0,0,0,0,93,243,809.6,350
Adlercreutzia mucosicola,0,0,0,0,0,0.8,0,0.9
Aerococcus christensenii,0,0,0,0,0,0.8,0,0
Aerococcus viridans,0,0,0,0,0,0,0,0.9
Aeromonas schubertii,0,0,0,0,0,0,1,0
Aeromonas simiae,0,0,0,0,0,0,0,2
Agathobacter rectalis,5088.3,7632.8,10151.3,4630.42666666667,5056.30263772176,1993.77211538462,2372.65555555556,5348.49090909091
Agathobaculum desmolans,0,0,0,0,1,3,4,0
Agrococcus baldri,0,0,0,0,0,0,2,0
Akkermansia muciniphila,0,0,0,0,701,1858,697,1131.18207426376
Alicycliphilus denitrificans,0,0,0,0,0,0,1,0
Alistipes communis,0,0,0,0,2.3,2.6,50.3,1
Alistipes finegoldii,0,0,0,0,532.6,1245.74896421846,1685.34306878307,917.755882352941
Alistipes ihumii,0,0,0,0,0,0,2.1,0
Alistipes inops,0,0,0,0,0,294,0,427
Alistipes putredinis,2803.4,0,0,0,1208.3,0,0,0
Alistipes senegalensis,0,0,0,0,1,3,3,1
Alistipes shahii,2,4,0,1.6,130.9,389.5,1587.8,458.3
Allofournierella massiliensis,2.2,10.2,4.2,12.4,0,0,0,0
Alloprevotella tannerae,0,0,0,0,0,2.7,3,8.5
Alloscardovia criceti,0,0,0,0,0,2,0,1
Alloscardovia omnicolens,0,0,0,0,0,1,1,0
Alterileibacterium massiliense,0,0,0,0,1,0,0,2
Amedibacillus dolichus,2.5,3.4,1.6,0,3.4,6.9,8.8,1
Amphibacillus xylanus,0,0,0,1,0,0,0,0
Amylolactobacillus amylophilus,0,0,0,0,0,0,1,0
Anaerobutyricum hallii,0,0,1,2.75,605.796358543417,1731.76176470588,1398.25555555556,986.316666666667
Anaerococcus obesiensis,0,0,0,0,0,0,1,0
Anaerococcus tetradius,0,0,0,0,0,0,3,0
Anaerostipes caccae,0,0,0,0,1.2,4.5,0,2.3
Anaerostipes hadrus,1.4,1.2,2.5,3.8,587.807936507937,1814.83676470588,651.7,932.816666666667
Anaerotignum lactatifermentans,0,0,0,24.3,0,1,0,0
Anaerotignum neopropionicum,0,8.2,6.1,8.9,4.1,1,3.5,3
Anaerotruncus colihominis,0,3.8,0,0,3,59.2,25.9,10.3
Anaerotruncus rubiinfantis,0,0,0,0,0,0,0,2.8
