species,healthy_stool_10_1_noerr,healthy_stool_10_10_noerr,healthy_stool_10_100_noerr,healthy_stool_10_50_noerr,healthy_stool_100_1_noerr,healthy_stool_100_10_noerr,healthy_stool_100_100_noerr,healthy_stool_100_50_noerr
Acetivibrio ethanolgignens,0,0,3.5,0,0,2.9,4.3,4.2
Acidaminococcus intestini,0,0,0,0,48,130.926829268293,633.1,180.4
Acidovorax soli,0,0,0,0,0,0,1,0
Acinetobacter baumannii,0,0,0,0,0,1,0,0
Acinetobacter defluvii,0,0,0,0,0,1,0,0
Acinetobacter johnsonii,0,0,0,0,2,0,3,1
Actinomyces graevenitzii,0,0,0,0,0,0.4,0,0
Actinophytocola xinjiangensis,0,0,0,0,0.8,0,0,0
Acutalibacter muris,2,0,0,0,0,0,0,0
Adlercreutzia equolifaciens,0,0,0,0,93,243,809.6,351
Adlercreutzia mucosicola,0,0,0,0,0,0,0,1
Aedoeadaptatus urinae,0,0,0,0,0,0,0.8,0
Aerococcus christensenii,0,0,0,0,0.6,0,0,0
Aerococcus viridans,0,0,0,0,0,0.6,0,0.6
Agathobacter rectalis,4966.3383625731,7591.56,10017.8714285714,4596.81428571429,4753.55294573643,3240.75833333333,1209.05714285714,7810.97592592593
Agathobaculum desmolans,0,0,0,0,2,4,1.1,1.2
Akkermansia muciniphila,0,0,0,0,698,1852.16097560976,697,1120.37592592593
Alicycliphilus denitrificans,0,0,0,0,0,0,1,0
Alistipes communis,0,0,0,0,0,2.5,1,1
Alistipes finegoldii,0,0,0,0,437.7,1019.17575757576,931.851666666667,950
Alistipes ihumii,0,0,0,0,0,0,2,0
Alistipes inops,0,0,0,0,0,0,647.1,0
Alistipes putredinis,2894.9,0,0,0,1236.5,0,0,2025.4
Alistipes senegalensis,0,0,0,0,2,7,9.1,6
Alistipes shahii,3.1,4,0,1,184,499.1,1066.30210526316,486.3
Alistipes timonensis,0,0,0,0,0,1,12.6,0
Allobaculum stercoricanis,0,0,0,0,0,0.7,0,0
Allofournierella massiliensis,3.9,4.3,2,4.6,1,0,0,3
Alloprevotella rava,0,0,0,0,0,0,1,0
Alloprevotella tannerae,0,0,0,0,0,2.4,3.3,1
Alloscardovia criceti,0,0,0,0,0,2,0,1.2
Alloscardovia omnicolens,0,0,0,0,0,1,1,0
Alterileibacterium massiliense,0,0,0,0,1,0,0,1.1
Amedibacillus dolichus,4.9,2,0,0,5.4,7.8,4.8,7.4
Amphibacillus xylanus,0,0,0,1,0,0,0,0
