species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Acetitomaculum ruminis,0,0,0,0,0,2,24.9,0
Acetivibrio cellulolyticus,0,0,0,0,0,0,1.7,0
Acetivibrio ethanolgignens,0,2.1,0,1.1,2.1,7,3.1,3.1
Acetoanaerobium sticklandii,0,0,0,0,0,0,1.7,0
Acidaminococcus fermentans,0,0,0,0,1,5.6,13.9,2.7
Acidaminococcus intestini,0,0,0,0,470.1,1252.4,6356.5,1811.4
Acidaminococcus timonensis,0,0,0,0,0,0,3,2
Acidovorax soli,0,0,0,0,0,0,1,0
Acinetobacter johnsonii,0,0,0,0,2.5,7.6,5.2,8.4
Acinetobacter junii,0,0,0,0,0,0,6,0
Acinetobacter schindleri,0,0,0,0,2.4,1.7,0,2
Actinobacillus succinogenes,0,0,0,0,0.5,0,0,0
Acutalibacter muris,6.7,4.6,4.1,8.8,1.1,3.1,1,1
Adlercreutzia caecimuris,0,0,0,0,0,0,0.5,4
Adlercreutzia equolifaciens,0,0,0,0,929.7,2431.7,8092.5,3504.8
Adlercreutzia mucosicola,0,0,0,0,0,0.8,0,0
Aerococcus viridans,0,0,0,0,0,1.1,0,0
Aeromonas schubertii,0,0,0,0,0,0,1.9,0
Agathobacter rectalis,50789.6833333333,76012.2917582418,101685.816666667,46855.511,35899.9444444444,24926.3727272727,11306.5652326468,72512.3510661564
Agathobaculum desmolans,0,0,0,0,16,32.2,43,19
Aguilavirus mEp213,0,0,0,0,0,3,1.9,1
Akkermansia muciniphila,0,0,0,0,6997.8,18467,7007,11513.6
Alicycliphilus denitrificans,0,0,0,0,0,0,2,6.2
Alistipes communis,0,0,0,0,596.8,1510.1,15.5,751.6
Alistipes finegoldii,1103.88714285714,1522.4,1925.1,816,5249.69716312057,9510.4,11853.725,6277.8
Alistipes ihumii,0,0,0,0,8.3,3,6,7.8
Alistipes inops,0,0,0,0,0,2970.2,0,4281
Alistipes putredinis,28326.6,0,71387.7,0,0,0,0,19976.2
Alistipes senegalensis,1.4,0,0,1.2,9.1,532.7,421.4,25.1
Alistipes shahii,6.1,13.8,19.3,7.8,1227.01489361702,3066.6,15970.8319727891,4552.38823529412
Alistipes timonensis,0,0,0,0,25.8,2,19.3,1
Allobaculum stercoricanis,0,0,0,0,4.8,0,0,41.6
Allofournierella massiliensis,0,0,0,0,7,0,0,25.3
Alloiococcus otitis,0,0,0,0,0,0.5,0,0
Alloprevotella rava,0,0,0,0,0,1.1,2.3,0
Alloprevotella tannerae,0,0,0,0,26.4,45.8,9,13.6
Alloscardovia criceti,0,0,0,0,3,7,2,6
Alloscardovia omnicolens,0,0,0,0,5,8,3,4
Alterileibacterium massiliense,0,0,0,0,5.8,4,2,5
Amedibacillus dolichus,19,0,13.1,16.3,16,79.3,0,90.3
Amphibacillus xylanus,0,5.3,9,2.7,0,0,0,0
Amylolactobacillus amylophilus,0,0,0,0,0,1.3,2.8,5
Anaerobium acetethylicum,0,0,0,0,0,1.2,0,0
Anaerobutyricum hallii,4.2,13.1,8.4,30.244,6325.94444444445,16055.1222510823,9015.06447368421,10590.7225601422
Anaerococcus lactolyticus,0,0,0,0,0,10.3,42.9,2
Anaerococcus mediterraneensis,0,0,0,0,0,0,2.7,2.2
Anaerococcus obesiensis,0,0,0,0,0,15.8,102.1,23.4
Anaerococcus prevotii,0,0,0,0,0,5.3,32.4,30.5
Anaerococcus provencensis,0,0,0,0,0,1.9,1.5,3.1
Anaerococcus tetradius,0,0,0,0,2,0,28.4,8.4
Anaerosporobacter mobilis,0,0,0,0,0,1.3,0,0
Anaerostipes caccae,0,0,0,0,12.8,26.4,13.7,37.7
Anaerostipes hadrus,11.7,36.4692307692308,9.25,37.844,5862.5,15135.9,7064.17368421053,9126.74838709677
Anaerotignum lactatifermentans,42.5,0,0,0,43,73.5,114.9,13.4
Anaerotignum neopropionicum,0,0,0,0,25.9,11.7,5.1,36.5
Anaerotruncus colihominis,1.1,1.3,1.1,1.1,62.1,64,192,499.725
Anaerotruncus rubiinfantis,0,0,0,1.4,0,0,0,0
Andreesenia angusta,0,0,0,0,145.8,27.3,1,5.2
Angelakisella massiliensis,0,132.2,0,155.1,46.2,24.5,13.3,12.2
Aquabacterium parvum,0,0,0,0,0,0,0,2.7
Asaccharospora irregularis,0,0,0,0,0,0,2.2,0
Aspergillus clavatus,0,0,0,0,4,4.1,2,1
Aspergillus niger,0,0,0,0,0.7,0,0,0
Atopobium deltae,0,0,0,0,0,1,2,0
Atopococcus tabaci,0,0,0,0,0,0,1.1,1
Bacillus coahuilensis,0,0,0,0,0,2,2,0
Bacillus thermotolerans,0,0,0,0,0,8.9,13.1,0
Bacteroides caccae,0,0,0,0,6856.82839919423,21322.5328545549,22365.1737546632,12674.7020283976
Bacteroides cellulosilyticus,59.4384615384615,136.9,240.825892857143,80,5673.90638319585,15580.9468944099,25133.0666666667,11621.8168614572
Bacteroides faecichinchillae,0,43.2,0,22,56.2,159.6,200.9,92.6
Bacteroides fluxus,0,0,0,0,0,147.8,271.1,0
Bacteroides fragilis,169.159615384615,247.976086956522,1865.62775996013,103.229039548023,7980.18828345802,22995.9463250518,29577.6967210355,10367.2768615587
Bacteroides ihuae,1,7,10,2,1.1,2,2,1
Bacteroides luti,0,0,0,0,0,22,2,0
Bacteroides nordii,7.7,0,20.3,0,0,0,0,0
Bacteroides ovatus,14,22,40.1,15,18197.6481248694,47065.6879270186,35357.3842402367,30509.2879352411
Bacteroides reticulotermitis,0,0,0,0,0,100.2,84.1,89.7
Bacteroides salyersiae,0,0,0,0,1508.55319148936,2718.47916666667,15084.5,3627.40476190476
Bacteroides stercoris,5,0,0,0,9381.95886524823,29525,15500.925,17993.9
Bacteroides thetaiotaomicron,0,0,0,0,12023.8806855273,27031.4289078675,37212.9003774981,28989.6375465454
Bacteroides uniformis,88594.7483100233,176742.70966298,137780.181060623,170825.582878788,53977.165972948,43009.7609989648,26647.8076904232,66225.7519864018
Bariatricus massiliensis,0,0,3.3,0,2,30,97.6,14.5
Barnesiella viscericola,0,0,0,0,1,4,6.7,6.2
Beduini massiliensis,0,0,0,0,0,0,0,13.6
Bibersteinia trehalosi,0,0,0,0,0,4.2,0,4.7
Bifidobacterium adolescentis,28336,42499.5571428571,60415.15,25554.6714285714,12348.1111111111,11427.7,6641,19882.2
Bifidobacterium aesculapii,0,0,0,0,3.2,4.6,3.5,4.1
Bifidobacterium angulatum,0,0,0,1,536.2,1394.5,5935.9,2093
Bifidobacterium biavatii,0,0,0,0,1.5,14,29.2,8.1
Bifidobacterium bifidum,0,0,0,0,1611.07777777778,4045.6,5857.1,2565
Bifidobacterium bohemicum,0,0,0,0,0,0,1,0
Bifidobacterium breve,0,0,0,0,143.705882352941,584.009523809524,187.5,0
Bifidobacterium callitrichos,0,0,0,0,1,2.4,2.8,1.8
Bifidobacterium choerinum,0,0,0,0,1,5.6,29.1,6.6
Bifidobacterium commune,0,0,0,0,0,1.9,0,0
Bifidobacterium cuniculi,0,0,0,0,0,2.4,1.2,1
Bifidobacterium dentium,0.8,0,0,0,10.9,68.2,129.6,62
Bifidobacterium gallicum,0,0,0,0,0,1,1,3
Bifidobacterium lemurum,0,0,0,0,0.5,3.2,0,1.1
