"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","healthy_stool_10_1","healthy_stool_10_10","healthy_stool_10_100","healthy_stool_10_50","healthy_stool_100_1","healthy_stool_100_10","healthy_stool_100_100","healthy_stool_100_50"
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Acetitomaculum","Acetitomaculum ruminis","Acetitomaculum ruminis",1,0,0,0,0,0,2,24.9,0
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio cellulolyticus","Acetivibrio cellulolyticus",2,0,0,0,0,0,0,1.7,0
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio ethanolgignens","Acetivibrio ethanolgignens",3,0,2.1,0,1.1,2.1,7,3.1,3.1
NA,"Bacillota","Clostridia","Peptostreptococcales","Filifactoraceae","Acetoanaerobium","Acetoanaerobium sticklandii","Acetoanaerobium sticklandii",4,0,0,0,0,0,0,1.7,0
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus fermentans","Acidaminococcus fermentans",5,0,0,0,0,1,5.6,13.9,2.7
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini","Acidaminococcus intestini",6,0,0,0,0,470.1,1252.4,6356.5,1811.4
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus timonensis","Acidaminococcus timonensis",7,0,0,0,0,0,0,3,2
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax soli","Acidovorax soli",8,0,0,0,0,0,0,1,0
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter johnsonii","Acinetobacter johnsonii",9,0,0,0,0,2.5,7.6,5.2,8.4
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter junii","Acinetobacter junii",10,0,0,0,0,0,0,6,0
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter schindleri","Acinetobacter schindleri",11,0,0,0,0,2.4,1.7,0,2
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus succinogenes","Actinobacillus succinogenes",12,0,0,0,0,0.5,0,0,0
NA,"Bacillota","Clostridia","Eubacteriales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris","Acutalibacter muris",13,6.7,4.6,4.1,8.8,1.1,3.1,1,1
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia caecimuris","Adlercreutzia caecimuris",14,0,0,0,0,0,0,0.5,4
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens","Adlercreutzia equolifaciens",15,0,0,0,0,929.7,2431.7,8092.5,3504.8
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia mucosicola","Adlercreutzia mucosicola",16,0,0,0,0,0,0.8,0,0
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus viridans","Aerococcus viridans",17,0,0,0,0,0,1.1,0,0
NA,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas schubertii","Aeromonas schubertii",18,0,0,0,0,0,0,1.9,0
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter rectalis",19,50789.6833333333,76012.2917582418,101685.816666667,46855.511,35899.9444444444,24926.3727272727,11306.5652326468,72512.3510661564
NA,"Bacillota","Clostridia","Eubacteriales","Butyricicoccaceae","Agathobaculum","Agathobaculum desmolans","Agathobaculum desmolans",20,0,0,0,0,16,32.2,43,19
NA,"Uroviricota","Caudoviricetes",NA,NA,"Aguilavirus","Aguilavirus mEp213","Aguilavirus mEp213",21,0,0,0,0,0,3,1.9,1
NA,"Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Akkermansia muciniphila",22,0,0,0,0,6997.8,18467,7007,11513.6
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Alicycliphilus","Alicycliphilus denitrificans","Alicycliphilus denitrificans",23,0,0,0,0,0,0,2,6.2
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes communis","Alistipes communis",24,0,0,0,0,596.8,1510.1,15.5,751.6
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii","Alistipes finegoldii",25,1103.88714285714,1522.4,1925.1,816,5249.69716312057,9510.4,11853.725,6277.8
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes ihumii","Alistipes ihumii",26,0,0,0,0,8.3,3,6,7.8
