"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",5495,0.0669020515005783,5485.8,0.0667929030878279
537011,"Segatella copri",4788,0.0582942716259816,4785.9,0.058271077365022
411479,"Bacteroides uniformis",3404,0.0414439642052718,3603.5,0.0438745988467533
301302,"Roseburia faecis",3398,0.0413709137395751,3267.3,0.0397805804366457
449673,"Bacteroides stercoris",3346,0.0407378097035369,2977.1,0.0362476965221287
28116,"Bacteroides ovatus",3163,0.0385097704997869,3199.4,0.0389548058025824
1150298,"Fusicatenibacter saccharivorans",2927,0.0356364521823827,2926.8,0.0356353388530726
300267,"Shigella dysenteriae",2585,0.0314725756376697,2594.2,0.0315858552759903
40520,"Blautia obeum",2298,0.0279783283618433,2312.2,0.0281523274681547
484018,"Phocaeicola plebeius",2158,0.0262738174955865,2188.8,0.0266499922836807
226186,"Bacteroides thetaiotaomicron",2134,0.0259816156327997,2182,0.0265666570237585
435591,"Parabacteroides distasonis",2056,0.0250319595787423,2061.7,0.0251025218042156
47678,"Bacteroides caccae",2018,0.0245693066293298,2005.8,0.0244218041508213
411462,"Dorea longicatena",1943,0.0236561758081208,1983,0.0241443625706605
515619,"Agathobacter rectalis",1920,0.02337614902295,1934.5,0.0235531152986929
349741,"Akkermansia muciniphila",1858,0.0226212942107506,1858,0.022622120488969
206672,"Bifidobacterium longum",1610,0.0196018749619529,1609.5,0.0195961105362057
411469,"Anaerobutyricum hallii",1548,0.0188470201497535,1557.7,0.0189659827854546
649756,"Anaerostipes hadrus",1506,0.0183356668898764,1506.7,0.0183451103416427
515620,"Lachnospira eligens",1403,0.0170816338954161,1404,0.0170941890490739
246787,"Bacteroides cellulosilyticus",1394,0.016972058196871,1416,0.0172403649059865
411474,"Coprococcus eutactus",1309,0.0159371765995008,1316,0.0160225180133163
411460,"[Ruminococcus] torques",1275,0.0155232239605527,1277.7,0.0155570239800843
742726,"Barnesiella intestinihominis",1265,0.0154014731843916,1268.8,0.0154485411115923
295405,"Bacteroides fragilis",1236,0.0150483959335241,1269.2,0.0154526398169607
536231,"Roseburia intestinalis",1215,0.0147927193035856,1202.5,0.0146415338033811
622312,"Roseburia inulinivorans",1194,0.014537042673647,1218.7,0.0148382053065542
411903,"Collinsella aerofaciens",1184,0.0144152918974858,1184,0.0144163203175899
367928,"Bifidobacterium adolescentis",1147,0.0139648140256894,1146.1,0.0139546353680593
679935,"Alistipes finegoldii",1113,0.0135508613867413,1123,0.013672981283424
445970,"Alistipes putredinis",1096,0.0133438850672673,1097.8,0.0133660797518185
511680,"Eshraghiella crossota",1077,0.013112558592561,1052.4,0.0128134367078075
585394,"Roseburia hominis",883,0.0107505935350338,893,0.0108721617811657
709991,"Odoribacter splanchnicus",839,0.0102148901199245,838.5,0.0102089106069598
1282887,"Lachnospira multipara",684,0.00832775308942594,682.4,0.0083083313897727
1002367,"Leyella stercorea",677,0.00824252754611311,681.1,0.00829322105537614
411461,"Dorea formicigenerans",657,0.00799902599379071,639,0.00777973573248727
471875,"[Ruminococcus] lactaris",629,0.00765812382053936,614.4,0.00748123827152133
626939,"Phascolarctobacterium succinatutens",452,0.00550313508248615,452,0.00550379691561282
411483,"Faecalibacterium duncaniae",429,0.0052231082973154,437.7,0.00532917415829673
1550024,"Ruthenibacterium lactatiformans",407,0.00495525658976076,410.9,0.0050024340622148
702459,"Bifidobacterium bifidum",406,0.00494308151214464,406,0.00494353280606089
717959,"Alistipes shahii",406,0.00494308151214464,389.5,0.00474276211040581
NA,"unknown genome; accession ID isNZ_GG662007.1",377,0.00459000426127717,376.7,0.00458699903251399
NA,"unknown genome; accession ID isNZ_GG662014.1",367,0.00446825348511597,392.8,0.00478210996206667
1384063,"Mediterraneibacter gnavus",357,0.00434650270895477,357.4,0.00435127274107883
266264,"Cupriavidus metallidurans",329,0.00400560053570342,329,0.00400525931685408
745368,"Gemmiger formicilis",320,0.00389602483715834,322.4,0.00392541621147992
470145,"Phocaeicola coprocola",311,0.00378644913861326,320.7,0.0039044548836159
1121101,"Bacteroides salyersiae",297,0.00361599805198758,305.5,0.00371953778646274
1501391,"Alistipes inops",294,0.00357947281913922,294,0.00357969415641765
999419,"Parabacteroides johnsonii",286,0.00348207219821026,287.8,0.00350375103872776
292800,"Flavonifractor plautii",266,0.00323857064588787,264.7,0.00322243025435767
868129,"Prevotella bivia",255,0.00310464479211055,260.4,0.0031710539295288
518637,"Holdemanella biformis",250,0.00304376940402995,253,0.00308022024592187
1384484,"Adlercreutzia equolifaciens",243,0.00295854386071711,243,0.00295863725163864
1304,"Streptococcus salivarius",239,0.00290984355025263,229.6,0.00279521148292582
1051074,"Streptococcus thermophilus",230,0.00280026785170755,239.2,0.0029126826538783
198214,"Shigella flexneri",210,0.00255676629938516,230.4,0.00280526657969618
1256908,"Eubacterium ramulus",205,0.00249589091130456,205,0.0024965312301654
1235811,"Prevotella disiens",197,0.0023984902903756,164.9,0.00200729843247716
762966,"Parasutterella excrementihominis",193,0.00234978997991112,193,0.00235009318615553
411463,"Eubacterium ventriosum",178,0.00216716381566932,180,0.00219113373390528
762982,"Paraprevotella xylaniphila",169,0.00205758811712425,169.3,0.00206158629746049
445973,"Intestinibacter bartlettii",167,0.00203323796189201,171,0.0020820892219206
1122981,"Prevotella corporis",166,0.00202106288427589,164.4,0.00200196092994867
563769,"Pankowvirus pv1717",161,0.00196018749619529,78.8,0.000959698431025419
518635,"Bifidobacterium angulatum",141,0.00171668594387289,142.1,0.00172984848073468
479437,"Eggerthella lenta",134,0.00163146040056005,133.6,0.00162652845271016
NA,"unknown genome; accession ID isNZ_GG662008.1",134,0.00163146040056005,137.5,0.00167468878252399
1069534,"Ligilactobacillus ruminis",133,0.00161928532294393,133.3,0.00162242457469102
679190,"Hoylesella buccalis",128,0.00155840993486333,126,0.00153405454509687
568816,"Acidaminococcus intestini",124,0.00150970962439886,123.8,0.00150737342237241
742740,"[Clostridium] symbiosum",122,0.00148535946916662,117.7,0.00143309668385639
