"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
435590,"Phocaeicola vulgatus",5495,0.0669020515005783,5485.8,0.0667929030878279,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola",46,"Phocaeicola vulgatus",33,4,0.76,0.98,0.62,0.12
537011,"Segatella copri",4788,0.0582942716259816,4785.9,0.058271077365022,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri","Segatella",49,"Segatella copri",48,5,1,1,0.26,0.12
411479,"Bacteroides uniformis",3404,0.0414439642052718,3603.5,0.0438745988467533,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides",50,"Bacteroides uniformis",46,5,1,1,0.92,0.1
301302,"Roseburia faecis",3398,0.0413709137395751,3267.3,0.0397805804366457,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia faecis","Roseburia",7,"Roseburia intestinalis",5,17,0,0.333333333333333,1,0.952380952380952
449673,"Bacteroides stercoris",3346,0.0407378097035369,2977.1,0.0362476965221287,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris","Bacteroides",41,"Bacteroides stercoris",21,13,0.84,1,0.7,0.42
28116,"Bacteroides ovatus",3163,0.0385097704997869,3199.4,0.0389548058025824,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","Bacteroides",50,"Bacteroides ovatus",48,2,1,1,0.68,0.02
1150298,"Fusicatenibacter saccharivorans",2927,0.0356364521823827,2926.8,0.0356353388530726,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans","Blautia",2,"Bacteriophage sp.",2,29,0,0,1,1
300267,"Shigella dysenteriae",2585,0.0314725756376697,2594.2,0.0315858552759903,"0","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella dysenteriae","Escherichia",46,"Escherichia coli",46,3,0,0.36,1,1
40520,"Blautia obeum",2298,0.0279783283618433,2312.2,0.0281523274681547,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum","Blautia",46,"Blautia obeum",26,18,0.7,1,0.64,0.28
484018,"Phocaeicola plebeius",2158,0.0262738174955865,2188.8,0.0266499922836807,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola plebeius","Bacteroides",8,"Bacteroides thetaiotaomicron",3,16,0,0.416666666666667,1,0.833333333333333
226186,"Bacteroides thetaiotaomicron",2134,0.0259816156327997,2182,0.0265666570237585,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Bacteroides",47,"Bacteroides thetaiotaomicron",47,3,0.94,1,0.16,0.06
435591,"Parabacteroides distasonis",2056,0.0250319595787423,2061.7,0.0251025218042156,"0","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","Parabacteroides",48,"Parabacteroides distasonis",48,12,0.98,0.98,0.46,0.06
47678,"Bacteroides caccae",2018,0.0245693066293298,2005.8,0.0244218041508213,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae","Bacteroides",50,"Bacteroides caccae",50,1,1,1,0.48,0.02
411462,"Dorea longicatena",1943,0.0236561758081208,1983,0.0241443625706605,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea longicatena","Dorea",47,"Dorea longicatena",47,6,0.98,0.98,0.24,0.2
515619,"Agathobacter rectalis",1920,0.02337614902295,1934.5,0.0235531152986929,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter",46,"Agathobacter rectalis",44,12,1,1,1,0.42
349741,"Akkermansia muciniphila",1858,0.0226212942107506,1858,0.022622120488969,"0","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Akkermansia",50,"Akkermansia muciniphila",50,1,1,1,0,0
206672,"Bifidobacterium longum",1610,0.0196018749619529,1609.5,0.0195961105362057,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","Bifidobacterium",50,"Bifidobacterium longum",50,1,1,1,0.06,0
411469,"Anaerobutyricum hallii",1548,0.0188470201497535,1557.7,0.0189659827854546,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii","Anaerobutyricum",46,"Anaerobutyricum hallii",46,9,1,1,0.2,0.16
649756,"Anaerostipes hadrus",1506,0.0183356668898764,1506.7,0.0183451103416427,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","Anaerostipes",48,"Anaerostipes hadrus",47,9,1,1,0.28,0.22
515620,"Lachnospira eligens",1403,0.0170816338954161,1404,0.0170941890490739,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira eligens","Lachnospira",48,"Lachnospira eligens",49,4,1,1,0.12,0.12
246787,"Bacteroides cellulosilyticus",1394,0.016972058196871,1416,0.0172403649059865,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus","Bacteroides",50,"Bacteroides cellulosilyticus",50,2,1,1,0.92,0.02
