"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
28116,"Bacteroides ovatus",2731,0.0366641158859935,2781.2,0.0373426042137585,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","Bacteroides",50,"Bacteroides ovatus",46,2,1,1,0.84,0.02
435590,"Phocaeicola vulgatus",2640,0.035442426195175,2500.3,0.033570722428716,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola",50,"Phocaeicola dorei",29,3,0.62,1,0.76,0.14
246787,"Bacteroides cellulosilyticus",2518,0.0338045564997919,2372.6,0.0318563710904683,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus","Bacteroides",49,"Bacteroides cellulosilyticus",44,8,0.94,1,0.78,0.1
226186,"Bacteroides thetaiotaomicron",2419,0.0324754655174728,2390.5,0.0320970306668679,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Bacteroides",45,"Bacteroides thetaiotaomicron",36,9,0.9,1,0.42,0.1
40520,"Blautia obeum",2090,0.0280585874045135,2055.5,0.0275991324775857,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum","Blautia",41,"Blautia obeum",25,22,0.66,0.96,0.68,0.48
295405,"Bacteroides fragilis",1646,0.0220978157262341,1578.9,0.0212000550815563,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","Bacteroides",47,"Bacteroides fragilis",41,7,0.96,1,0.34,0.32
266264,"Cupriavidus metallidurans",1514,0.0203256944164754,1513.6,0.020322437693626,"0","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","Cupriavidus metallidurans","Cupriavidus",50,"Cupriavidus metallidurans",50,1,1,1,0.64,0.14
536231,"Roseburia intestinalis",1420,0.0190637292413441,1344.4,0.0180509834886254,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia intestinalis","Roseburia",47,"Roseburia intestinalis",47,7,1,1,0.68,0.44
411479,"Bacteroides uniformis",1411,0.018942902788406,1561.5,0.0209656669258814,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides",48,"Bacteroides uniformis",47,4,0.98,1,0.84,0.1
1121101,"Bacteroides salyersiae",1362,0.0182850698779653,1367.2,0.0183570639974226,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides salyersiae","Bacteroides",45,"Bacteroides salyersiae",32,12,0.936170212765957,1,0.404255319148936,0.170212765957447
