"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
435590,"Phocaeicola vulgatus",5359,0.0681503147453424,5376.9,0.0683774506679121,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola",47,"Phocaeicola vulgatus",34,5,0.84,1,0.62,0.14
537011,"Segatella copri",4793,0.0609525020665098,4792,0.060939892110852,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri","Segatella",49,"Segatella copri",48,4,1,1,0.16,0.06
411479,"Bacteroides uniformis",3360,0.0427290646658613,3468.4,0.0441078612511461,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides",50,"Bacteroides uniformis",47,6,1,1,0.9,0.06
449673,"Bacteroides stercoris",3109,0.0395371017994532,2907,0.0369682912906902,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris","Bacteroides",43,"Bacteroides stercoris",26,11,0.9,0.98,0.6,0.28
28116,"Bacteroides ovatus",3058,0.0388885356393463,3087.9,0.039268592234532,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","Bacteroides",50,"Bacteroides ovatus",49,2,1,1,0.66,0.06
1150298,"Fusicatenibacter saccharivorans",2628,0.0334202327207986,2631.2,0.0334610407163764,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans","Blautia",2,"Blautia obeum",2,18,0,0,1,1
301302,"Roseburia faecis",2598,0.0330387232148534,2652.9,0.0337362997730228,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia faecis","Blautia",6,"Roseburia intestinalis",5,29,0,0.333333333333333,1,0.833333333333333
484018,"Phocaeicola plebeius",2443,0.03106759076747,2422,0.0308003228773784,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola plebeius","Bacteroides",18,"Bacteroides fragilis",5,18,0,0.571428571428571,1,0.952380952380952
300267,"Shigella dysenteriae",2089,0.0265657785973167,2046.1,0.0260205302434306,"0","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella dysenteriae","Escherichia",46,"Escherichia coli",46,2,0,0.28,1,1
226186,"Bacteroides thetaiotaomicron",2089,0.0265657785973167,2091.2,0.0265940192836741,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Bacteroides",50,"Bacteroides thetaiotaomicron",50,2,1,1,0.12,0
40520,"Blautia obeum",1993,0.0253449481782921,2002.9,0.0254709631996051,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum","Blautia",43,"Blautia obeum",25,15,0.62,1,0.7,0.4
515619,"Agathobacter rectalis",1894,0.024085966808673,1899.3,0.0241538148869058,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter",45,"Agathobacter rectalis",46,14,1,1,1,0.3
349741,"Akkermansia muciniphila",1851,0.0235391365168182,1851,0.0235391365168182,"0","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Akkermansia",50,"Akkermansia muciniphila",50,1,1,1,0,0
411462,"Dorea longicatena",1837,0.0233610987473771,1837,0.0233606916495345,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea longicatena","Dorea",45,"Dorea longicatena",46,8,0.96,0.98,0.3,0.24
622312,"Roseburia inulinivorans",1702,0.0216443059706238,1779.1,0.0226245311368898,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia inulinivorans","Roseburia",9,"Roseburia intestinalis",5,21,0,0.5,1,0.8
435591,"Parabacteroides distasonis",1679,0.0213518153493991,1674.1,0.0212900821871765,"0","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","Parabacteroides",50,"Parabacteroides distasonis",50,1,1,1,0.54,0
411469,"Anaerobutyricum hallii",1640,0.0208558529916704,1639.5,0.020848861850032,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii","Anaerobutyricum",49,"Anaerobutyricum hallii",47,5,0.98,0.98,0.22,0.12
47678,"Bacteroides caccae",1627,0.0206905322057608,1629,0.0207162070456585,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae","Bacteroides",50,"Bacteroides caccae",47,4,0.98,1,0.62,0.02
206672,"Bifidobacterium longum",1587,0.0201818528645005,1582.1,0.0201197228048632,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","Bifidobacterium",50,"Bifidobacterium longum",50,1,1,1,0.06,0
649756,"Anaerostipes hadrus",1472,0.0187193997583773,1484.8,0.0188815940714722,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","Anaerostipes",46,"Anaerostipes hadrus",47,16,1,1,0.32,0.2
536231,"Roseburia intestinalis",1450,0.0184396261206842,1426.2,0.0181367443196364,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia intestinalis","Roseburia",49,"Roseburia intestinalis",49,7,0.98,0.98,0.68,0.32
515620,"Lachnospira eligens",1437,0.0182743053347746,1438.6,0.0182940533448896,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira eligens","Lachnospira",50,"Lachnospira eligens",48,3,1,1,0.32,0.14
411474,"Coprococcus eutactus",1337,0.017002606981624,1335.2,0.016980033727943,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus eutactus","Coprococcus",50,"Coprococcus eutactus",50,5,1,1,0.5,0.12
742726,"Barnesiella intestinihominis",1329,0.0169008711133719,1328.8,0.0168986127598404,"0","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis","Bacteroides",5,"Bacteroides caccae",5,7,0.0909090909090909,0.222222222222222,1,0.888888888888889
411460,"[Ruminococcus] torques",1316,0.0167355503274623,1310.8,0.0166691611740313,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques","Mediterraneibacter",44,"[Ruminococcus] torques",40,22,0.98,1,0.34,0.26
246787,"Bacteroides cellulosilyticus",1304,0.0165829465250843,1318,0.0167607973130389,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus","Bacteroides",50,"Bacteroides cellulosilyticus",49,4,1,1,0.86,0.08
411903,"Collinsella aerofaciens",1187,0.015095059451898,1184.5,0.0150627571619982,"0","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","Collinsella",48,"Collinsella aerofaciens",46,8,1,1,0.3,0.18
295405,"Bacteroides fragilis",1164,0.0148025688306734,1151.1,0.0146388241012907,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","Bacteroides",49,"Bacteroides fragilis",48,4,1,1,0.14,0.12
367928,"Bifidobacterium adolescentis",1147,0.0145863801106378,1142,0.0145232454430038,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium",50,"Bifidobacterium adolescentis",48,2,0.98,1,0.48,0.02
445970,"Alistipes putredinis",1126,0.0143193234564761,1135.9,0.0144452939061355,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","Bacteroides",6,"uncultured bacterium",6,18,0,0.416666666666667,1,0.833333333333333
585394,"Roseburia hominis",955,0.0121447192725885,762.8,0.00970021498680877,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia hominis","Roseburia",37,"Roseburia hominis",28,48,0.82,0.96,0.54,0.48
679935,"Alistipes finegoldii",896,0.0113944172442297,871.6,0.0110840583135472,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii","Alistipes",49,"Alistipes finegoldii",34,7,1,1,0.66,0.06
511680,"Eshraghiella crossota",875,0.011127360590068,886.6,0.0112748175202502,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Eshraghiella","Eshraghiella crossota","Eshraghiella",48,"Eshraghiella crossota",47,7,1,1,0.12,0.08
709991,"Odoribacter splanchnicus",828,0.0105296623640872,829,0.0105424570853109,"0","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter splanchnicus","Odoribacter",50,"Odoribacter splanchnicus",50,1,1,1,0.04,0.02
1002367,"Leyella stercorea",747,0.00949958669803523,777.2,0.00988400433988572,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Leyella","Leyella stercorea","Bacteroides",8,"Bacteroides thetaiotaomicron",6,12,0,0,1,1
411461,"Dorea formicigenerans",611,0.00777007693775037,631.8,0.00803518309177352,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea formicigenerans","Dorea",42,"Dorea formicigenerans",39,15,1,1,0.32,0.28
1282887,"Lachnospira multipara",597,0.00759203916830928,596.8,0.00758985582189282,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira multipara","Clostridium",2,"Anaerobutyricum hallii",1,9,0,0.142857142857143,1,0.857142857142857
471875,"[Ruminococcus] lactaris",491,0.00624403891396961,493,0.00627001195154147,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] lactaris","Mediterraneibacter",45,"[Ruminococcus] lactaris",43,22,1,1,0.44,0.26
0,"unknown genome; accession ID isNZ_GG662014.1",476,0.00605328416099701,473.5,0.00602160712343999,"0","0","0","0","0","0","0","Coprococcus",43,"Coprococcus comes",44,10,0.98,0.98,0.42,0.38
626939,"Phascolarctobacterium succinatutens",450,0.00572264258917785,452.6,0.00575579635064665,"0","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium succinatutens","Phascolarctobacterium",49,"Phascolarctobacterium succinatutens",42,22,1,1,0.9,0.2
1550024,"Ruthenibacterium lactatiformans",439,0.00558275577033128,440.6,0.0056034870487949,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium","Ruthenibacterium lactatiformans","Ruthenibacterium",36,"Ruthenibacterium lactatiformans",37,22,0.975,0.975,0.25,0.15
198214,"Shigella flexneri",422,0.00536656705029567,458.6,0.00583143780365875,"0","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella flexneri","Escherichia",49,"Escherichia coli",49,2,0.16,0.2,1,1
702459,"Bifidobacterium bifidum",406,0.00516309531379157,407.2,0.00517826666527393,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum","Bifidobacterium",50,"Bifidobacterium bifidum",50,2,1,1,0.16,0
745368,"Gemmiger formicilis",352,0.00447637820309023,354.5,0.00450779533739925,"0","Bacillota","Clostridia","Eubacteriales","0","Gemmiger","Gemmiger formicilis","Faecalibacterium",12,"Faecalibacterium prausnitzii",9,10,0,0,1,1
0,"unknown genome; accession ID isNZ_GG662007.1",349,0.00443822725249571,345.1,0.00438854084657803,"0","0","0","0","0","0","0","Coprococcus",38,"Coprococcus comes",41,12,0.98,0.98,0.4,0.38
868129,"Prevotella bivia",335,0.00426018948305462,329.2,0.00418586055482683,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella bivia","Prevotella",11,"Prevotella intermedia",6,18,0,0.8,1,0.533333333333333
1384063,"Mediterraneibacter gnavus",334,0.00424747249952311,336.9,0.00428467466846405,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter gnavus","Mediterraneibacter",48,"Mediterraneibacter gnavus",48,3,0.96,0.96,0.26,0.14
717959,"Alistipes shahii",328,0.00417117059833408,352.1,0.00447816979492563,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","Alistipes",48,"Alistipes shahii",37,7,1,1,0.48,0.06
470145,"Phocaeicola coprocola",302,0.00384052902651491,316.2,0.00402168763366906,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola coprocola","Bacteroides",9,"Phocaeicola vulgatus",5,19,0,0.461538461538462,1,0.769230769230769
1501391,"Alistipes inops",294,0.00373879315826286,294,0.00373889844741101,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes inops","Alistipes",7,"Alistipes communis",2,18,0,0.7,1,0.6
266264,"Cupriavidus metallidurans",274,0.00348445348763273,274,0.00348445348763273,"0","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","Cupriavidus metallidurans","Cupriavidus",50,"Cupriavidus metallidurans",50,1,1,1,0.84,0.28
1121101,"Bacteroides salyersiae",259,0.00329369873466014,259.9,0.00330528506537109,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides salyersiae","Bacteroides",50,"Bacteroides salyersiae",39,10,0.92,1,0.32,0.14
411483,"Faecalibacterium duncaniae",253,0.0032173968334711,268.2,0.00341018944911581,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium duncaniae","Faecalibacterium",50,"Faecalibacterium prausnitzii",49,19,0.86,1,1,0.2
292800,"Flavonifractor plautii",248,0.00315381191581357,248,0.00315443055703314,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor plautii","Flavonifractor",50,"Flavonifractor plautii",50,1,1,1,0.46,0.28
