TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,genus_counts,best_hit_species,species_counts,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,blast_validated
537011,Segatella copri,50262.8352941177,0.573743910668542,50262.3247058824,0.573738034010654,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,Segatella,50,Segatella copri,50,1,1,1,0.22,0.08,TRUE
435590,Phocaeicola vulgatus,13905.4352941176,0.158728785961048,13716.3888235294,0.156570032387548,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,Phocaeicola,46,Phocaeicola vulgatus,37,5,0.82,1,0.62,0.16,TRUE
411479,Bacteroides uniformis,8714.72941176471,0.0994775345215993,8895.43647058824,0.101538884458452,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides,50,Bacteroides uniformis,48,3,1,1,0.9,0.04,TRUE
515619,Agathobacter rectalis,4928.43330548594,0.0562574431309393,4966.3383625731,0.0566909241151409,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter,49,Agathobacter rectalis,48,4,1,1,1,0.14,TRUE
411903,Collinsella aerofaciens,2988,0.034107642257862,2987.7,0.0341049035029509,0,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella,50,Collinsella aerofaciens,49,2,1,1,0.32,0.18,TRUE
445970,Alistipes putredinis,2893,0.0330232292677359,2894.9,0.0330451169923994,0,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes,7,uncultured organism,5,9,0,0.875,1,0.25,FALSE
367928,Bifidobacterium adolescentis,2825,0.0322470178642772,2824.4,0.0322398312497581,0,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium,50,Bifidobacterium adolescentis,48,5,1,1,0.64,0.06,TRUE
411483,Faecalibacterium duncaniae,691.677144249513,0.00789540715997389,675.440248538012,0.00771049362795671,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium duncaniae,Faecalibacterium,50,Faecalibacterium prausnitzii,48,8,0.94,1,1,0.14,TRUE
536231,Roseburia intestinalis,77.3966931216931,0.000883473467515475,51.3680555555556,0.000585984792834932,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia intestinalis,Roseburia,33,Roseburia intestinalis,30,16,0.8125,0.833333333333333,1,1,TRUE
657308,Gordonibacter pamelaeae,43,0.000490839563951829,42.3,0.000483007140396038,0,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Gordonibacter,Gordonibacter pamelaeae,Collinsella,41,Collinsella aerofaciens,41,5,1,1,1,1,TRUE
