"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
537011,"Segatella copri",2521189,0.309699767294225,2521178.7,0.309698505597323,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri","Segatella",48,"Segatella copri",47,4,1,1,0.3,0.14
435590,"Phocaeicola vulgatus",2077364,0.255180848157517,2042772.8,0.250931712262792,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola",45,"Phocaeicola vulgatus",38,7,0.84,0.98,0.56,0.16
411479,"Bacteroides uniformis",1287764,0.158187351733599,1321923.6,0.162383470812518,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides",48,"Bacteroides uniformis",47,5,0.98,1,0.86,0.08
515619,"Agathobacter rectalis",752306,0.0924123471639966,741999.1,0.0911462647221891,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter",46,"Agathobacter rectalis",45,19,0.98,0.98,1,0.36
411903,"Collinsella aerofaciens",455969,0.0560106732154474,455936.5,0.0560066798530156,"0","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","Collinsella",50,"Collinsella aerofaciens",48,4,1,1,0.4,0.2
445970,"Alistipes putredinis",437780,0.0537763587442536,438428.3,0.0538559977529463,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","Alistipes",5,"uncultured organism",6,23,0,0.583333333333333,1,0.666666666666667
367928,"Bifidobacterium adolescentis",425068,0.0522148322415423,424994.1,0.0522057531887183,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium",50,"Bifidobacterium adolescentis",46,4,0.98,1,0.58,0.04
411483,"Faecalibacterium duncaniae",101906,0.0125180081643563,97153.4,0.0119342062222679,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium duncaniae","Faecalibacterium",50,"Faecalibacterium prausnitzii",46,31,0.86,1,1,0.36
763034,"Bacteroides fluxus",12123,0.00148917446447208,12112.8,0.00148792652883417,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fluxus","Bacteroides",47,"Bacteroides thetaiotaomicron",43,8,0,1,1,0.98
717959,"Alistipes shahii",9236,0.00113453892220276,8814.4,0.00108275588806123,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","Alistipes",30,"Alistipes shahii",29,14,0.86,0.98,1,0.5
745368,"Gemmiger formicilis",7202,0.000884684854666989,7253.2,0.000890969561404217,"0","Bacillota","Clostridia","Eubacteriales","0","Gemmiger","Gemmiger formicilis","Faecalibacterium",47,"Faecalibacterium prausnitzii",42,21,0,0,1,1
1122155,"Lactonifactor longoviformis",4673,0.000574025593704365,4065.2,0.000499369831903751,"0","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Lactonifactor","Lactonifactor longoviformis","Faecalibacterium",32,"uncultured human fecal virus",28,42,0,0,1,1
1122981,"Prevotella corporis",4566,0.000560881844822198,3866.5,0.000474950743822408,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella corporis","Phocaeicola",50,"Phocaeicola dorei",50,1,0,0,1,1
999419,"Parabacteroides johnsonii",3958,0.000486195869865585,3959.8,0.000486419586830627,"0","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides johnsonii","Bacteroides",35,"Bacteroides fragilis",23,11,0.02,0.2,1,1
39482,"Faecalicatena contorta",3244,0.000398488984801404,12229.3,0.00150223211633468,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Faecalicatena","Faecalicatena contorta","Flavonifractor",33,"Flavonifractor plautii",34,17,0,0.14,1,1
226186,"Bacteroides thetaiotaomicron",2954,0.000362865740167493,2953.5,0.000362800995769786,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Phocaeicola",46,"Phocaeicola dorei",33,3,0.26,0.96,1,1
1150298,"Fusicatenibacter saccharivorans",2697,0.000331296175095372,2379.3,0.00029226969972631,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans","Faecalibacterium",38,"Coprococcus comes",21,23,0,0,1,1
1123313,"Faecalicoccus pleomorphus",2585,0.000317538232340206,1976.1,0.000242747307775177,"0","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalicoccus","Faecalicoccus pleomorphus","Faecalibacterium",17,"Faecalibacterium prausnitzii",20,33,0,0,1,1
40520,"Blautia obeum",2033,0.000249731228761176,2031.5,0.000249541817400929,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum","Faecalibacterium",43,"Blautia wexlerae",50,19,0.24,1,1,1
536231,"Roseburia intestinalis",1839,0.000225900506488835,6405.7,0.000786871509988669,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia intestinalis","Roseburia",25,"Roseburia intestinalis",29,30,0.74,0.74,1,1
1650663,"Allofournierella massiliensis",1599,0.000196419200584909,1592.9,0.000195664939913108,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Allofournierella","Allofournierella massiliensis","Faecalibacterium",39,"Faecalibacterium prausnitzii",22,20,0,0,1,1
0,"unknown genome; accession ID isNZ_EQ973339.1",1443,0.000177256351747357,1435.4,0.000176326652794269,"0","0","0","0","0","0","0","Faecalibacterium",46,"Faecalibacterium prausnitzii",45,18,0,0,1,0
868129,"Prevotella bivia",1363,0.000167429249779382,1921.5,0.000236029048128045,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella bivia","Phocaeicola",47,"Phocaeicola dorei",47,7,0,0.06,1,1
295405,"Bacteroides fragilis",1327,0.000163007053893793,1182.5,0.000145251237094535,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","Phocaeicola",43,"Phocaeicola dorei",37,3,0.8,0.86,1,1
36847,"Anaerotignum neopropionicum",1163,0.000142861494859443,1119.7,0.000137546111157658,"0","Bacillota","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","Anaerotignum neopropionicum","Clostridioides",20,"Clostridioides difficile",21,32,0,0,1,1
