TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,genus_counts,best_hit_species,species_counts,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,blast_validated
537011,Segatella copri,5026860.21435693,0.573649440160655,5026533.74007976,0.573612186753151,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,Segatella,44,Segatella copri,45,6,1,1,0.34,0.18,TRUE
435590,Phocaeicola vulgatus,1387835.85315856,0.158375452320219,1367192.15487768,0.156019650913348,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,Phocaeicola,48,Phocaeicola vulgatus,39,5,0.86,1,0.56,0.04,TRUE
411479,Bacteroides uniformis,1159603.16937031,0.132330257964593,1179016.3320552,0.134545635843081,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides,50,Bacteroides uniformis,46,6,1,1,0.86,0.08,TRUE
515619,Agathobacter rectalis,508882.230786122,0.0580720358931859,506887.573583663,0.0578444191326771,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter,49,Agathobacter rectalis,48,6,1,1,1,0.24,TRUE
411903,Collinsella aerofaciens,303101.714285714,0.0345890120865392,303118.085714286,0.0345908860802032,0,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella,49,Collinsella aerofaciens,49,4,1,1,0.3,0.26,TRUE
367928,Bifidobacterium adolescentis,282582.285714286,0.0322473995867927,282595.414285714,0.0322488986100423,0,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium,50,Bifidobacterium adolescentis,49,2,1,1,0.56,0.04,TRUE
411483,Faecalibacterium duncaniae,69050.186078173,0.00787978955006614,70573.4679007466,0.00805362733480095,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium duncaniae,Faecalibacterium,49,Faecalibacterium prausnitzii,45,16,0.88,1,1,0.18,TRUE
322095,Porphyromonas somerae,3669,0.000418694713240339,3916.4,0.000446930689630446,0,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas somerae,Phocaeicola,49,Phocaeicola dorei,50,2,0,0,1,1,FALSE
999419,Parabacteroides johnsonii,2655,0.000302980229940883,2638.4,0.000301084001210801,0,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,Bacteroides,34,Bacteroides fragilis,27,7,0,0.02,1,1,FALSE
39482,Faecalicatena contorta,2052,0.00023416777093736,2090.2,0.000238528848879687,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Faecalicatena,Faecalicatena contorta,Flavonifractor,34,Flavonifractor plautii,35,28,0,0.12,1,1,FALSE
411461,Dorea formicigenerans,2169.92323232323,0.000247624798449475,2140.9103030303,0.000244316687858949,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Dorea formicigenerans,Faecalibacterium,34,Coprococcus comes,41,20,0.92,0.92,1,1,TRUE
