"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",2406370,0.305445241111685,2352004.4,0.29854451213117
537011,"Segatella copri",2366294,0.30035831620704,2366313.5,0.300360793137172
411479,"Bacteroides uniformis",1651894,0.209678129764311,1706096.3,0.216558136113807
515619,"Agathobacter rectalis",435547,0.0552848308574621,437722.6,0.0555609804969783
411903,"Collinsella aerofaciens",273657,0.0347358171631547,273648.6,0.0347347526134544
445970,"Alistipes putredinis",267958,0.0340124319692337,268018,0.0340200505196464
367928,"Bifidobacterium adolescentis",255031,0.0323715826269253,255006.2,0.0323684347957476
411483,"Faecalibacterium duncaniae",128651,0.0163299225448536,128543.8,0.0163163137578952
39482,"Faecalicatena contorta",19723,0.00250347888747191,18260.4,0.00231782877803547
745368,"Gemmiger formicilis",7944,0.00100834742595329,7888.1,0.00100125556364426
763034,"Bacteroides fluxus",7365,0.000934853825798843,7334.1,0.000930927915385425
1122155,"Lactonifactor longoviformis",6946,0.000881669337949595,5642.7,0.000716242832220112
411461,"Dorea formicigenerans",6784,0.000861106361740577,5782.1,0.000733938024777808
536231,"Roseburia intestinalis",4428,0.000562054683046473,4083.4,0.000518308576079176
1122981,"Prevotella corporis",2849,0.000361629130984508,2392.6,0.000303703187426994
40520,"Blautia obeum",2594,0.000329261483248092,2597.1,0.00032965927989785
445972,"Anaerotruncus colihominis",2573,0.000326595912258034,2199.4,0.000279177022374821
622312,"Roseburia inulinivorans",2466,0.00031301419340393,2502.5,0.000317653277709104
999419,"Parabacteroides johnsonii",2432,0.000308698507039075,2295.5,0.000291376810700353
NA,"unknown genome; accession ID isNZ_EQ973339.1",1918,0.000243455483758612,1918,0.000243455330503861
1650663,"Allofournierella massiliensis",1839,0.000233427859557919,1886.5,0.000239456781157528
1123313,"Faecalicoccus pleomorphus",1806,0.000229239105144971,2317.9,0.000294216698477327
226186,"Bacteroides thetaiotaomicron",1613,0.000204741238426821,1616.5,0.000205189378491987
36847,"Anaerotignum neopropionicum",1193,0.000151429818625665,1135.1,0.000144076576103994
537007,"Blautia hansenii",1159,0.000147114132260809,1304,0.000165524874977728
411474,"Coprococcus eutactus",943,0.000119696830648786,943.5,0.000119757164258251
1211819,"Holdemania massiliensis",926,0.000117538987466358,815.8,0.00010355343180495
