"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",503039,0.57000230022855,502981.7,0.569937334142527
435590,"Phocaeicola vulgatus",139555,0.158132214417561,137845.2,0.156194798528701
411479,"Bacteroides uniformis",85846,0.0972736059538527,87541.8,0.0991951232038174
515619,"Agathobacter rectalis",50706,0.0574558565745178,50480.6,0.0572004337573534
411903,"Collinsella aerofaciens",30303,0.0343368599727372,30288.4,0.0343202815506657
445970,"Alistipes putredinis",28250,0.032010569720154,28326.6,0.0320973986024084
367928,"Bifidobacterium adolescentis",28242,0.0320015047800562,28219.3,0.0319757429334716
411483,"Faecalibacterium duncaniae",9129,0.0103442297690367,9016.3,0.0102165790702051
679935,"Alistipes finegoldii",1199,0.00135860789714919,1088.6,0.00123352251784946
1002367,"Leyella stercorea",1048,0.0011875071528043,1070.1,0.00121255515382873
745368,"Gemmiger formicilis",613,0.000694601034989536,612.5,0.000694038231077738
622312,"Roseburia inulinivorans",446,0.000505370410449156,764,0.000865650501070968
411461,"Dorea formicigenerans",351,0.000397724246788462,311.1,0.000352565174954649
39482,"Faecalicatena contorta",313,0.000354665781324184,312.5,0.000354125892024379
1121094,"Phocaeicola barnesiae",313,0.000354665781324184,336.3,0.000381094296879638
1123313,"Faecalicoccus pleomorphus",250,0.00028327937805446,247.6,0.000280585239312434
999419,"Parabacteroides johnsonii",244,0.000276480672981153,235.3,0.000266586530138304
226186,"Bacteroides thetaiotaomicron",221,0.000250418970200143,220.8,0.000250171233465681
40520,"Blautia obeum",208,0.000235688442541311,204.5,0.000231728804875863
1650663,"Allofournierella massiliensis",179,0.000202828034686993,135.2,0.000153251431968505
1871018,"Angelakisella massiliensis",148,0.00016770139180824,110.6,0.000125324186870505
411467,"Pseudoflavonifractor capillosus",108,0.000122376691319527,118.4,0.00013420611970641
1123263,"Solobacterium moorei",107,0.000121243573807309,99.5,0.00011273604943651
763034,"Bacteroides fluxus",104,0.000117844221270655,104,0.000117878913525752
742733,"Enterocloster citroniae",100,0.000113311751221784,106.5,0.000120663349146225
796942,"Stomatobaculum longum",88,9.97143410751699e-05,85.8,9.72039442025166e-05
585394,"Roseburia hominis",65,7.36526382941596e-05,65.6,7.43143964372636e-05
1211819,"Holdemania massiliensis",65,7.36526382941596e-05,64.1,7.26480798667884e-05
NA,"unknown genome; accession ID isNZ_DS480350.1",60,6.79870507330704e-05,56.4,6.3954512433396e-05
411474,"Coprococcus eutactus",60,6.79870507330704e-05,59.1,6.69560651927932e-05
246787,"Bacteroides cellulosilyticus",57,6.45876981964169e-05,56.9,6.44566989242992e-05
1550024,"Ruthenibacterium lactatiformans",55,6.23214631719812e-05,60.7,6.87842272904445e-05
295405,"Bacteroides fragilis",54,6.11883456597633e-05,53.4,6.04741070838274e-05
1150298,"Fusicatenibacter saccharivorans",53,6.00552281475455e-05,52.2,5.91196163099468e-05
36847,"Anaerotignum neopropionicum",48,5.43896405864563e-05,36.1,4.08954627517557e-05
1121101,"Bacteroides salyersiae",48,5.43896405864563e-05,53.4,6.05335354287035e-05
411463,"Eubacterium ventriosum",47,5.32565230742385e-05,35.8,4.05648792623731e-05
667015,"Phocaeicola salanitronis",47,5.32565230742385e-05,52.9,5.99531069222327e-05
1408437,"Agathobaculum desmolans",45,5.09902880498028e-05,50.7,5.74542125539638e-05
1121323,"Anaerotignum lactatifermentans",43,4.87240530253671e-05,42.5,4.81702619352708e-05
411471,"Subdoligranulum variabile",38,4.30584654642779e-05,63.7,7.22019837183208e-05
1123058,"Riemerella columbina",34,3.85259954154065e-05,36.4,4.11991261990753e-05
1236513,"Bacteroides faecichinchillae",34,3.85259954154065e-05,34.6,3.92296868002314e-05
476272,"Blautia hydrogenotrophica",33,3.73928779031887e-05,31.9,3.61585151155044e-05
1650661,"Clostridium phoceensis",33,3.73928779031887e-05,38.9,4.41267985756444e-05
301302,"Roseburia faecis",32,3.62597603909709e-05,83.4,9.44492397275041e-05
NA,"unknown genome; accession ID isNZ_EQ973339.1",30,3.39935253665352e-05,47,5.32995706607217e-05
435591,"Parabacteroides distasonis",27,3.05941728298817e-05,74.9,8.48181839750598e-05
556268,"Oxalobacter paraformigenes",26,2.94610553176638e-05,28.7,3.24874200620584e-05
537007,"Blautia hansenii",24,2.71948202932281e-05,37.8,4.28586862434614e-05
742740,"[Clostridium] symbiosum",21,2.37954677565746e-05,21.4,2.42422354154873e-05
3158780,"Ruminococcus sp. YE282",21,2.37954677565746e-05,20.6,2.33819701126624e-05
225004,"Treponema berlinense",20,2.26623502443568e-05,20.3,2.30162406908322e-05
511680,"Eshraghiella crossota",19,2.1529232732139e-05,19.1,2.16723097454766e-05
428127,"Amedibacillus dolichus",18,2.03961152199211e-05,19,2.15114670372939e-05
28116,"Bacteroides ovatus",14,1.58636451710498e-05,14,1.58655587906861e-05
