TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,genus_counts,best_hit_species,species_counts,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,blast_validated
435590,Phocaeicola vulgatus,237405.791635326,0.297146501461072,235290.638003891,0.294499073910574,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,Phocaeicola,48,Phocaeicola dorei,25,3,0.64,1,0.74,0.06,TRUE
411479,Bacteroides uniformis,135695.677226939,0.169842089671143,137780.181060623,0.172451136304668,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides,50,Bacteroides uniformis,47,6,1,1,0.86,0.06,TRUE
537011,Segatella copri,102731.283018868,0.128582546910037,102703.011320755,0.128547128191862,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,Segatella,47,Segatella copri,47,4,1,1,0.28,0.12,TRUE
515619,Agathobacter rectalis,101699,0.127290500555728,101685.816666667,0.127274009838337,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter,47,Agathobacter rectalis,47,9,1,1,1,0.26,TRUE
411903,Collinsella aerofaciens,70926,0.0887737936697073,70927.3,0.0887754008143327,0,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella,50,Collinsella aerofaciens,48,3,1,1,0.36,0.22,TRUE
445970,Alistipes putredinis,70415,0.0881342058096106,71387.7,0.0893516437608956,0,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes,7,uncultured bacterium,5,22,0.0357142857142857,0.588235294117647,1,0.647058823529412,FALSE
367928,Bifidobacterium adolescentis,60416.5,0.0756196867896945,60415.15,0.0756179973573082,0,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium,50,Bifidobacterium adolescentis,44,5,1,1,0.64,0.04,TRUE
411483,Faecalibacterium duncaniae,11191.4166666667,0.0140076208166031,11121.7833333333,0.01392055222967,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium duncaniae,Faecalibacterium,50,Faecalibacterium prausnitzii,48,10,0.86,1,1,0.22,TRUE
679935,Alistipes finegoldii,3058,0.00382751404339685,1925.1,0.00240955431165111,0,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes,40,Alistipes finegoldii,19,14,0.74,0.92,0.7,0.46,TRUE
295405,Bacteroides fragilis,1838.37355292789,0.00230098122656666,1865.62775996013,0.00233520037851078,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Phocaeicola,45,Phocaeicola dorei,47,3,0.96,0.98,1,1,TRUE
411471,Subdoligranulum variabile,460,0.000575754238051848,472.41875,0.000591309989717062,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Subdoligranulum,Subdoligranulum variabile,Faecalibacterium,40,Coprococcus comes,36,31,0.84,0.84,1,1,TRUE
39482,Faecalicatena contorta,330,0.000413041083819804,331,0.000414307248644883,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Faecalicatena,Faecalicatena contorta,Flavonifractor,42,Flavonifractor plautii,42,16,0,0.14,1,1,FALSE
40520,Blautia obeum,306,0.000383001732269273,308.7,0.000386405675266287,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia obeum,Faecalibacterium,40,Blautia wexlerae,42,28,0.44,0.98,1,1,FALSE
1123313,Faecalicoccus pleomorphus,261,0.000326677948112027,266,0.000332890212216842,0,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus,Faecalicoccus pleomorphus,Lactobacillus,28,Lactobacillus crispatus,17,33,0,0,1,1,FALSE
246787,Bacteroides cellulosilyticus,234.25,0.000293196587529664,240.825892857143,0.000301417588217255,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,Bacteroides,47,Bacteroides cellulosilyticus,43,5,0.96,1,1,1,TRUE
411461,Dorea formicigenerans,136.666666666667,0.000171057418551636,148.5,0.000185847395478445,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Dorea formicigenerans,Faecalibacterium,26,Mediterraneibacter gnavus,34,21,0.8,0.84,1,1,TRUE
411474,Coprococcus eutactus,166,0.000207772181557841,162.7,0.000203585599021211,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus eutactus,Coprococcus,50,Coprococcus eutactus,50,2,1,1,1,0.32,TRUE
435591,Parabacteroides distasonis,369.624565938654,0.000462636761580988,539.097211913698,0.000674745773694918,0,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Phocaeicola,34,Parabacteroides distasonis,28,7,0.98,0.98,1,1,TRUE
585394,Roseburia hominis,317,0.000396769768396599,322.3,0.000403518613541567,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia hominis,Blautia,18,Faecalibacterium prausnitzii,14,35,0.68,0.68,0.9,0.84,TRUE
0,unknown genome; accession ID isNZ_EQ973339.1,92,0.00011515084761037,75.9,9.50236167805573e-05,0,0,0,0,0,0,0,Faecalibacterium,49,Faecalibacterium prausnitzii,47,19,0,0,1,0,FALSE
537007,Blautia hansenii,72,9.01180546515936e-05,86.5,0.000108218667823489,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hansenii,Faecalibacterium,26,Mediterraneibacter gnavus,31,20,0.6,0.78,1,1,TRUE
1122984,Prevotella intermedia,66,8.26082167639608e-05,78.1,9.77364529642154e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia,Bacteroides,48,Bacteroides caecimuris,32,7,0.58,0.68,1,1,TRUE
411463,Eubacterium ventriosum,66,8.26082167639608e-05,55.9,6.99789476978545e-05,0,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium ventriosum,Faecalibacterium,31,Faecalibacterium prausnitzii,24,22,0.66,0.66,1,1,TRUE
1650661,Clostridium phoceensis,61,7.63500185242668e-05,66.4,8.30919139513723e-05,0,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium phoceensis,Faecalibacterium,34,Faecalibacterium prausnitzii,31,4,0,0,1,1,FALSE
301302,Roseburia faecis,57,7.13434599325116e-05,72.8,9.11163393186162e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia faecis,Faecalibacterium,41,uncultured human fecal virus,32,26,0,0.3,1,1,FALSE
796942,Stomatobaculum longum,54,6.75885409886952e-05,54.4,6.81093787104291e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Stomatobaculum,Stomatobaculum longum,Faecalibacterium,38,Faecalibacterium prausnitzii,28,27,0,0,1,1,FALSE
3158780,Ruminococcus sp. YE282,51,6.38336220448788e-05,50.7,6.34382531909558e-05,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus sp. YE282,0,0,0,0,0,0,0,0,0,FALSE
28116,Bacteroides ovatus,40,5.0065585917552e-05,40.1,5.01793690712179e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Phocaeicola,40,Phocaeicola dorei,40,1,0.375,0.375,1,1,FALSE
431947,Porphyromonas gingivalis,38,4.75623066216744e-05,26.1,3.2686617524581e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis,Bacteroides,19,Porphyromonas gingivalis,25,6,0.921052631578947,0.921052631578947,1,1,TRUE
511680,Eshraghiella crossota,44.1666666666667,5.5280751117297e-05,46.55,5.82798690017876e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eshraghiella,Eshraghiella crossota,Eshraghiella,32,Eshraghiella crossota,36,15,1,1,0.315789473684211,0.315789473684211,TRUE
556268,Oxalobacter paraformigenes,34,4.25557480299192e-05,34.5,4.32366373460464e-05,0,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Oxalobacter paraformigenes,Faecalibacterium,16,Faecalibacterium prausnitzii,19,26,0,0,1,1,FALSE
