"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
435590,"Phocaeicola vulgatus",241789,0.302966778645008,237460.6,0.297543161646943,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola",46,"Phocaeicola vulgatus",40,4,0.88,1,0.54,0.16
537011,"Segatella copri",236807,0.296724226290643,236753.8,0.296657503146754,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri","Segatella",48,"Segatella copri",48,3,1,1,0.24,0.08
411479,"Bacteroides uniformis",165557,0.207446455265258,169882.3,0.21286616635642,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides",49,"Bacteroides uniformis",48,3,1,1,0.88,0.02
515619,"Agathobacter rectalis",46725,0.0585474224724367,45924.4,0.0575442730970715,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter",42,"Agathobacter rectalis",44,22,0.98,0.98,1,0.28
411903,"Collinsella aerofaciens",27354,0.0342751459456615,27349.9,0.0342700085886407,"0","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","Collinsella",50,"Collinsella aerofaciens",50,3,1,1,0.22,0.12
367928,"Bifidobacterium adolescentis",25501,0.0319532973883276,25495.1,0.0319458991851686,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium",50,"Bifidobacterium adolescentis",45,4,0.98,1,0.58,0.04
445970,"Alistipes putredinis",25442,0.0318793691288118,25646.1,0.0321351519056258,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","Bacteroides",5,"uncultured bacterium",9,24,0,0.538461538461538,1,0.692307692307692
411483,"Faecalibacterium duncaniae",18036,0.0225994930275627,17951.5,0.0224936489948099,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium duncaniae","Faecalibacterium",49,"Faecalibacterium prausnitzii",48,16,0.88,0.98,1,0.1
745368,"Gemmiger formicilis",1154,0.00144598663527431,1132.1,0.00141851580723974,"0","Bacillota","Clostridia","Eubacteriales","0","Gemmiger","Gemmiger formicilis","Faecalibacterium",49,"Faecalibacterium prausnitzii",46,20,0,0,1,1
679935,"Alistipes finegoldii",936,0.00117282798147032,816,0.0010224683413878,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii","Alistipes",44,"Alistipes finegoldii",23,13,0.8,0.96,0.76,0.34
1002367,"Leyella stercorea",928,0.00116280381068852,951.2,0.00119187391482918,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Leyella","Leyella stercorea","Bacteroides",41,"Bacteroides thetaiotaomicron",40,4,0,0,1,1
622312,"Roseburia inulinivorans",882,0.00110516482869319,1582.8,0.00198327648884968,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia inulinivorans","Faecalibacterium",29,"Faecalibacterium prausnitzii",16,20,0,0.571428571428571,1,1
411471,"Subdoligranulum variabile",462,0.000578895862648812,458.5,0.00057446649827409,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Subdoligranulum","Subdoligranulum variabile","Faecalibacterium",38,"Coprococcus comes",38,24,0.86,0.86,1,1
40520,"Blautia obeum",443,0.000555088457042043,443.9,0.000556232341720253,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum","Faecalibacterium",42,"Blautia wexlerae",44,21,0.38,1,1,1
292800,"Flavonifractor plautii",429,0.000537546158173897,372.5,0.000466700339225907,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor plautii","Flavonifractor",49,"Flavonifractor plautii",49,2,1,1,1,1
1650663,"Allofournierella massiliensis",423,0.000530028030087549,403.8,0.000505909329502133,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Allofournierella","Allofournierella massiliensis","Faecalibacterium",42,"Faecalibacterium prausnitzii",23,43,0,0,1,1
