"TaxonomyID","read_count"
537011,49650.7852941177
435590,5960.48498452012
411479,4286.86071984901
515619,4753.55294573643
411903,1307.8
445970,1236.5
367928,1220.5
28116,1940.96049982058
449673,993.044611528822
226186,1012.67774961569
300267,814.7
40520,1024.64005813954
411462,891.528333333333
349741,698
435591,862.460704341319
206672,636.6
47678,752.462127015652
411469,630.722558139535
649756,660.7
515620,642.7
411474,556.5
246787,520.992857142857
411460,492.567558139535
536231,549.255581395349
295405,537.150044898342
511680,335.2875
679935,437.7
709991,327.25
411483,368.23023255814
411461,234.8
585394,205.7875
471875,193.69
717959,184
626939,168.8
1550024,164.5
NA,154.8
198214,172.2
702459,151.8
1384063,182.29761627907
NA,138.4
868129,118.4
1121101,120.87040714995
999419,106.5
292800,102.06511627907
1051074,94.2
1384484,93
266264,87.2
1304,77.5
762982,73.2
445973,65.6
657308,58.7
411463,60.675
518635,53.2
1069534,51
NA,48.1
479437,49.9
NA,50.2
568816,48
592028,46
NA,45.9
1122981,44.1
NA,43
760570,40.5
333849,39.5
1235811,35.3
NA,34.9
1458465,31.1
479436,30
564886,30.4
679190,28
537007,27.5
901,23
97081,19.2
NA,20
NA,11.7
518634,12.4
334413,8.4
NA,9
1121323,8.8
1122155,8.1
763034,9.9
927665,6
428127,5.4
1121333,4.8
1445607,8.6
1034345,5.4
1841865,6.9
1147146,4.3
272563,4.9
NA,3.3
99287,6.1
39482,9.4
1122988,5
NA,5.6
414970,5.1
1123313,2.7
476272,4
NA,4
NA,4
NA,4
547042,7.6
1122979,3
742743,3
1437610,6.7
1211819,3.8
1871021,4
39480,6.7
NA,3
NA,3
NA,3
NA,3
NA,3
566550,2.9
445972,3.6
518636,2.5
379893,3
796942,2.9
1650661,3
1841857,3.9
1841868,3.3
1871035,3
344612,3
1035196,1.2
NA,0.8
1121296,1.6
1121114,2.5
NA,3.1
1408437,2
1242245,2
3158780,2
68895,2
70584,0.8
NA,2
NA,2
NA,2
NA,2
NA,2
NA,2
NA,2
NA,2
411467,2
1158614,2
1203606,2
1122983,1.3
742817,2.3
626937,1.8
1033732,2
947969,2
1477437,1.3
196242,1.7
1567486,2
393305,1
1076,0.7
568814,1
NA,1.1
1410657,1
1150423,1.2
1447715,1
553175,1
NA,1
679200,1.1
1006000,1
908937,1
997353,1
1158601,1
1122978,0.7
78344,1.8
888060,0.9
82633,0.3
NA,0.8
NA,1
610130,0.7
87541,0.6
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
1123263,0.9
411490,2.3
911023,1
NA,0.8
997894,1
1410674,0.8
334735,1
NA,1.2
NA,0.8
NA,1.3
NA,0.5
1427517,1
398843,0.7
441769,0.7
NA,1.1
1122986,1
NA,0.7
NA,1
NA,0.7
NA,0.6
472695,0.7
485602,0.8
1121129,1
NA,1
NA,2.1
NA,1
1236516,0.9
1437609,0.4
1437607,1.7
938289,1.4
1035839,1
1134435,1
1157490,0.8
1160721,1
701347,1
NA,0.6
1547597,1
1650663,1
1712031,1
1720313,1.1
1776381,1
1816678,1.5
1816695,0.6
667120,1.3
1852370,1
1870997,1
1917878,1
1944646,1
563769,1.7
936054,1
1147153,1
