"TaxonomyID","read_count"
537011,5026533.74007976
435590,1367192.15487768
411479,1179016.3320552
515619,506887.573583663
411903,303118.085714286
367928,282595.414285714
411483,70573.4679007466
322095,3916.4
999419,2638.4
39482,2090.2
411461,2140.9103030303
1122155,1941.4
40520,1272.6
NA,978
246787,742.029230769231
537007,539.1
36847,691.7
411474,504.280579710145
1002367,471.9
585394,810.226666666667
295405,1169.28447120178
796942,411.5
1211819,433.7
435591,1531.35954904648
NA,326.9
1121094,355.7
1121101,303
3158780,295
1236513,265
1550024,224.1
536231,385.633623188406
1650661,244.2
1123313,279.1
NA,141.2
1122984,245.650847457627
649756,205.521449275362
411467,146.5
511680,177.234782608696
478749,104.7
1221996,98.3
NA,84.3
431947,59.3
997884,71.7
566550,59.9
428127,44.8
1852362,47
1121129,44
1125702,36
1903263,28.2
290054,23
1871021,26.8
NA,20.8
796943,20
1035196,19.1
449673,19.1
1796620,21.5
947969,17
1349822,13
679935,12
44008,11.6
1203606,13.4
1841865,11.5
NA,7.5
411471,7.2
767031,9.8
NA,7.4
663278,5
1033732,11.7
1720313,13.4
873513,5.4
411463,5.1
1050201,17.9
301302,4.6
1410653,5.7
1745713,4.1
869209,3
742740,12.9
518635,2.8
NA,3.6
NA,3.2
667015,3.4
1236498,3
2897707,3
411469,32
290052,2.1
484018,2.1
742733,2.3
699246,2
1122985,1.4
411468,1
752555,0.6
626523,1
585502,1
518636,1
762982,1
1236517,1
1437610,0.9
NA,1
1841868,1.1
