"TaxonomyID","read_count"
435590,102322.458483853
537011,84931.2360248447
411479,66225.7519864018
515619,72512.3510661564
411903,20946.2
28116,30509.2879352411
367928,19882.2
445970,19976.2
300267,17065.6
449673,17993.9
226186,28989.6375465454
40520,14578.3185483871
435591,13829.0596298174
47678,12674.7020283976
411462,13333.1791074358
246787,11621.8168614572
349741,11513.6
411469,10590.7225601422
411474,9484.7
206672,10110.425
649756,9126.74838709677
515620,12789.1935483871
411460,8467.84439584472
411483,12122.675
585394,7835.2
536231,16004.5878622198
511680,7279.1
295405,10367.2768615587
1550024,8746.725
679935,6277.8
1384063,8509.45088162931
709991,5250.5
411461,5824.65091580098
717959,4552.38823529412
266264,4463.8
471875,4172.3
1501391,4281
292800,3597.35
1121101,3627.40476190476
1304,3326
1384484,3504.8
1051074,3489.2
762966,2863.7
626939,2869.975
411463,2791.24838709677
762982,2727.45714285714
702459,2565
445973,2392.18709677419
518635,2093
NA,2052.9
479437,2000.3
1069534,1932.8
NA,1904.7
999419,1889.5
679190,4186.73500182682
568816,1811.4
657308,1642.6
760570,1579.8
333849,1503.44838709677
198214,1486.5
2585118,751.6
479436,1129.2
901,1053.7
1458465,1040.6
NA,760.3
537007,767.881355932203
NA,639.9
NA,631.7
NA,609.2
NA,588.3
564886,350.6
334413,339.6
445972,499.725
NA,278.4
97081,171.8
NA,134
411467,158.9
NA,112
1035839,110.2
566550,102.7
214092,101.1
1776384,97.4
1427517,93.9
NA,95.3
1236513,92.6
1445607,89.7
NA,88
1653435,114.5
NA,86
701347,93.2
1211819,83
NA,78
1123313,65.2
NA,75
1203606,70.7
NA,73
1650661,68
NA,70
NA,69
NA,69
NA,67
888743,55.5
68895,66
NA,65
1871035,63.8
1006000,64.2
NA,63
1150423,62
NA,61.5
NA,62
NA,61.2
NA,58.8
428127,90.3
NA,58
1852370,54.4
NA,55.8
NA,54
NA,54
NA,52
NA,51
99287,51.2
NA,48
1050201,41.6
1121094,47.7
196242,45.1
NA,40.3
NA,46
871963,38
NA,45
39482,44.3
NA,44
NA,44
997353,38.9
NA,43
938289,55.7
1841865,45.9
NA,42
1410657,41
NA,41
NA,41
1871021,38.3
NA,40
NA,37.9
NA,38
NA,38
547042,38.3
1437610,61.8
36847,36.5
1815968,44.3
525919,30.5
1121114,51.9
NA,32.4
NA,34
411490,37.7
1042878,19.7
796942,33.6
NA,32.5
NA,33
NA,32
NA,32
1218112,28.1
61647,39.2
NA,31
NA,31
NA,31
105219,20.6
626937,30.6
1567486,30.3
NA,29
NA,29
478749,35.7
997894,28
1349822,28.7
NA,27
NA,28
NA,28
2681611,33.3
NA,27
742743,27
563769,34
1147152,26.8
1447715,27.2
1650663,25.3
NA,25
NA,25
NA,25
NA,25
1033732,25.1
NA,23.8
1158614,24
1122988,24.4
742740,25.2
NA,23
NA,23
44008,15.5
NA,22
1841857,24.8
NA,21
NA,20.8
883156,24.9
476272,24.8
NA,20
NA,20
NA,20.4
1408437,19
NA,18.8
NA,19
1150461,19
1437607,20.1
1118056,23.4
3158780,18
NA,19
1871029,23.6
1590550,18
NA,15
NA,17
NA,17
NA,17
927665,22.1
1513592,13
1035196,15.1
873513,14.9
565655,16.1
411473,16
NA,16
431947,11.6
272563,14.5
34002,14.3
NA,15
NA,15
NA,15
NA,15
411471,16.4
518636,14.7
1745713,14.5
NA,11.2
NA,15.1
626522,13.6
NA,14
NA,14
796334,14
1907654,14
NA,13
334735,12.8
NA,14
NA,12
NA,12
1410674,12.2
667015,12.7
NA,12.1
1160721,12
1796646,12.5
553178,13.6
1122973,11
NA,11
NA,11
NA,11
1121950,11
1121947,9.2
194948,9.4
1660368,13.2
28141,10.6
NA,10
NA,10
911023,8.7
