"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",9619,0.0964929879822643,8755.8,0.0878336283448276
537011,"Segatella copri",8464,0.0849066067451799,8463.8,0.0849050445558432
820,"Bacteroides uniformis",6097,0.0611620488333367,6243.4,0.0626308473890767
853,"Faecalibacterium prausnitzii",5692,0.0570992917761772,5655.4,0.0567321860485179
39491,"Agathobacter rectalis",3569,0.0358024195975363,3527.7,0.0353884569716177
1150298,"Fusicatenibacter saccharivorans",2457,0.0246473928134342,2429.4,0.0243709422555516
357276,"Phocaeicola dorei",2323,0.0233031719599543,2902.2,0.029113257923864
386585,"Escherichia coli",2236,0.022430431555083,2235,0.0224204335879204
28116,"Bacteroides ovatus",2127,0.0213369981742672,2003,0.0200929656548577
301302,"Roseburia faecis",2121,0.0212768091808278,2079.5,0.0208600302236034
445970,"Alistipes putredinis",2113,0.0211965571895753,2084.4,0.0209099686022892
411903,"Collinsella aerofaciens",2097,0.0210360532070702,2096.8,0.021033784366884
367928,"Bifidobacterium adolescentis",1975,0.0198122103404691,1971.9,0.0197810678551116
40518,"Ruminococcus bromii",1838,0.0184378949902694,1836.9,0.0184266222405397
823,"Parabacteroides distasonis",1590,0.0159500832614409,1591.2,0.0159625998890955
449673,"Bacteroides stercoris",1577,0.0158196737756556,1549.6,0.0155444316613326
484018,"Phocaeicola plebeius",1453,0.0145757679112413,1388,0.0139233192975896
997873,"Bacteroides caccae",1356,0.0136027125173043,1348.1,0.0135235874741401
818,"Bacteroides thetaiotaomicron",1310,0.0131412635676023,1302.9,0.0130700468214013
239935,"Akkermansia muciniphila",1305,0.0130911060730694,1305,0.0130911060730694
565042,"Bifidobacterium longum",1283,0.012870413097125,1284.6,0.0128861759991268
649756,"Anaerostipes hadrus",1220,0.0122384286660113,1216.2,0.0121999859189881
33039,"[Ruminococcus] torques",1110,0.0111349637862889,1036.7,0.0103996196098625
88431,"Dorea longicatena",1101,0.0110446802961298,1120.5,0.0112398253591633
622312,"Roseburia inulinivorans",1061,0.0106434203398672,996.6,0.00999755847188507
39488,"Anaerobutyricum hallii",1030,0.0103324438737636,1028.2,0.0103144888219686
1125630,"Klebsiella pneumoniae",1010,0.0101318138956323,960.5,0.00963542089323186
471870,"Bacteroides intestinalis",977,0.00980077443171559,820.2,0.00822753214183151
46503,"Parabacteroides merdae",908,0.00910860100716249,918.2,0.00921077165317475
515620,"Lachnospira eligens",899,0.00901831751700339,891.4,0.00894245677269342
470146,"Coprococcus comes",875,0.00877756154324579,900.4,0.00903218493361834
1121115,"Blautia wexlerae",874,0.00876753004433923,858,0.00860679430643118
33043,"Coprococcus eutactus",829,0.00831611259354373,834.2,0.00836868695623734
214856,"Alistipes finegoldii",788,0.0079048211383745,727.7,0.00730017699222532
411459,"Blautia obeum",783,0.00785466364384166,791.9,0.00794391793244559
272559,"Bacteroides fragilis",763,0.00765403366571033,766.9,0.00769315564594615
585394,"Roseburia hominis",760,0.00762393916899063,833.2,0.0083577657125223
411470,"Mediterraneibacter gnavus",758,0.0076038761711775,779,0.00781416752019245
742726,"Barnesiella intestinihominis",749,0.0075135926810184,785.2,0.00787630400729188
246787,"Bacteroides cellulosilyticus",738,0.00740324619304616,914.6,0.0091748428523726
116085,"Coprococcus catus",725,0.0072728367072608,748.8,0.00751150323394831
536231,"Roseburia intestinalis",681,0.00683145075537187,731,0.00733276240025038
1121098,"Phocaeicola massiliensis",673,0.00675119876411933,687.9,0.00690054031977446
1550024,"Ruthenibacterium lactatiformans",641,0.0064301907991092,641.7,0.00643685081751719
28052,"Lachnospira pectinoschiza",611,0.0061292458319122,612,0.00613975528344671
28111,"Bacteroides eggerthii",571,0.00572798587564954,594,0.00595834670113546
119219,"Cupriavidus metallidurans",568,0.00569789137892984,568,0.00569789137892984
45851,"Eshraghiella crossota",548,0.00549726140079851,569.7,0.0057149931422563
347253,"Streptococcus salivarius",512,0.00513612744016211,502.3,0.0050393211695414
868129,"Prevotella bivia",501,0.00502578095218988,498.4,0.00500005755427298
28118,"Odoribacter splanchnicus",501,0.00502578095218988,504.5,0.00506081363804313
292800,"Flavonifractor plautii",472,0.00473486748389944,472.5,0.0047403439152962
717959,"Alistipes shahii",472,0.00473486748389944,507.9,0.00509521338409647
310298,"Phocaeicola coprocola",466,0.00467467849046004,466.3,0.00467748558549736
745368,"Gemmiger formicilis",465,0.00466464699155348,470.3,0.00471776275512756
483215,"Bacteroides finegoldii",443,0.00444395401560901,484.6,0.00486106094323203
1735,"Holdemanella biformis",433,0.00434363902654335,435,0.00436372590812134
1501391,"Alistipes inops",427,0.00428345003310395,427.1,0.00428416627709565
2173,"Methanobrevibacter smithii",425,0.00426338703529081,425,0.00426338703529081
674529,"Bacteroides faecis",424,0.00425335553638425,494.4,0.00496004371205219
291644,"Bacteroides salyersiae",389,0.00390225307465441,405.4,0.00406724366606255
1002367,"Leyella stercorea",378,0.00379190658668218,409.8,0.00411087487127345
39486,"Dorea formicigenerans",360,0.00361133960636398,386.5,0.00387754217783188
1384484,"Adlercreutzia equolifaciens",350,0.00351102461729832,350,0.00351102461729832
1308,"Streptococcus thermophilus",348,0.00349096161948518,357.6,0.00358682670658467
626940,"Phascolarctobacterium succinatutens",338,0.00339064663041952,337.3,0.00338389397271377
39490,"Eubacterium ramulus",305,0.00305960716650282,317.3,0.0031833867638402
762982,"Paraprevotella xylaniphila",302,0.00302951266978312,307.6,0.00308580865474136
471875,"[Ruminococcus] lactaris",295,0.00295929217743715,299,0.0029996314636319
547043,"Bifidobacterium pseudocatenulatum",292,0.00292919768071745,273.4,0.0027422617323971
