"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
357276,"Phocaeicola dorei",22483,0.224886221555389,16803.2,0.168073932221974
820,"Bacteroides uniformis",13238,0.132413103275819,13638.2,0.136415855817064
537011,"Segatella copri",10267,0.10269567391848,10267,0.102695673910257
39491,"Agathobacter rectalis",9913,0.0991547886971743,9951,0.0995344800755062
853,"Faecalibacterium prausnitzii",9069,0.0907126781695424,9028.7,0.0903097209205047
435590,"Phocaeicola vulgatus",8933,0.0893523380845211,14205.1,0.142086866202766
445970,"Alistipes putredinis",7329,0.0733083270817704,7336.5,0.0733833312961187
411903,"Collinsella aerofaciens",7101,0.0710277569392348,7101,0.0710277569389945
367928,"Bifidobacterium adolescentis",6042,0.0604351087771943,6042,0.0604351087767652
40518,"Ruminococcus bromii",5342,0.0534333583395849,5344.3,0.053456623852106
2447885,"Bacteroides faecalis",87,0.000870217554388597,84.8,0.000847808701381939
2838470,"Candidatus Bacteroides intestinigallinarum",39,0.000390097524381095,33.2,0.000332278597317793
762982,"Paraprevotella xylaniphila",23,0.000230057514378595,22.8,0.000227603251786135
2989541,"Bacteroides rhinocerotis",19,0.00019004751187797,21.9,0.000219490759063609
880526,"Rikenella microfusus",15,0.000150037509377344,15.1,0.000150579046514897
3133156,"Faecalibacterium tardum",10,0.000100025006251563,9.7,9.70371335462384e-05
823,"Parabacteroides distasonis",7,7.0017504376094e-05,6.3,6.27588227202341e-05
246787,"Bacteroides cellulosilyticus",6,6.00150037509377e-05,7.2,7.21523574616358e-05
2981789,"Dorea amylophila",6,6.00150037509377e-05,4.8,4.82634296501845e-05
2981782,"Blautia ammoniilytica",5,5.00125031257814e-05,4.8,4.83714066382399e-05
310298,"Phocaeicola coprocola",5,5.00125031257814e-05,4.6,4.63039445446054e-05
180164,"Blautia schinkii",4,4.00100025006252e-05,4.9,4.89171486330141e-05
2739389,"Phocaeicola faecicola",4,4.00100025006252e-05,4.2,4.1631072132743e-05
2981728,"Huintestinicola butyrica",4,4.00100025006252e-05,4,4.001000315612e-05
411467,"Pseudoflavonifractor capillosus",3,3.00075018754689e-05,2.3,2.30508325279459e-05
371601,"Bacteroides xylanisolvens",3,3.00075018754689e-05,3.6,3.55361349803606e-05
NA,"unknown genome; accession ID isNZ_CP182814.1",3,3.00075018754689e-05,3.6,3.6041685242177e-05
2479840,"Prevotella marseillensis",3,3.00075018754689e-05,3,3.03965092748973e-05
869209,"Treponema succinifaciens",2,2.00050012503126e-05,1.1,1.10481026362251e-05
2763047,"Flintibacter faecis",2,2.00050012503126e-05,2.1,2.10098853846082e-05
1472417,"Butyricimonas paravirosa",2,2.00050012503126e-05,3,2.96522301824075e-05
449673,"Bacteroides stercoris",1,1.00025006251563e-05,3.1,3.11518839358847e-05
1236512,"Bacteroides rodentium",1,1.00025006251563e-05,1.3,1.27898611818184e-05
518635,"Bifidobacterium angulatum",1,1.00025006251563e-05,1,1.00025010936958e-05
2763673,"Yanshouia hominis",1,1.00025006251563e-05,1.9,1.90248043599432e-05
2981769,"Waltera acetigignens",1,1.00025006251563e-05,1.4,1.43638118126479e-05
1602169,"Prevotella pectinovora",1,1.00025006251563e-05,1.4,1.43772469949372e-05
