"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
537011,"Segatella copri",25215,0.252195395171131,25214.7,0.252192122291421,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri","Bacteroides",1,"Parabacteroides distasonis",1,3,0,0,0,0
435590,"Phocaeicola vulgatus",20000,0.200036006481167,18638.9,0.186423041275599,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola",29,"Phocaeicola vulgatus",14,2,0,0,0,0
820,"Bacteroides uniformis",12899,0.129013222380028,13241.4,0.132438133277133,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides",16,"Bacteroides uniformis",11,1,0,0,0,0
853,"Faecalibacterium prausnitzii",12156,0.121581884739253,12133.1,0.12135333058656,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii","Faecalibacterium",9,"Faecalibacterium prausnitzii",1,1,0,0,0,0
39491,"Agathobacter rectalis",7413,0.0741433458022444,7435.7,0.0743704139034666,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter",31,"Bacteriophage sp.",1,1,0,0,0,0
357276,"Phocaeicola dorei",4867,0.0486787621771919,5879.3,0.0588033749238252,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola dorei","Phocaeicola",35,"Phocaeicola dorei",34,1,0,0,0,0
411903,"Collinsella aerofaciens",4567,0.0456782220799744,4567,0.0456782220799369,"0","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","Collinsella",1,"Collinsella aerofaciens",19,1,0,0,0,0
445970,"Alistipes putredinis",4441,0.044417995239143,4447.7,0.0444847089730181,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","Alistipes",1,"bacterium",1,1,0,0,0,0
367928,"Bifidobacterium adolescentis",4250,0.0425076513772479,4250,0.0425076513766753,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium",16,"Bifidobacterium adolescentis",35,1,0,0,0,0
40518,"Ruminococcus bromii",4001,0.0400172030965574,4001.1,0.0400186889858151,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus bromii","Acetivibrio",1,"Bacteriophage sp.",1,1,0,0,0,0
