"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
435590,"Phocaeicola vulgatus",1627411,0.162790067252229,1504518,0.150497065717508,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola",34,"Phocaeicola vulgatus",18,1,0,0,0,0
357276,"Phocaeicola dorei",1521104,0.152156168575508,1609117.8,0.160960196460531,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola dorei","Phocaeicola",40,"Phocaeicola dorei",38,1,0,0,0,0
820,"Bacteroides uniformis",1322223,0.132262084434998,1352537.6,0.135294451952464,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides",20,"Bacteroides uniformis",14,1,0,0,0,0
537011,"Segatella copri",1027103,0.10274120455433,1027152.4,0.102746143135584,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri","Segatella",2,"Bacteriophage sp.",1,1,0,0,0,0
39491,"Agathobacter rectalis",1004107,0.100440912626518,998023.3,0.0998323558370735,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Roseburia",3,"Roseburia intestinalis",2,2,0,0,0,0
853,"Faecalibacterium prausnitzii",896790,0.0897059835598548,902657,0.0902928646810345,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii","Faecalibacterium",16,"Faecalibacterium prausnitzii",1,1,0,0,0,0
445970,"Alistipes putredinis",727920,0.0728139024218485,732435.3,0.0732655692258216,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","Alistipes",2,"bacterium",2,1,0,0,0,0
411903,"Collinsella aerofaciens",710132,0.0710345671978131,710104.4,0.071031801611009,"0","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","Collinsella",1,"Bacteriophage sp.",1,1,0,0,0,0
367928,"Bifidobacterium adolescentis",604108,0.0604289770362925,604108,0.0604289770357523,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium",15,"Bifidobacterium adolescentis",1,1,0,0,0,0
40518,"Ruminococcus bromii",533871,0.0534031636716324,534115.3,0.0534276049242354,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus bromii","Bacillus",1,"Bacillus pumilus",1,1,0,0,0,0
2447885,"Bacteroides faecalis",8432,0.000843453710876232,8014.6,0.000801704919815063,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides faecalis","Bacteroides",1,"Phocaeicola dorei",14,1,0,0,0,0
2838470,"Candidatus Bacteroides intestinigallinarum",2550,0.000255076727079506,2325.1,0.000232578748482803,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Candidatus Bacteroides intestinigallinarum","Phocaeicola",49,"Phocaeicola dorei",49,1,0,0,0,0
449673,"Bacteroides stercoris",2355,0.000235570859714602,1931.6,0.000193214703366345,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris","Bacteroides",6,"Bacteroides uniformis",1,1,0,0,0,0
371601,"Bacteroides xylanisolvens",1472,0.000147244291082758,1987.1,0.000198771021479112,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens","Phocaeicola",3,"Phocaeicola dorei",41,2,0,0,0,0
762982,"Paraprevotella xylaniphila",1186,0.000118635685614233,1349.8,0.000135021150205087,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella xylaniphila","Phocaeicola",1,"Phocaeicola dorei",30,1,0,0,0,0
823,"Parabacteroides distasonis",1040,0.000104031292612818,1126.3,0.000112666751704883,"0","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","Bacteroides",1,"Phocaeicola dorei",43,1,0,0,0,0
0,"unknown genome; accession ID isNZ_CP182814.1",529,5.2915917107866e-05,455.2,4.55298178137504e-05,"0","0","0","0","0","0","0","Bacteroides",1,"Phocaeicola dorei",1,1,0,0,0,0
2989541,"Bacteroides rhinocerotis",467,4.67140515867173e-05,397.2,3.97351751506619e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides rhinocerotis","Bacteroides",2,"Phocaeicola dorei",44,1,0,0,0,0
1912894,"Bacteroides kribbi",443,4.43133294494984e-05,461.9,4.61996887294552e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides kribbi","Bacteroides",1,"Phocaeicola dorei",20,1,0,0,0,0
2763064,"Roseburia zhanii",381,3.81114639283496e-05,339.1,3.39159982654009e-05,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia zhanii","Agathobacter",1,"Agathobacter rectalis",1,2,0,0,0,0
28111,"Bacteroides eggerthii",358,3.58107718801816e-05,383.1,3.83181634774286e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides eggerthii","Bacteroides",1,"Phocaeicola dorei",48,1,0,0,0,0
2786956,"Phocaeicola faecalis",281,2.8108455023271e-05,328.7,3.28825454081522e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola faecalis","Phocaeicola",49,"Phocaeicola dorei",49,1,0,0,0,0
2763032,"Butyricimonas hominis",276,2.76083045780171e-05,337.9,3.3804160799584e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas hominis","Bacteroides",1,"Phocaeicola dorei",43,1,0,0,0,0
2739389,"Phocaeicola faecicola",220,2.2006619591173e-05,273.6,2.73713684447514e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola faecicola","Phocaeicola",1,"Phocaeicola dorei",1,1,0,0,0,0
246787,"Bacteroides cellulosilyticus",202,2.02060779882589e-05,250.6,2.50677869548594e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus","Bacteroides",1,"Enterococcus faecium",1,1,0,0,0,0
2981789,"Dorea amylophila",159,1.59047841590751e-05,139.1,1.39178382398445e-05,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea amylophila","Agathobacter",1,"Agathobacter rectalis",1,1,0,0,0,0
2763057,"Parabacteroides hominis",154,1.54046337138211e-05,172.3,1.7236154547498e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides hominis","Bacteroides",2,"Phocaeicola dorei",46,1,0,0,0,0
