"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
435590,"Phocaeicola vulgatus",958791,0.0961305968675248,871979.6,0.0874266976865816,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola",34,"Phocaeicola vulgatus",23,2,0,0,0,0
537011,"Segatella copri",845808,0.0848026607209782,845790.7,0.0848009394583235,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri","Prevotella",2,"Bacteroides thetaiotaomicron",1,1,0,0,0,0
820,"Bacteroides uniformis",602862,0.0604443344678348,609816.2,0.0611415812354155,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides",21,"Bacteroides uniformis",12,1,0,0,0,0
853,"Faecalibacterium prausnitzii",566842,0.0568328861968682,564737,0.056621837592013,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii","Faecalibacterium",11,"Faecalibacterium prausnitzii",2,1,0,0,0,0
39491,"Agathobacter rectalis",350377,0.0351296060754145,344445,0.0345348503116775,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter",1,"Agathobacter rectalis",1,1,0,0,0,0
1150298,"Fusicatenibacter saccharivorans",241772,0.0242406183056111,238437.5,0.0239062962674773,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans","Streptococcus",1,"Streptococcus suis",1,1,0,0,0,0
386585,"Escherichia coli",223159,0.0223744359994618,223145.4,0.0223730702498678,"0","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Escherichia",34,"Escherichia coli",34,1,0,0,0,0
301302,"Roseburia faecis",218210,0.0218782378458523,220147.1,0.0220724616105213,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia faecis","Paenibacillus",1,"Paenibacillus larvae",1,1,0,0,0,0
445970,"Alistipes putredinis",210842,0.0211395051734347,207373.5,0.0207917483055168,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","Alistipes",1,"Alistipes onderdonkii",1,1,0,0,0,0
411903,"Collinsella aerofaciens",209875,0.0210425515232952,209842.6,0.0210393013870942,"0","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","Collinsella",2,"Bacteriophage sp.",1,1,0,0,0,0
357276,"Phocaeicola dorei",208382,0.0208928599000706,277107.1,0.027783400420094,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola dorei","Phocaeicola",33,"Phocaeicola dorei",29,1,0,0,0,0
367928,"Bifidobacterium adolescentis",198812,0.0199333496293002,197971.8,0.0198491132422666,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium",17,"Bifidobacterium longum",2,1,0,0,0,0
28116,"Bacteroides ovatus",193973,0.0194481803293777,182200.2,0.0182678123750801,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","Bacteroides",42,"Bacteroides ovatus",11,1,0,0,0,0
