"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",2521970,0.252263748987982,2521959.6,0.252262707742061
435590,"Phocaeicola vulgatus",2065928,0.206647478922923,1910062.6,0.191056816205726
820,"Bacteroides uniformis",1288389,0.128872999795746,1313797.6,0.131414536953168
853,"Faecalibacterium prausnitzii",1218201,0.121852342129728,1217053.9,0.121737602826643
39491,"Agathobacter rectalis",739698,0.0739893775893101,740827.1,0.0741023195954433
411903,"Collinsella aerofaciens",456615,0.045673585230652,456624.9,0.0456745774311529
445970,"Alistipes putredinis",442605,0.0442722144279376,443724.7,0.0443842102844919
357276,"Phocaeicola dorei",427883,0.042799624780717,557230.5,0.0557377955322375
367928,"Bifidobacterium adolescentis",425017,0.0425129489262859,425017,0.0425129489262328
40518,"Ruminococcus bromii",400040,0.0400145878599477,400048,0.0400153929097746
371601,"Bacteroides xylanisolvens",2471,0.000247165399964831,1659,0.000165942542248563
2838470,"Candidatus Bacteroides intestinigallinarum",1988,0.0001988526164023,1821.9,0.000182233302056752
2447885,"Bacteroides faecalis",977,9.77258582620961e-05,1641.8,0.000164220743802677
1602169,"Prevotella pectinovora",929,9.2924587845944e-05,1022,0.000102223103297356
470146,"Coprococcus comes",835,8.35220999476462e-05,799.4,7.99614719803539e-05
745368,"Gemmiger formicilis",659,6.59174417550884e-05,653.3,6.53484050739735e-05
823,"Parabacteroides distasonis",496,4.96131276335718e-05,541.9,5.41994509010319e-05
2989541,"Bacteroides rhinocerotis",304,3.04080459689634e-05,328,3.28118240821146e-05
471870,"Bacteroides intestinalis",259,2.59068549538208e-05,283.6,2.83632990169077e-05
2763064,"Roseburia zhanii",249,2.49065902837891e-05,216.9,2.16989112896377e-05
1917883,"Bacteroides togonis",182,1.82048169945768e-05,225.7,2.2579422148568e-05
536633,"Blautia glucerasea",173,1.73045787915482e-05,178.5,1.78585365396181e-05
622312,"Roseburia inulinivorans",157,1.57041553194975e-05,161.5,1.61540505095856e-05
46503,"Parabacteroides merdae",127,1.27033613094025e-05,130.4,1.3045977183648e-05
2981782,"Blautia ammoniilytica",100,1.00026467003169e-05,132.4,1.32451685783413e-05
3030638,"Faecalibacterium taiwanense",91,9.10240849728838e-06,85.5,8.55312599041034e-06
2759752,"Limosilactobacillus albertensis",86,8.60227616227254e-06,81.5,8.15037321241356e-06
1122155,"Lactonifactor longoviformis",67,6.70177328921233e-06,61.4,6.14587745480774e-06
2739389,"Phocaeicola faecicola",65,6.50172035520599e-06,76.7,7.67655941829535e-06
2981728,"Huintestinicola butyrica",60,6.00158802019014e-06,65.4,6.54378496036148e-06
310298,"Phocaeicola coprocola",60,6.00158802019014e-06,80.1,8.00883684079568e-06
