"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",95753,0.0959906729061155,87232.6,0.0874490775404173
537011,"Segatella copri",84639,0.0848490863377723,84636.4,0.0848464600164555
820,"Bacteroides uniformis",61142,0.0612937633580746,62416.2,0.0625711043977149
853,"Faecalibacterium prausnitzii",56920,0.0570612837385366,56516.2,0.0566564815664597
39491,"Agathobacter rectalis",35612,0.0357003941759797,35263,0.0353505704332254
1150298,"Fusicatenibacter saccharivorans",24678,0.0247392543938792,24369.3,0.0244297564325694
357276,"Phocaeicola dorei",23350,0.0234079581042662,29192.9,0.0292653998819356
386585,"Escherichia coli",22347,0.0224024685120358,22339.8,0.0223952772286993
28116,"Bacteroides ovatus",21639,0.0216927111528144,20255.2,0.020305467757909
301302,"Roseburia faecis",21369,0.0214220409734503,21012.4,0.0210645799135271
445970,"Alistipes putredinis",21041,0.0210932268296302,20735.7,0.0207871388733475
411903,"Collinsella aerofaciens",21011,0.0210631523652564,21005.5,0.0210576435018241
367928,"Bifidobacterium adolescentis",19841,0.0198902482546786,19808.2,0.0198574135705752
40518,"Ruminococcus bromii",18367,0.0184125895717797,18357.8,0.0184033742107105
823,"Parabacteroides distasonis",16058,0.0160978582971437,16096.4,0.0161363324637048
449673,"Bacteroides stercoris",15741,0.0157800714569274,15543.4,0.0155819418060601
484018,"Phocaeicola plebeius",14513,0.0145490233818936,13742,0.0137761468458949
997873,"Bacteroides caccae",13510,0.0135435337896632,13527,0.0135605779113313
818,"Bacteroides thetaiotaomicron",13230,0.0132628387888412,12925.4,0.0129574457999626
239935,"Akkermansia muciniphila",13052,0.01308439696689,13051.9,0.0130842658695865
565042,"Bifidobacterium longum",12800,0.0128317714661502,12817.4,0.0128492165933644
649756,"Anaerostipes hadrus",12213,0.0122433144465697,12134.7,0.0121647812102962
33039,"[Ruminococcus] torques",11023,0.0110503606930761,10352.8,0.0103784534779522
88431,"Dorea longicatena",10906,0.0109330702820183,11098.7,0.0111262883894567
622312,"Roseburia inulinivorans",10499,0.0105250600486805,10056.6,0.0100815155634766
39488,"Anaerobutyricum hallii",10329,0.0103546380838957,10228.7,0.010254083578935
1125630,"Klebsiella pneumoniae",10115,0.010140106904696,9591.3,0.00961512055642493
471870,"Bacteroides intestinalis",9806,0.009830339921646,8431,0.00845189191014127
515620,"Lachnospira eligens",8973,0.00899527229420044,8920,0.00894218944025171
46503,"Parabacteroides merdae",8853,0.00887497443670528,8951.5,0.00897375183308151
470146,"Coprococcus comes",8706,0.00872760956127371,8893.9,0.00891595075344329
1121115,"Blautia wexlerae",8686,0.00870755991835785,8593.9,0.00861524891175633
33043,"Coprococcus eutactus",8185,0.00820531636331557,8254.7,0.00827521896586751
411459,"Blautia obeum",7996,0.0080158472377607,8008.2,0.00802807948295003
214856,"Alistipes finegoldii",7827,0.00784642775512168,7250.3,0.0072683194344371
411470,"Mediterraneibacter gnavus",7658,0.00767700827248267,7838.2,0.00785767860846563
272559,"Bacteroides fragilis",7608,0.00762688416519302,7649.5,0.00766847902003436
585394,"Roseburia hominis",7600,0.00761886430802667,8199.1,0.00821941359022045
742726,"Barnesiella intestinihominis",7389,0.00740734057526435,7783.1,0.00780240024583442
246787,"Bacteroides cellulosilyticus",7322,0.00734017427149622,8948.4,0.00897059510753123
116085,"Coprococcus catus",7252,0.00727000052129072,7517.8,0.00753650151525186
536231,"Roseburia intestinalis",6826,0.0068429431271829,7251.1,0.00726909818038481
1121098,"Phocaeicola massiliensis",6642,0.006658486412357,6825.9,0.00684279731504661
1550024,"Ruthenibacterium lactatiformans",6446,0.00646199991178157,6461.9,0.0064779684359142
28052,"Lachnospira pectinoschiza",6114,0.0061291758393783,6121,0.00613621262073826
28111,"Bacteroides eggerthii",5733,0.00574723014183117,5929.6,0.00594435417436314
119219,"Cupriavidus metallidurans",5719,0.00573319539179007,5719,0.00573319539179007
45851,"Eshraghiella crossota",5496,0.00550964187327824,5679.9,0.00569401662027321
868129,"Prevotella bivia",5172,0.00518483765804131,5124.3,0.00513702943904502
347253,"Streptococcus salivarius",5143,0.00515576567581331,5065.3,0.00507787762026665
28118,"Odoribacter splanchnicus",5011,0.00502343803256864,5049.6,0.00506216354498455
310298,"Phocaeicola coprocola",4985,0.00499737349677802,4896.4,0.00490858421081005
745368,"Gemmiger formicilis",4757,0.00476880756753722,4847.5,0.00485957416812044
717959,"Alistipes shahii",4706,0.00471768097810178,5095.5,0.00510813692684118
292800,"Flavonifractor plautii",4702,0.00471367104951861,4715.4,0.00472709714403548
674529,"Bacteroides faecis",4444,0.00445503065590402,5294.7,0.00530784078047378
1735,"Holdemanella biformis",4347,0.0043577898877621,4376.1,0.00438700178337595
1501391,"Alistipes inops",4280,0.00429062358399397,4280.2,0.00429081075375257
2173,"Methanobrevibacter smithii",4254,0.00426455904820335,4254,0.00426455904820335
483215,"Bacteroides finegoldii",4017,0.00402697077965041,4401.1,0.00441204116181395
291644,"Bacteroides salyersiae",3921,0.00393073249365429,4101.1,0.0041112409180077
1002367,"Leyella stercorea",3748,0.0037573030824321,4121.5,0.00413172439219465
39486,"Dorea formicigenerans",3621,0.00362998784991639,3933.2,0.00394295360269078
1384484,"Adlercreutzia equolifaciens",3503,0.00351169495671282,3502.7,0.00351142228835196
