"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",49684,0.497466808178305,49684,0.497466693366076
435590,"Phocaeicola vulgatus",5888,0.0589542823958187,5668.2,0.0567536300273756
820,"Bacteroides uniformis",3790,0.0379478142459499,3855.3,0.0386019774198986
853,"Faecalibacterium prausnitzii",3540,0.0354446602719426,3524.4,0.0352881917638205
39491,"Agathobacter rectalis",2207,0.022097843282536,2156.3,0.021590573347992
1150298,"Fusicatenibacter saccharivorans",1495,0.0149688607645634,1476.7,0.0147856891572622
357276,"Phocaeicola dorei",1436,0.0143781164266976,1507.2,0.0150912894271716
386585,"Escherichia coli",1390,0.0139175360954803,1390,0.0139173694247156
301302,"Roseburia faecis",1356,0.0135771071550153,1363.1,0.0136483324500331
445970,"Alistipes putredinis",1324,0.0132567034463424,1288,0.0128961734269484
28116,"Bacteroides ovatus",1304,0.0130564511284218,1261.3,0.0126289921643516
411903,"Collinsella aerofaciens",1303,0.0130464385125258,1302.4,0.0130402782699561
367928,"Bifidobacterium adolescentis",1231,0.0123255301680117,1226.7,0.0122829475446035
40518,"Ruminococcus bromii",1146,0.0114744578168492,1146.1,0.0114750093691474
823,"Parabacteroides distasonis",1003,0.0100426537437171,1012.7,0.0101393929903463
449673,"Bacteroides stercoris",924,0.00925165708793079,932.8,0.00933998794989603
484018,"Phocaeicola plebeius",882,0.00883112722029757,886.6,0.00887731871221774
997873,"Bacteroides caccae",854,0.00855077397520876,881.3,0.00882376835326761
239935,"Akkermansia muciniphila",812,0.00813024410757555,812,0.00813024410757555
565042,"Bifidobacterium longum",797,0.00798005486913511,800.4,0.00801360268649348
649756,"Anaerostipes hadrus",751,0.00751947453791778,752.2,0.00753103045161056
88431,"Dorea longicatena",742,0.00742936099485352,733.5,0.00734431275490961
818,"Bacteroides thetaiotaomicron",718,0.00718905821334882,696.1,0.00696976787274681
246787,"Bacteroides cellulosilyticus",671,0.00671846526623546,646.6,0.00647448249964015
622312,"Roseburia inulinivorans",645,0.0064581372529387,637.6,0.00638395443088208
39488,"Anaerobutyricum hallii",637,0.00637803632577047,638.8,0.00639647522673175
33039,"[Ruminococcus] torques",621,0.00621783447143401,610.7,0.00611462429151943
515620,"Lachnospira eligens",568,0.00568716582894447,563.6,0.00564360172439244
46503,"Parabacteroides merdae",553,0.00553697659050404,562.4,0.00563149896456988
470146,"Coprococcus comes",524,0.00524661072951919,541.6,0.00542239444217088
1121115,"Blautia wexlerae",521,0.00521657288183111,533.2,0.00533857679983525
742726,"Barnesiella intestinihominis",518,0.00518653503414302,515.8,0.00516414743933495
33043,"Coprococcus eutactus",503,0.00503634579570259,509.2,0.00509810170369675
411459,"Blautia obeum",497,0.00497627010032641,504.6,0.00505234488333632
272559,"Bacteroides fragilis",468,0.00468590423934157,473.6,0.00474198267604487
214856,"Alistipes finegoldii",441,0.00441556361014879,434.9,0.00435437874902589
536231,"Roseburia intestinalis",436,0.00436550053066864,456,0.0045654207709189
28052,"Lachnospira pectinoschiza",381,0.00381480665638705,381.3,0.00381762384417947
28111,"Bacteroides eggerthii",350,0.00350441556361015,357.2,0.00357644641787334
45851,"Eshraghiella crossota",341,0.00341430202054589,345.2,0.00345625425723175
28118,"Odoribacter splanchnicus",314,0.00314396139135311,317.2,0.00317577940370325
2173,"Methanobrevibacter smithii",265,0.00265334321244768,265,0.00265334321244768
1125630,"Klebsiella pneumoniae",265,0.00265334321244768,205.9,0.00206161999243171
1002367,"Leyella stercorea",234,0.00234295211967079,244.2,0.00244492433197197
39486,"Dorea formicigenerans",222,0.00222280072891844,228.9,0.00229141340442984
626940,"Phascolarctobacterium succinatutens",212,0.00212267456995815,212,0.00212270550215148
585394,"Roseburia hominis",200,0.0020025231792058,213.5,0.00213781756835189
411470,"Mediterraneibacter gnavus",199,0.00199251056330977,201.9,0.00202128049618905
371601,"Bacteroides xylanisolvens",199,0.00199251056330977,228.8,0.00229077249010786
116085,"Coprococcus catus",195,0.00195246009972565,201,0.00201297444447434
1121098,"Phocaeicola massiliensis",190,0.00190239702024551,187.9,0.00188132872985494
471875,"[Ruminococcus] lactaris",186,0.00186234655666139,187.4,0.001876286037555
1550024,"Ruthenibacterium lactatiformans",164,0.00164206900694876,164.4,0.00164592380341433
1628085,"Agathobaculum butyriciproducens",164,0.00164206900694876,165.2,0.00165440128599109
1681,"Bifidobacterium bifidum",162,0.0016220437751567,162.2,0.00162426258676995
547043,"Bifidobacterium pseudocatenulatum",160,0.00160201854336464,155.4,0.0015564248677748
119219,"Cupriavidus metallidurans",149,0.00149187976850832,149,0.00149187976850832
471870,"Bacteroides intestinalis",141,0.00141177884134009,168.3,0.00168545101680397
868129,"Prevotella bivia",135,0.00135170314596391,127.1,0.00127309149638418
292800,"Flavonifractor plautii",125,0.00125157698700362,125,0.00125157698700362
674529,"Bacteroides faecis",125,0.00125157698700362,162.7,0.00162920061981671
347253,"Streptococcus salivarius",122,0.00122153913931554,127.4,0.0012757077250183
717959,"Alistipes shahii",120,0.00120151390752348,133.6,0.00133772167496831
310298,"Phocaeicola coprocola",116,0.00116146344393936,120.1,0.00120267387430993
1735,"Holdemanella biformis",114,0.00114143821214731,114.8,0.00114922755918914
1501391,"Alistipes inops",112,0.00112141298035525,112,0.00112141298035525
745368,"Gemmiger formicilis",111,0.00111140036445922,111.4,0.00111526495927531
291644,"Bacteroides salyersiae",104,0.00104131205318702,106.1,0.00106223636282127
1308,"Streptococcus thermophilus",101,0.00101127420549893,95.4,0.000954949270272431
1384484,"Adlercreutzia equolifaciens",93,0.000931173278330697,93,0.000931173278330697
483215,"Bacteroides finegoldii",92,0.000921160662434668,105.7,0.00105836621073092
679190,"Hoylesella buccalis",87,0.000871097582954523,82.8,0.000829490816861677
39490,"Eubacterium ramulus",85,0.000851072351162465,88.2,0.000883089386713481
762982,"Paraprevotella xylaniphila",83,0.000831047119370407,84.5,0.000845908627745064
762966,"Parasutterella excrementihominis",70,0.00070088311272203,70.2,0.000702621474482886
33025,"Phascolarctobacterium faecium",69,0.000690870496826001,69,0.000690870496826001
261299,"Intestinibacter bartlettii",60,0.00060075695376174,60,0.000600999436657775
39496,"Eubacterium ventriosum",59,0.000590744337865711,59.5,0.000595382152063427
572010,"Slackia isoflavoniconvertens",59,0.000590744337865711,59,0.000590791586340275
2590157,"Klebsiella variicola",59,0.000590744337865711,118.1,0.00118263422864639
84112,"Eggerthella lenta",57,0.000570719106073653,57,0.00057095987312979
901,"Desulfovibrio piger",56,0.000560706490177624,56,0.000560706490177624
518635,"Bifidobacterium angulatum",52,0.000520656026593508,52.1,0.000521175683085291
1069534,"Ligilactobacillus ruminis",51,0.000510643410697479,51,0.000510738326760145
566552,"Bifidobacterium catenulatum",49,0.000490618178905421,54.4,0.000544751898638053
626929,"Bacteroides clarus",49,0.000490618178905421,49.8,0.000498243138720644
187327,"Acidaminococcus intestini",48,0.000480605563009392,48,0.000480796105613827
592028,"Dialister invisus",46,0.000460580331217334,46,0.000460580331217334
471189,"Gordonibacter pamelaeae",46,0.000460580331217334,46,0.000460999601843503
1352,"Enterococcus faecium",46,0.000460580331217334,46,0.00046058033121733
1122981,"Prevotella corporis",42,0.000420529867633218,45.5,0.000455219286832781
2764323,"Catenibacterium faecis",41,0.000410517251737189,39.6,0.000396740224155963
760570,"Streptococcus parasanguinis",40,0.00040050463584116,40.2,0.000402719554045489
1122992,"Hoylesella timonensis",40,0.00040050463584116,48.5,0.000485296265986863
1260,"Finegoldia magna",39,0.000390492019945131,39,0.000390492019945131
1981510,"Monoglobus pectinilyticus",39,0.000390492019945131,39,0.000390513230531031
555970,"Bifidobacterium animalis",38,0.000380479404049102,38,0.000380479404049102
1064535,"Megasphaera elsdenii",33,0.000330416324568957,33,0.000330416324568957
28130,"Prevotella disiens",33,0.000330416324568957,35.2,0.000352215938312763
29466,"Veillonella parvula",30,0.00030037847688087,30,0.00030037847688087
3035606,"Catenibacterium tridentinum",10,0.00010012615896029,11.4,0.000113942666021656
871665,"Blautia faecis",4,4.0050463584116e-05,3.6,3.55731777026782e-05
2994035,"Sellimonas catena",2,2.0025231792058e-05,2,2.0025409853385e-05
3133153,"Blautia aquisgranensis",2,2.0025231792058e-05,2,2.0025343239128e-05
342942,"Mediterraneibacter glycyrrhizinilyticus",2,2.0025231792058e-05,1.7,1.72929535555708e-05
1653435,"Merdimonas faecis",1,1.0012615896029e-05,1.7,1.72223579681279e-05
1531,"Enterocloster clostridioformis",1,1.0012615896029e-05,1,1.00126383619253e-05
3111861,"Streptococcus gingivalis",1,1.0012615896029e-05,1,1.00138060801905e-05
3133162,"Ruminococcoides intestinale",1,1.0012615896029e-05,1,1.00126779002889e-05
NA,"unknown genome; accession ID isNZ_CP182814.1",1,1.0012615896029e-05,1,1.00140844323878e-05
