"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
537011,"Segatella copri",25232,0.25236542577664,25231.6,0.252361882774949,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri","Prevotella",1,"Bacteriophage sp.",1,3,0,0,0,0
435590,"Phocaeicola vulgatus",20205,0.202086375547599,18575.7,0.185790884001233,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola",36,"Phocaeicola vulgatus",21,2,0,0,0,0
820,"Bacteroides uniformis",12909,0.129113240383269,13169.6,0.131719829283107,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides",20,"Bacteroides uniformis",10,1,0,0,0,0
853,"Faecalibacterium prausnitzii",12188,0.121901942349623,12166,0.121682154007668,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii","Faecalibacterium",15,"Faecalibacterium prausnitzii",2,1,0,0,0,0
39491,"Agathobacter rectalis",7413,0.0741433458022444,7434,0.0743530705839665,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter",31,"Bacteriophage sp.",1,1,0,0,0,0
357276,"Phocaeicola dorei",4706,0.0470684723250185,6045.3,0.0604635520431155,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola dorei","Phocaeicola",33,"Phocaeicola dorei",31,1,0,0,0,0
411903,"Collinsella aerofaciens",4567,0.0456782220799744,4567,0.0456782220799744,"0","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","Collinsella",1,"Collinsella aerofaciens",22,1,0,0,0,0
445970,"Alistipes putredinis",4395,0.0439579124242364,4424.7,0.0442552765649533,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","Alistipes",1,"Alistipes onderdonkii",1,2,0,0,0,0
367928,"Bifidobacterium adolescentis",4250,0.0425076513772479,4250,0.0425076513731322,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium",15,"Bifidobacterium adolescentis",35,1,0,0,0,0
40518,"Ruminococcus bromii",4001,0.0400172030965574,4002,0.0400272666384829,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus bromii","Ruminococcus",2,"Acutalibacter muris",1,1,0,0,0,0
371601,"Bacteroides xylanisolvens",36,0.0003600648116661,30.8,0.000307739189444953,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens","Bacteroides",1,"Phocaeicola dorei",9,1,0,0,0,0
2447885,"Bacteroides faecalis",19,0.000190034206157108,21.8,0.000218195802676937,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides faecalis","Bacteroides",12,"Phocaeicola dorei",6,1,0,0,0,0
2949651,"Parabacteroides sp. TA-V-105",12,0.0001200216038887,9.9,9.91930346290794e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides sp. TA-V-105","Bacteroides",1,"Phocaeicola dorei",8,1,0,0,0,0
2786956,"Phocaeicola faecalis",8,8.00144025924666e-05,7.3,7.30435936955815e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola faecalis","Phocaeicola",8,"Phocaeicola dorei",8,1,0,0,0,0
2989541,"Bacteroides rhinocerotis",8,8.00144025924666e-05,10.3,0.000102784948623735,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides rhinocerotis","Phocaeicola",8,"Phocaeicola dorei",8,1,0,0,0,0
2763064,"Roseburia zhanii",7,7.00126022684083e-05,7,7.00126145472248e-05,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia zhanii","Roseburia",1,"Agathobacter rectalis",2,3,0,0,0,0
763034,"Bacteroides fluxus",5,5.00090016202917e-05,4.7,4.74323905682173e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fluxus","Phocaeicola",5,"Phocaeicola dorei",5,1,0,0,0,0
471870,"Bacteroides intestinalis",4,4.00072012962333e-05,5.1,5.10870717952454e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides intestinalis","Phocaeicola",3,"Phocaeicola dorei",3,1,0,0,0,0
762982,"Paraprevotella xylaniphila",4,4.00072012962333e-05,3.3,3.29523370976618e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella xylaniphila","Phocaeicola",2,"Phocaeicola dorei",2,1,0,0,0,0
310298,"Phocaeicola coprocola",3,3.0005400972175e-05,3.2,3.15840245063199e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola coprocola","Phocaeicola",3,"Phocaeicola dorei",3,1,0,0,0,0
484018,"Phocaeicola plebeius",2,2.00036006481167e-05,2.8,2.78781458955035e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola plebeius","Phocaeicola",2,"Phocaeicola dorei",2,1,0,0,0,0
