"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",50279,0.502885548254168,50279,0.502885453870945
435590,"Phocaeicola vulgatus",13248,0.132505175983437,12264.4,0.122667201648541
820,"Bacteroides uniformis",8579,0.0858063031976075,8746.7,0.0874839209251322
853,"Faecalibacterium prausnitzii",8087,0.0808853682199618,8065.6,0.0806716928767112
39491,"Agathobacter rectalis",4922,0.0492293535771797,4942.5,0.0494343193281314
357276,"Phocaeicola dorei",3279,0.0327962312839439,4091,0.0409177691620765
411903,"Collinsella aerofaciens",3034,0.0303457656954821,3034.2,0.0303476113869844
445970,"Alistipes putredinis",2951,0.0295156079655134,2954.9,0.0295545200877469
367928,"Bifidobacterium adolescentis",2824,0.0282453666196577,2824,0.028245366617236
40518,"Ruminococcus bromii",2658,0.0265850511597203,2658.7,0.0265919150084414
371601,"Bacteroides xylanisolvens",29,0.00029005511047099,26.1,0.000260580248613016
1602169,"Prevotella pectinovora",20,0.000200038007221372,18.8,0.000188212342166664
NA,"unknown genome; accession ID isNZ_CP182814.1",14,0.00014002660505496,13.9,0.000139137419566698
291644,"Bacteroides salyersiae",8,8.00152028885488e-05,7.9,7.88869928409e-05
1236512,"Bacteroides rodentium",7,7.00133025274802e-05,5.9,5.92428309070632e-05
470146,"Coprococcus comes",7,7.00133025274802e-05,6.1,6.09095247356476e-05
745368,"Gemmiger formicilis",7,7.00133025274802e-05,6.8,6.84904969860644e-05
2739389,"Phocaeicola faecicola",4,4.00076014442744e-05,5.3,5.31407436012042e-05
291645,"Bacteroides nordii",4,4.00076014442744e-05,4.1,4.05258942445401e-05
1917883,"Bacteroides togonis",3,3.00057010832058e-05,4.9,4.94622167482198e-05
471870,"Bacteroides intestinalis",2,2.00038007221372e-05,2.5,2.47471172840245e-05
536633,"Blautia glucerasea",2,2.00038007221372e-05,1.6,1.633511192399e-05
2763057,"Parabacteroides hominis",2,2.00038007221372e-05,2.7,2.74233050095222e-05
387090,"Phocaeicola coprophilus",2,2.00038007221372e-05,2.8,2.80800511699931e-05
717959,"Alistipes shahii",2,2.00038007221372e-05,2.1,2.07461630844325e-05
3133156,"Faecalibacterium tardum",2,2.00038007221372e-05,2.8,2.79721992468706e-05
547043,"Bifidobacterium pseudocatenulatum",1,1.00019003610686e-05,1.1,1.07355029250144e-05
2981789,"Dorea amylophila",1,1.00019003610686e-05,1,1.02653156533577e-05
3044208,"Fusibacillus kribbianus",1,1.00019003610686e-05,1.1,1.07263114522266e-05
2929491,"Faecalibacterium wellingii",1,1.00019003610686e-05,1.5,1.45353386177777e-05
3133154,"Coprococcus intestinihominis",1,1.00019003610686e-05,0.3,2.81589764334052e-06
