"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
537011,"Segatella copri",23664,0.236701542401024,23664,0.236701542386543,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri","Prevotella",1,"Segatella copri",2,3,0,0,0,0
435590,"Phocaeicola vulgatus",23556,0.235621261527997,22811.2,0.228171601357999,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola",33,"Phocaeicola vulgatus",17,2,0,0,0,0
820,"Bacteroides uniformis",16537,0.165413007381919,16983.7,0.169881529336203,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides",18,"Bacteroides uniformis",18,1,0,0,0,0
853,"Faecalibacterium prausnitzii",15579,0.155830515934143,15573.1,0.155771185908374,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii","Faecalibacterium",11,"Faecalibacterium prausnitzii",1,1,0,0,0,0
40518,"Ruminococcus bromii",5138,0.0513933622741913,5138.5,0.0513984238113015,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus bromii","Blautia",2,"Roseburia intestinalis",1,2,0,0,0,0
39491,"Agathobacter rectalis",4446,0.0444715626062776,4451.4,0.0445258305476915,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter",32,"uncultured human fecal virus",1,1,0,0,0,0
357276,"Phocaeicola dorei",2940,0.0294076459879569,3236,0.0323681751217847,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola dorei","Phocaeicola",38,"Phocaeicola dorei",37,1,0,0,0,0
411903,"Collinsella aerofaciens",2741,0.0274171284533979,2741,0.0274171284532343,"0","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","Collinsella",4,"Collinsella aerofaciens",1,1,0,0,0,0
445970,"Alistipes putredinis",2677,0.0267769620101226,2679.1,0.0267975683430184,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","Alistipes",1,"Bacteroides fragilis",1,1,0,0,0,0
367928,"Bifidobacterium adolescentis",2550,0.0255066317242483,2550,0.0255066317218241,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium",30,"Bifidobacterium adolescentis",35,1,0,0,0,0
371601,"Bacteroides xylanisolvens",29,0.000290075419609098,25.4,0.000253948129783703,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens","Bacteroides",2,"Phocaeicola dorei",7,2,0,0,0,0
2447885,"Bacteroides faecalis",22,0.000220057214875868,21.2,0.000212290452746359,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides faecalis","Bacteroides",1,"Phocaeicola dorei",8,1,0,0,0,0
1602169,"Prevotella pectinovora",16,0.000160041610818813,18.2,0.000182155076440844,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella pectinovora","Prevotella",1,"Bacteroides fragilis",1,2,0,0,0,0
3133156,"Faecalibacterium tardum",14,0.000140036409466461,13,0.000129690604190646,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium tardum","Faecalibacterium",2,"Faecalibacterium prausnitzii",1,2,0,0,0,0
823,"Parabacteroides distasonis",12,0.00012003120811411,12,0.000120425851031386,"0","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","Bacteroides",1,"Phocaeicola dorei",6,1,0,0,0,0
745368,"Gemmiger formicilis",11,0.000110028607437934,11.3,0.000113369639738001,"0","Bacillota","Clostridia","Eubacteriales","0","Gemmiger","Gemmiger formicilis","Faecalibacterium",1,"Faecalibacterium prausnitzii",1,1,0,0,0,0
2838470,"Candidatus Bacteroides intestinigallinarum",6,6.00156040570548e-05,5.4,5.41305992025045e-05,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Candidatus Bacteroides intestinigallinarum","Phocaeicola",1,"Phocaeicola dorei",6,1,0,0,0,0
1118060,"Enorma massiliensis",4,4.00104027047032e-05,3.7,3.71231095965152e-05,"0","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma","Enorma massiliensis","Lactobacillus",3,"Lactobacillus crispatus",2,2,0,0,0,0
2763064,"Roseburia zhanii",4,4.00104027047032e-05,3.4,3.39522989338541e-05,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia zhanii","Faecalibacterium",1,"uncultured human fecal virus",2,1,0,0,0,0
1121115,"Blautia wexlerae",4,4.00104027047032e-05,4.4,4.36335907778068e-05,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","Blautia",3,"Mediterraneibacter gnavus",2,2,0,0,0,0
