TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,genus_counts,best_hit_species,species_counts,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,blast_validated
537011,Segatella copri,3445572,0.788533491090135,3445570.5,0.788533140979955,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,Segatella,2,Segatella copri,2,3,0,0,0,0,FALSE
357276,Phocaeicola dorei,283080,0.0647840360491075,340505.9,0.0779261947602052,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,Phocaeicola,34,Phocaeicola dorei,31,1,0,0,0,0,FALSE
435590,Phocaeicola vulgatus,246120,0.0563255862385416,189520.3,0.0433725145146496,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,Phocaeicola,44,Phocaeicola dorei,35,1,0,0,0,0,FALSE
445970,Alistipes putredinis,169143,0.0387090794455779,168318.3,0.0385203390751788,0,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes,1,Bacteroides caccae,3,4,0,0,0,0,FALSE
853,Faecalibacterium prausnitzii,142631,0.0326416979147953,142617.6,0.0326386390654583,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium,19,Faecalibacterium prausnitzii,3,1,0,0,0,0,FALSE
40518,Ruminococcus bromii,76553,0.0175194726284701,76566.4,0.0175225295623568,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus bromii,Roseburia,1,Roseburia intestinalis,1,1,0,0,0,0,FALSE
2838470,Candidatus Bacteroides intestinigallinarum,1876,0.000429330407051454,1617.4,0.000370157574639355,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Candidatus Bacteroides intestinigallinarum,Phocaeicola,1,Phocaeicola dorei,50,1,0,0,0,0,FALSE
1602169,Prevotella pectinovora,1715,0.000392484887043307,1531.7,0.000350540734635835,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella pectinovora,Bacteroides,21,Phocaeicola dorei,2,1,0,0,0,0,FALSE
2447885,Bacteroides faecalis,874,0.000200018537187085,1102.7,0.000252347423754864,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecalis,Bacteroides,5,Phocaeicola dorei,36,1,0,0,0,0,FALSE
1917883,Bacteroides togonis,410,9.38302062319277e-05,441.9,0.000101125170817769,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides togonis,Phocaeicola,31,Phocaeicola dorei,31,1,0,0,0,0,FALSE
1002367,Leyella stercorea,383,8.76511438703129e-05,312.1,7.14223961527211e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Leyella,Leyella stercorea,Prevotella,2,Phocaeicola dorei,47,1,0,0,0,0,FALSE
762982,Paraprevotella xylaniphila,297,6.79696859777622e-05,324.4,7.42480554974921e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella xylaniphila,Phocaeicola,45,Phocaeicola dorei,45,1,0,0,0,0,FALSE
0,unknown genome; accession ID isNZ_CP182814.1,204,4.66862489544225e-05,253.6,5.80324792998358e-05,0,0,0,0,0,0,0,Phocaeicola,1,Phocaeicola dorei,49,1,0,0,0,0,FALSE
1776379,Leyella lascolaii,155,3.54723950388995e-05,201.7,4.61545582155018e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Leyella,Leyella lascolaii,Phocaeicola,47,Phocaeicola dorei,47,1,0,0,0,0,FALSE
2763057,Parabacteroides hominis,120,2.74624993849544e-05,161.5,3.69699760647718e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides hominis,Phocaeicola,41,Phocaeicola dorei,41,1,0,0,0,0,FALSE
823,Parabacteroides distasonis,97,2.21988536695048e-05,145.5,3.33080479285772e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Phocaeicola,50,Phocaeicola dorei,50,1,0,0,0,0,FALSE
471870,Bacteroides intestinalis,48,1.09849997539818e-05,50.4,1.15276270762479e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinalis,Phocaeicola,1,Phocaeicola dorei,39,2,0,0,0,0,FALSE
2763064,Roseburia zhanii,47,1.07561455924405e-05,43.7,1.00098224782394e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia zhanii,Faecalibacterium,2,uncultured human fecal virus,11,1,0,0,0,0,FALSE
868129,Prevotella bivia,43,9.84072894627534e-06,42.1,9.63684268552717e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bivia,Prevotella,17,Phocaeicola dorei,19,1,0,0,0,0,FALSE
371601,Bacteroides xylanisolvens,38,8.69645813856891e-06,37.5,8.59136372604622e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,Phocaeicola,1,Phocaeicola dorei,33,1,0,0,0,0,FALSE
679190,Hoylesella buccalis,23,5.2636457154496e-06,35.1,8.03576121403062e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella buccalis,Prevotella,1,Phocaeicola dorei,19,1,0,0,0,0,FALSE
2786956,Phocaeicola faecalis,22,5.03479155390831e-06,28.6,6.53906779822824e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola faecalis,Phocaeicola,1,Phocaeicola dorei,21,1,0,0,0,0,FALSE
3038145,Palleniella muris,16,3.66166658466059e-06,22.2,5.0788266377658e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Palleniella,Palleniella muris,Prevotella,4,Phocaeicola dorei,12,1,0,0,0,0,FALSE
3085167,Segatella sinensis,14,3.20395826157802e-06,13,2.97636230584917e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella sinensis,Prevotella,3,Prevotella melaninogenica,1,1,0,0,0,0,FALSE
2763645,Lentihominibacter hominis,13,2.97510410003673e-06,13.9,3.18761610199799e-06,0,Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Lentihominibacter,Lentihominibacter hominis,Faecalibacterium,1,uncultured human fecal virus,9,1,0,0,0,0,FALSE
3035284,Prevotella sp. B2-R-102,12,2.74624993849544e-06,12.3,2.81956769640872e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp. B2-R-102,Prevotella,3,Phocaeicola dorei,2,1,0,0,0,0,FALSE
39491,Agathobacter rectalis,10,2.28854161541287e-06,10,2.29045244662371e-06,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Faecalibacterium,1,uncultured human fecal virus,1,1,0,0,0,0,FALSE
2685834,Parabacteroides chongii,10,2.28854161541287e-06,10.5,2.40839637297982e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides chongii,Phocaeicola,10,Phocaeicola dorei,10,1,0,0,0,0,FALSE
3014267,Agathobaculum massiliense,10,2.28854161541287e-06,10.1,2.30566855147725e-06,0,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum massiliense,Faecalibacterium,2,Faecalibacterium prausnitzii,1,1,0,0,0,0,FALSE
2801997,Prevotella herbatica,8,1.8308332923303e-06,9.1,2.07179755719088e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella herbatica,Prevotella,3,uncultured bacterium,1,1,0,0,0,0,FALSE
