"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
435590,"Phocaeicola vulgatus",95753,0.0959906729061155,87232.6,0.0874490775404173,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola",37,"Phocaeicola vulgatus",18,2,0,0,0,0
537011,"Segatella copri",84639,0.0848490863377723,84636.4,0.0848464600164555,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri","Bacteroides",1,"uncultured bacterium",1,1,0,0,0,0
820,"Bacteroides uniformis",61142,0.0612937633580746,62416.2,0.0625711043977149,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides",21,"Bacteroides uniformis",18,1,0,0,0,0
853,"Faecalibacterium prausnitzii",56920,0.0570612837385366,56516.2,0.0566564815664597,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii","Faecalibacterium",17,"Faecalibacterium prausnitzii",1,1,0,0,0,0
39491,"Agathobacter rectalis",35612,0.0357003941759797,35263,0.0353505704332254,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Paenibacillus",1,"uncultured bacterium",1,1,0,0,0,0
1150298,"Fusicatenibacter saccharivorans",24678,0.0247392543938792,24369.3,0.0244297564325694,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans","Pseudarthrobacter",1,"Mediterraneibacter gnavus",1,2,0,0,0,0
357276,"Phocaeicola dorei",23350,0.0234079581042662,29192.9,0.0292653998819356,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola dorei","Phocaeicola",32,"Phocaeicola dorei",31,1,0,0,0,0
386585,"Escherichia coli",22347,0.0224024685120358,22339.8,0.0223952772286993,"0","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Escherichia",33,"Escherichia coli",33,1,0,0,0,0
28116,"Bacteroides ovatus",21639,0.0216927111528144,20255.2,0.020305467757909,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","Bacteroides",44,"Bacteroides ovatus",9,1,0,0,0,0
301302,"Roseburia faecis",21369,0.0214220409734503,21012.4,0.0210645799135271,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia faecis","Roseburia",1,"Roseburia intestinalis",2,1,0,0,0,0
445970,"Alistipes putredinis",21041,0.0210932268296302,20735.7,0.0207871388733475,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","Bacteroides",2,"Salmonella bongori",1,1,0,0,0,0
411903,"Collinsella aerofaciens",21011,0.0210631523652564,21005.5,0.0210576435018241,"0","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","Collinsella",1,"Collinsella aerofaciens",24,1,0,0,0,0
367928,"Bifidobacterium adolescentis",19841,0.0198902482546786,19808.2,0.0198574135705752,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium",27,"Bifidobacterium adolescentis",29,1,0,0,0,0
40518,"Ruminococcus bromii",18367,0.0184125895717797,18357.8,0.0184033742107105,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus bromii","Heyndrickxia",1,"Heyndrickxia coagulans",1,1,0,0,0,0
823,"Parabacteroides distasonis",16058,0.0160978582971437,16096.4,0.0161363324637048,"0","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","Parabacteroides",36,"Parabacteroides distasonis",23,1,0,0,0,0
449673,"Bacteroides stercoris",15741,0.0157800714569274,15543.4,0.0155819418060601,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris","Bacteroides",9,"uncultured bacterium",1,1,0,0,0,0
484018,"Phocaeicola plebeius",14513,0.0145490233818936,13742,0.0137761468458949,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola plebeius","Phocaeicola",1,"Phocaeicola dorei",1,1,0,0,0,0
997873,"Bacteroides caccae",13510,0.0135435337896632,13527,0.0135605779113313,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae","Bacteroides",19,"Bacteroides caccae",1,1,0,0,0,0
818,"Bacteroides thetaiotaomicron",13230,0.0132628387888412,12925.4,0.0129574457999626,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Bacteroides",44,"Bacteroides thetaiotaomicron",34,1,0,0,0,0
239935,"Akkermansia muciniphila",13052,0.01308439696689,13051.9,0.0130842658695865,"0","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Akkermansia",48,"Akkermansia muciniphila",48,1,0,0,0,0
565042,"Bifidobacterium longum",12800,0.0128317714661502,12817.4,0.0128492165933644,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","Bifidobacterium",46,"Bifidobacterium longum",43,1,0,0,0,0
649756,"Anaerostipes hadrus",12213,0.0122433144465697,12134.7,0.0121647812102962,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","Blautia",1,"Bacteriophage sp.",1,1,0,0,0,0
33039,"[Ruminococcus] torques",11023,0.0110503606930761,10352.8,0.0103784534779522,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques","Mediterraneibacter",1,"Citrobacter freundii",1,1,0,0,0,0
88431,"Dorea longicatena",10906,0.0109330702820183,11098.7,0.0111262883894567,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea longicatena","Mediterraneibacter",1,"Mediterraneibacter gnavus",1,1,0,0,0,0
622312,"Roseburia inulinivorans",10499,0.0105250600486805,10056.6,0.0100815155634766,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia inulinivorans","Faecalibacterium",2,"Roseburia intestinalis",2,1,0,0,0,0
39488,"Anaerobutyricum hallii",10329,0.0103546380838957,10228.7,0.010254083578935,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii","Escherichia",1,"Escherichia coli",1,2,0,0,0,0
1125630,"Klebsiella pneumoniae",10115,0.010140106904696,9591.3,0.00961512055642493,"0","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","Klebsiella",45,"Klebsiella pneumoniae",43,1,0,0,0,0
471870,"Bacteroides intestinalis",9806,0.009830339921646,8431,0.00845189191014127,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides intestinalis","Bacteroides",6,"Bacteroides fragilis",1,1,0,0,0,0
515620,"Lachnospira eligens",8973,0.00899527229420044,8920,0.00894218944025171,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira eligens","Roseburia",1,"Mediterraneibacter gnavus",1,2,0,0,0,0
46503,"Parabacteroides merdae",8853,0.00887497443670528,8951.5,0.00897375183308151,"0","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides merdae","Parabacteroides",1,"Parabacteroides merdae",43,2,0,0,0,0
470146,"Coprococcus comes",8706,0.00872760956127371,8893.9,0.00891595075344329,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus comes","Mediterraneibacter",1,"Mediterraneibacter gnavus",1,1,0,0,0,0
1121115,"Blautia wexlerae",8686,0.00870755991835785,8593.9,0.00861524891175633,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","Clostridioides",1,"Clostridioides difficile",1,1,0,0,0,0
33043,"Coprococcus eutactus",8185,0.00820531636331557,8254.7,0.00827521896586751,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus eutactus","Coprococcus",1,"Agathobacter rectalis",1,1,0,0,0,0
411459,"Blautia obeum",7996,0.0080158472377607,8008.2,0.00802807948295003,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum","Blautia",2,"Bacteriophage sp.",1,1,0,0,0,0
214856,"Alistipes finegoldii",7827,0.00784642775512168,7250.3,0.0072683194344371,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii","Alistipes",2,"Mycobacterium intracellulare",1,1,0,0,0,0
411470,"Mediterraneibacter gnavus",7658,0.00767700827248267,7838.2,0.00785767860846563,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter gnavus","Mediterraneibacter",1,"Bacteriophage sp.",1,1,0,0,0,0
272559,"Bacteroides fragilis",7608,0.00762688416519302,7649.5,0.00766847902003436,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","Bacteroides",46,"Bacteroides fragilis",46,1,0,0,0,0
585394,"Roseburia hominis",7600,0.00761886430802667,8199.1,0.00821941359022045,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia hominis","Roseburia",1,"uncultured bacterium",1,1,0,0,0,0
