"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",164218,0.164267444500795,150771.2,0.150816578876192
357276,"Phocaeicola dorei",150708,0.150753376766407,160592.7,0.160641088190292
820,"Bacteroides uniformis",132196,0.132235802976696,135275.7,0.13531646758739
537011,"Segatella copri",102716,0.102746926824974,102718.7,0.10274957871975
39491,"Agathobacter rectalis",100491,0.100521256898326,99862.9,0.0998929647345708
853,"Faecalibacterium prausnitzii",89598,0.0896249771181126,90205.8,0.090232951246747
445970,"Alistipes putredinis",72737,0.0727589004290291,73216.7,0.0732387373212677
411903,"Collinsella aerofaciens",71012,0.0710333810476954,71012,0.0710333960732727
367928,"Bifidobacterium adolescentis",60402,0.0604201864761293,60402,0.0604201864757796
40518,"Ruminococcus bromii",53390,0.0534060752286438,53410.3,0.0534263782348968
2447885,"Bacteroides faecalis",848,0.000848255324852781,816.9,0.000817137952703641
2838470,"Candidatus Bacteroides intestinigallinarum",258,0.000258077681382096,229.9,0.000229989872868881
449673,"Bacteroides stercoris",239,0.000239071960660159,220.1,0.000220196025138983
762982,"Paraprevotella xylaniphila",162,0.000162048776681781,160.5,0.000160539531533458
371601,"Bacteroides xylanisolvens",105,0.000105031614515969,137.2,0.000137235240940314
2949651,"Parabacteroides sp. TA-V-105",77,7.70231839783775e-05,80.2,8.01966357981267e-05
2763032,"Butyricimonas hominis",72,7.20216785252361e-05,71.9,7.19607805028916e-05
823,"Parabacteroides distasonis",66,6.60198719814664e-05,73.6,7.36570302249815e-05
2880704,"Duncaniella muricolitica",58,5.80174632564402e-05,72.1,7.20899686784384e-05
46503,"Parabacteroides merdae",40,4.00120436251312e-05,32.1,3.20732064756501e-05
2763064,"Roseburia zhanii",38,3.80114414438746e-05,32.9,3.29514131594577e-05
1217282,"Parabacteroides faecis",31,3.10093338094766e-05,28.8,2.87864114245611e-05
2989541,"Bacteroides rhinocerotis",24,2.40072261750787e-05,22.6,2.26001940500284e-05
622312,"Roseburia inulinivorans",21,2.10063229031939e-05,19.8,1.98131407072933e-05
NA,"unknown genome; accession ID isNZ_CP182814.1",21,2.10063229031939e-05,24.6,2.46293306448711e-05
871324,"Bacteroides stercorirosoris",21,2.10063229031939e-05,25.9,2.59139665628217e-05
515620,"Lachnospira eligens",18,1.8005419631309e-05,20.7,2.07219821854353e-05
2786956,"Phocaeicola faecalis",16,1.60048174500525e-05,25,2.50340135177392e-05
1150298,"Fusicatenibacter saccharivorans",12,1.20036130875393e-05,10.7,1.06861182621017e-05
1002367,"Leyella stercorea",11,1.10033119969111e-05,18.3,1.83124620401157e-05
518635,"Bifidobacterium angulatum",8,8.00240872502623e-06,7.5,7.46498141515299e-06
2736294,"Xylanibacter caecicola",7,7.00210763439795e-06,7.2,7.23486273463222e-06
2739389,"Phocaeicola faecicola",7,7.00210763439795e-06,10.1,1.0147448848877e-05
116085,"Coprococcus catus",7,7.00210763439795e-06,7.7,7.68988999311594e-06
411483,"Faecalibacterium duncaniae",6,6.00180654376967e-06,5.6,5.60561551702064e-06
470146,"Coprococcus comes",5,5.0015054531414e-06,5.8,5.75511284852203e-06
3133152,"Blautia intestinihominis",5,5.0015054531414e-06,5,5.0251824252996e-06
763034,"Bacteroides fluxus",4,4.00120436251312e-06,4.4,4.40436603288105e-06
547043,"Bifidobacterium pseudocatenulatum",4,4.00120436251312e-06,3.9,3.93188742998586e-06
2751153,"Coprobacter secundus",4,4.00120436251312e-06,5.2,5.19599662772883e-06
2024197,"Bacteroides cutis",4,4.00120436251312e-06,4,3.95946587801011e-06
880074,"Barnesiella viscericola",3,3.00090327188484e-06,4.1,4.10445365326685e-06
2763062,"Roseburia rectibacter",3,3.00090327188484e-06,3,3.007448411687e-06
1765219,"Bifidobacterium eulemuris",3,3.00090327188484e-06,2.4,2.37769747073178e-06
39486,"Dorea formicigenerans",3,3.00090327188484e-06,3.6,3.58350349958744e-06
1841868,"Provencibacterium massiliense",3,3.00090327188484e-06,3,3.00090327463682e-06
78346,"Bifidobacterium ruminantium",2,2.00060218125656e-06,2.1,2.12417206450407e-06
2026654,"Flavobacterium luteum",2,2.00060218125656e-06,2.1,2.1241717915383e-06
387090,"Phocaeicola coprophilus",2,2.00060218125656e-06,2.2,2.23948845853109e-06
1870993,"Coprococcus phoceensis",2,2.00060218125656e-06,2.3,2.26803808981816e-06
536231,"Roseburia intestinalis",2,2.00060218125656e-06,3.4,3.38086385434292e-06
2935520,"Faecalibacterium hattorii",1,1.00030109062828e-06,1.1,1.09637918927932e-06
246787,"Bacteroides cellulosilyticus",1,1.00030109062828e-06,3,2.97542906213545e-06
2834434,"Bifidobacterium simiiventris",1,1.00030109062828e-06,1.9,1.9137949746838e-06
3230259,"Lachnospira hominis (ex Hitch et al. 2024)",1,1.00030109062828e-06,2.4,2.35446432049486e-06
3133177,"Bifidobacterium hominis",1,1.00030109062828e-06,1.1,1.06196254185617e-06
2479840,"Prevotella marseillensis",1,1.00030109062828e-06,2,2.03723807001806e-06
2590867,"Enorma burkinafasonensis",1,1.00030109062828e-06,1,1.00030109186013e-06
