"species","tax_abundance"
"Segatella copri",0.2
"Faecalibacterium prausnitzii",0.2
"Phocaeicola vulgatus",0.2
"Bacteroides uniformis",0.2
"Ruminococcus bromii",0.2
"Agathobacter rectalis",0.2
"Bifidobacterium adolescentis",0.2
"Collinsella aerofaciens",0.2
"Alistipes putredinis",0.2
"Phocaeicola dorei",0.2
"Segatella copri",0.2
"Faecalibacterium prausnitzii",0.2
"Phocaeicola vulgatus",0.2
"Bacteroides uniformis",0.2
"Ruminococcus bromii",0.2
"Agathobacter rectalis",0.2
"Bifidobacterium adolescentis",0.2
"Collinsella aerofaciens",0.2
"Alistipes putredinis",0.2
"Phocaeicola dorei",0.2
"Segatella copri",0.2
"Faecalibacterium prausnitzii",0.2
"Phocaeicola vulgatus",0.2
"Bacteroides uniformis",0.2
"Ruminococcus bromii",0.2
"Agathobacter rectalis",0.2
"Bifidobacterium adolescentis",0.2
"Collinsella aerofaciens",0.2
"Alistipes putredinis",0.2
"Phocaeicola dorei",0.2
"Segatella copri",0.2
"Faecalibacterium prausnitzii",0.2
"Phocaeicola vulgatus",0.2
"Bacteroides uniformis",0.2
"Ruminococcus bromii",0.2
"Agathobacter rectalis",0.2
"Bifidobacterium adolescentis",0.2
"Collinsella aerofaciens",0.2
"Alistipes putredinis",0.2
"Phocaeicola dorei",0.2
"Segatella copri",0.2
"Faecalibacterium prausnitzii",0.2
"Phocaeicola vulgatus",0.2
"Bacteroides uniformis",0.2
"Ruminococcus bromii",0.2
"Agathobacter rectalis",0.2
"Bifidobacterium adolescentis",0.2
"Collinsella aerofaciens",0.2
"Alistipes putredinis",0.2
"Phocaeicola dorei",0.2
"Fusicatenibacter saccharivorans",0.2
"Roseburia faecis",0.2
"Bifidobacterium longum",0.2
"Akkermansia muciniphila",0.2
"Anaerostipes hadrus",0.2
"Bacteroides stercoris",0.2
"Escherichia coli",0.2
"Dorea longicatena",0.2
"[Ruminococcus] torques",0.2
"Lachnospira eligens",0.2
"Phocaeicola plebeius",0.2
"Parabacteroides distasonis",0.2
"Anaerobutyricum hallii",0.2
"Coprococcus eutactus",0.2
"Coprococcus comes",0.2
"Bacteroides ovatus",0.2
"Bacteroides caccae",0.2
"Roseburia inulinivorans",0.2
"Barnesiella intestinihominis",0.2
"Methanobrevibacter smithii",0.2
"Lachnospira pectinoschiza",0.2
"Eshraghiella crossota",0.2
"Parabacteroides merdae",0.2
"Blautia obeum",0.2
"Alistipes finegoldii",0.2
"Bacteroides thetaiotaomicron",0.2
"Blautia wexlerae",0.2
"Roseburia intestinalis",0.2
"Phascolarctobacterium succinatutens",0.2
"Bacteroides fragilis",0.2
