"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
28116,"Bacteroides ovatus",2731,0.0366641158859935,2781.2,0.0373426042137585,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus",0,0,0,0,0,NA,NA
435590,"Phocaeicola vulgatus",2640,0.035442426195175,2500.3,0.033570722428716,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",0,0,0,0,0,NA,NA
246787,"Bacteroides cellulosilyticus",2518,0.0338045564997919,2372.6,0.0318563710904683,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus",0,0,0,0,0,NA,NA
226186,"Bacteroides thetaiotaomicron",2419,0.0324754655174728,2390.5,0.0320970306668679,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron",0,0,0,0,0,NA,NA
40520,"Blautia obeum",2090,0.0280585874045135,2055.5,0.0275991324775857,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum",0,0,0,0,0,NA,NA
295405,"Bacteroides fragilis",1646,0.0220978157262341,1578.9,0.0212000550815563,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis",0,0,0,0,0,NA,NA
266264,"Cupriavidus metallidurans",1514,0.0203256944164754,1513.6,0.020322437693626,NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","Cupriavidus metallidurans",0,0,0,0,0,NA,NA
536231,"Roseburia intestinalis",1420,0.0190637292413441,1344.4,0.0180509834886254,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia intestinalis",0,0,0,0,0,NA,NA
411479,"Bacteroides uniformis",1411,0.018942902788406,1561.5,0.0209656669258814,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis",0,0,0,0,0,NA,NA
1121101,"Bacteroides salyersiae",1362,0.0182850698779653,1367.2,0.0183570639974226,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides salyersiae",0,0,0,0,0,NA,NA
47678,"Bacteroides caccae",1327,0.0178151892276505,1380.8,0.0185394856909108,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae",0,0,0,0,0,NA,NA
709991,"Odoribacter splanchnicus",1245,0.01671432598977,1248.1,0.0167580900975828,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter splanchnicus",0,0,0,0,0,NA,NA
198214,"Shigella flexneri",1233,0.0165532240525192,1201.4,0.0161310777194991,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella flexneri",0,0,0,0,0,NA,NA
411461,"Dorea formicigenerans",1222,0.016405547276706,1157.1,0.0155361609279784,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea formicigenerans",0,0,0,0,0,NA,NA
435591,"Parabacteroides distasonis",1200,0.0161101937250795,1230.7,0.016524408513285,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis",0,0,0,0,0,NA,NA
