"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
28116,"Bacteroides ovatus",2731,0.0366641158859935,2781.2,0.0373426042137585
435590,"Phocaeicola vulgatus",2640,0.035442426195175,2500.3,0.033570722428716
246787,"Bacteroides cellulosilyticus",2518,0.0338045564997919,2372.6,0.0318563710904683
226186,"Bacteroides thetaiotaomicron",2419,0.0324754655174728,2390.5,0.0320970306668679
40520,"Blautia obeum",2090,0.0280585874045135,2055.5,0.0275991324775857
295405,"Bacteroides fragilis",1646,0.0220978157262341,1578.9,0.0212000550815563
266264,"Cupriavidus metallidurans",1514,0.0203256944164754,1513.6,0.020322437693626
536231,"Roseburia intestinalis",1420,0.0190637292413441,1344.4,0.0180509834886254
411479,"Bacteroides uniformis",1411,0.018942902788406,1561.5,0.0209656669258814
1121101,"Bacteroides salyersiae",1362,0.0182850698779653,1367.2,0.0183570639974226
47678,"Bacteroides caccae",1327,0.0178151892276505,1380.8,0.0185394856909108
709991,"Odoribacter splanchnicus",1245,0.01671432598977,1248.1,0.0167580900975828
198214,"Shigella flexneri",1233,0.0165532240525192,1201.4,0.0161310777194991
411461,"Dorea formicigenerans",1222,0.016405547276706,1157.1,0.0155361609279784
435591,"Parabacteroides distasonis",1200,0.0161101937250795,1230.7,0.016524408513285
484018,"Phocaeicola plebeius",1177,0.0158014150120155,1164,0.0156290940507442
449673,"Bacteroides stercoris",1153,0.0154792111375139,1141,0.0153196164182512
1122992,"Hoylesella timonensis",1148,0.0154120853303261,967.9,0.0129955648830923
1550024,"Ruthenibacterium lactatiformans",1092,0.0146602762898224,1099,0.0147566241037445
515619,"Agathobacter rectalis",1091,0.0146468511283848,1071.5,0.0143868711005993
679935,"Alistipes finegoldii",1029,0.0138144911192557,1034.3,0.0138879035385997
537011,"Segatella copri",996,0.013371460791816,996.4,0.0133788562193757
470145,"Phocaeicola coprocola",974,0.0130761072401896,1039.3,0.0139548925339818
585394,"Roseburia hominis",961,0.0129015801415012,983,0.0131990515672148
479437,"Eggerthella lenta",952,0.0127807536885631,950.5,0.0127624568785909
717959,"Alistipes shahii",940,0.0126196517513123,940.4,0.0126271987707823
1235811,"Prevotella disiens",934,0.0125391007826869,886,0.0118964924016849
411469,"Anaerobutyricum hallii",926,0.0124316994911864,929.8,0.0124845499514831
1256908,"Eubacterium ramulus",921,0.0123645736839986,900.4,0.0120891368628408
762982,"Paraprevotella xylaniphila",910,0.0122168969081853,912.5,0.0122520745083302
411462,"Dorea longicatena",895,0.0120155194866218,903.3,0.0121277602586225
657308,"Gordonibacter pamelaeae",876,0.0117604414193081,875.6,0.0117559956903503
622312,"Roseburia inulinivorans",875,0.0117470162578705,929.8,0.0124847670263246
742726,"Barnesiella intestinihominis",862,0.0115724891591821,872.9,0.0117203546885931
445973,"Intestinibacter bartlettii",845,0.0113442614147435,844,0.0113316500861466
411474,"Coprococcus eutactus",841,0.0112905607689932,849.3,0.0114039827212276
745368,"Gemmiger formicilis",840,0.0112771356075557,850.5,0.0114196606799862
292800,"Flavonifractor plautii",824,0.0110623330245546,825,0.0110768049757187
515620,"Lachnospira eligens",820,0.0110086323788044,815.7,0.0109520497523544
1384484,"Adlercreutzia equolifaciens",810,0.0108743807644287,809.6,0.0108706550614461
762966,"Parasutterella excrementihominis",795,0.0106730033428652,793.6,0.0106556959058218
1150298,"Fusicatenibacter saccharivorans",793,0.0106461530199901,805.1,0.0108101938087222
301302,"Roseburia faecis",768,0.0103105239840509,794.4,0.0106666040731776
471875,"[Ruminococcus] lactaris",745,0.0100017452709869,751.6,0.0100919125663803
1002367,"Leyella stercorea",713,0.00957214010498476,720.4,0.00967230572879372
411903,"Collinsella aerofaciens",709,0.0095184394592345,707.9,0.00950492207963158
511680,"Eshraghiella crossota",698,0.00937076268342127,712.4,0.00956551031841789
349741,"Akkermansia muciniphila",697,0.0093573375219837,697,0.00935846827251
333849,"Enterococcus faecium",686,0.00920966074617047,683.8,0.00918144642980144
868129,"Prevotella bivia",681,0.00914253493898264,757.9,0.0101767601749862
1122981,"Prevotella corporis",680,0.00912910977754508,842.1,0.0113065158708192
411460,"[Ruminococcus] torques",668,0.00896800784029428,670.5,0.00900261271600961
367928,"Bifidobacterium adolescentis",656,0.00880690590304348,674.3,0.00905341414625399
445970,"Alistipes putredinis",650,0.00872635493441809,660.2,0.00886499673554753
1501391,"Alistipes inops",647,0.00868607945010539,647.4,0.00869217513432663
649756,"Anaerostipes hadrus",646,0.00867265428866782,651.7,0.00875051681294177
568816,"Acidaminococcus intestini",637,0.00855182783572972,637.2,0.00855531756815566
411463,"Eubacterium ventriosum",624,0.00837730073704136,641.2,0.0086086164546516
518635,"Bifidobacterium angulatum",621,0.00833702525272866,598.6,0.00803671809650425
760570,"Streptococcus parasanguinis",615,0.00825647428410327,612,0.00821710340729471
1384063,"Mediterraneibacter gnavus",611,0.008202773638353,611.9,0.00821591824749106
479436,"Veillonella parvula",603,0.00809537234685247,603.1,0.00809807312189821
518637,"Holdemanella biformis",588,0.00789399492528898,583.4,0.00783308952067968
702459,"Bifidobacterium bifidum",582,0.00781344395666358,581.5,0.00780744030420972
1069534,"Ligilactobacillus ruminis",580,0.00778659363378845,580.9,0.0077993599263944
1458465,"Megasphaera elsdenii",569,0.00763891685797522,563.9,0.00757197321498462
626939,"Phascolarctobacterium succinatutens",542,0.00727643749916093,543.4,0.00729631142947097
592028,"Dialister invisus",536,0.00719588653053553,536,0.00719650502242122
1282887,"Lachnospira multipara",530,0.00711533556191013,530,0.0071161953865571
206672,"Bifidobacterium longum",524,0.00703478459328473,525.4,0.00705473851580701
1051074,"Streptococcus thermophilus",501,0.00672600588022071,478.8,0.00642918114604361
679190,"Hoylesella buccalis",442,0.0059339213554043,450.6,0.00605012508369339
1304,"Streptococcus salivarius",366,0.00491360908614926,391.4,0.00525561577528668
901,"Desulfovibrio piger",350,0.0046988065031482,349.8,0.00469704029426361
547042,"Phocaeicola coprophilus",266,0.00357109294239263,259.6,0.00348565569069018
NA,"unknown genome; accession ID isNZ_GG662014.1",255,0.0034234161665794,269.3,0.00361636448526558
999419,"Parabacteroides johnsonii",231,0.00310121229207781,227.3,0.00305233199989688
411483,"Faecalibacterium duncaniae",210,0.00281928390188892,198.7,0.00266835605000376
NA,"unknown genome; accession ID isNZ_GG662007.1",197,0.00264475680320056,198.2,0.00266074526363844
334413,"Finegoldia magna",106,0.00142306711238203,101.8,0.00136632478176545
NA,"unknown genome; accession ID isNZ_GG662012.1",90,0.00120826452938097,92.7,0.00124509863900919
300267,"Shigella dysenteriae",88,0.00118141420650583,95.1,0.00127649214045402
NA,"unknown genome; accession ID isNZ_GG662013.1",82,0.00110086323788044,81.7,0.00109677257036983
537007,"Blautia hansenii",79,0.00106058775356774,75.1,0.00100790424473462
1841865,"Mediterranea massiliensis",78,0.00104716259213017,55.3,0.000742600297382348
NA,"unknown genome; accession ID isNZ_GG662010.1",69,0.000926336139192074,69.3,0.000930075746368733
1776384,"Emergencia timonensis",67,0.000899485816316941,60.4,0.000811023484612025
NA,"unknown genome; accession ID isNZ_GG662006.1",64,0.000859210332004242,64.1,0.00086021929231433
2585118,"Alistipes communis",64,0.000859210332004242,50.3,0.000675887077701198
NA,"unknown genome; accession ID isNZ_GG662008.1",55,0.000738383879066146,55,0.000738144144149672
1121323,"Anaerotignum lactatifermentans",50,0.000671258071878314,45.5,0.000611098355167335
997884,"Bacteroides nordii",42,0.000563856780377784,42,0.000563746025611373
299766,"Enterobacter hormaechei",41,0.000550431618940218,28.7,0.000385447713660477
NA,"unknown genome; accession ID isNZ_ACCK01000438.1",32,0.000429605166002121,32,0.00042965707994307
68895,"Cupriavidus basilensis",31,0.000416180004564555,31.3,0.000420839682813311
NA,"unknown genome; accession ID isNZ_ACCK01000411.1",29,0.000389329681689422,29,0.000389376728698408
NA,"unknown genome; accession ID isNZ_GG662011.1",28,0.000375904520251856,28.8,0.000386150434203323
97081,"Traversvirus II",26,0.000349054197376723,25.5,0.000342709603519614
411471,"Subdoligranulum variabile",25,0.000335629035939157,22.7,0.000304397751088115
1035839,"Haemophilus sputorum",25,0.000335629035939157,24.3,0.000326940732574221
518634,"Bifidobacterium breve",24,0.000322203874501591,27.9,0.000374628213047167
NA,"unknown genome; accession ID isNZ_ACCK01000059.1",24,0.000322203874501591,24,0.000322242809957303
411467,"Pseudoflavonifractor capillosus",23,0.000308778713064025,20.4,0.000274548029522344
742740,"[Clostridium] symbiosum",21,0.000281928390188892,37.3,0.000501003700921096
NA,"unknown genome; accession ID isNZ_ACCK01000072.1",21,0.000281928390188892,21,0.00028196245871264
445972,"Anaerotruncus colihominis",21,0.000281928390188892,25.9,0.000347865116429545
1871018,"Angelakisella massiliensis",20,0.000268503228751326,23.6,0.000316760351729621
NA,"unknown genome; accession ID isNZ_ACCK01000418.1",19,0.000255078067313759,19,0.000255108891216198
NA,"unknown genome; accession ID isNZ_ACCK01000033.1",19,0.000255078067313759,19,0.000255108891216198
203275,"Tannerella forsythia",18,0.000241652905876193,20.5,0.000274966430334654
NA,"unknown genome; accession ID isNZ_ACCK01000024.1",18,0.000241652905876193,18,0.000241682107467977
NA,"unknown genome; accession ID isNZ_ACCK01000409.1",17,0.000228227744438627,17,0.000228255565727859
763034,"Bacteroides fluxus",17,0.000228227744438627,17,0.000228645575389552
1150423,"Bifidobacterium dentium",16,0.000214802583001061,15.6,0.000209209915503694
NA,"unknown genome; accession ID isNZ_ACCK01000460.1",16,0.000214802583001061,16,0.000214828539971535
