"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"1",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus",2731,0.0366641158859935,2781.2,0.0373426042137585,"1","28116","1"
"2",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",2640,0.035442426195175,2500.3,0.033570722428716,"2","435590","1"
"3",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus",2518,0.0338045564997919,2372.6,0.0318563710904683,"3","246787","1"
"4",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron",2419,0.0324754655174728,2390.5,0.0320970306668679,"4","226186","1"
"5",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum",2090,0.0280585874045135,2055.5,0.0275991324775857,"5","40520","1"
"6",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis",1646,0.0220978157262341,1578.9,0.0212000550815563,"6","295405","1"
"7","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",1597,0.0214399828157934,1614.3,0.0216730366374006,"76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208","NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA","0.159674389480276,0.123356293049468,0.0563556668753914,0.0513462742642455,0.0432060112711334,0.0400751408891672,0.0344395742016281,0.0200375704445836,0.0181590482154039,0.0175328741390106,0.0150281778334377,0.013149655604258,0.0118973074514715,0.0118973074514715,0.0112711333750783,0.010644959298685,0.0100187852222918,0.0100187852222918,0.0100187852222918,0.00939261114589856,0.00876643706950532,0.00876643706950532,0.00876643706950532,0.00876643706950532,0.00876643706950532,0.00814026299311208,0.00814026299311208,0.00814026299311208,0.00751408891671885,0.00751408891671885,0.00688791484032561,0.00688791484032561,0.00688791484032561,0.00626174076393237,0.00626174076393237,0.00626174076393237,0.00563556668753914,0.00563556668753914,0.00563556668753914,0.0050093926111459,0.0050093926111459,0.0050093926111459,0.0050093926111459,0.0050093926111459,0.0050093926111459,0.00438321853475266,0.00438321853475266,0.00438321853475266,0.00438321853475266,0.00438321853475266,0.00438321853475266,0.00438321853475266,0.00438321853475266,0.00375704445835942,0.00375704445835942,0.00375704445835942,0.00375704445835942,0.00375704445835942,0.00313087038196619,0.00313087038196619,0.00313087038196619,0.00250469630557295,0.00250469630557295,0.00250469630557295,0.00250469630557295,0.00250469630557295,0.00250469630557295,0.00250469630557295,0.00250469630557295,0.00250469630557295,0.00250469630557295,0.00250469630557295,0.00250469630557295,0.00187852222917971,0.00187852222917971,0.00187852222917971,0.00187852222917971,0.00187852222917971,0.00187852222917971,0.00187852222917971,0.00187852222917971,0.00187852222917971,0.00187852222917971,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.00125234815278647,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237,0.000626174076393237"
"8",NA,NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","Cupriavidus metallidurans",1514,0.0203256944164754,1513.6,0.020322437693626,"7","266264","1"
"9",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia intestinalis",1420,0.0190637292413441,1344.4,0.0180509834886254,"8","536231","1"
"10",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis",1411,0.018942902788406,1561.5,0.0209656669258814,"9","411479","1"
