"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
28116,"Bacteroides ovatus",2445,0.0344443818325256,2479.1,0.0349248731610665,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","5","1","1","1","1","Bacteroides","caecimuris"
226186,"Bacteroides thetaiotaomicron",2357,0.0332046658401893,2194.4,0.0309136573344741,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","16","1","1","1","1","Bacteroides","caccae"
435590,"Phocaeicola vulgatus",2229,0.0314014425786093,2290.3,0.0322651739712191,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","4","1","1","1","1","Parabacteroides","distasonis"
246787,"Bacteroides cellulosilyticus",1940,0.027330102558323,1953.4,0.0275192626323756,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus","13","1","1","1","1","Bacteroides","cellulosilyticus"
40520,"Blautia obeum",1809,0.0254846162515496,1850.7,0.0260716121612812,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum","4","0.59375","0.96875","0.4375","0.03125","Blautia","obeum"
536231,"Roseburia intestinalis",1495,0.021061084187986,1386.7,0.0195346931013006,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia intestinalis","19","0.966666666666667","0.966666666666667","0.3","0.2","Roseburia","intestinalis"
449673,"Bacteroides stercoris",1441,0.0203003493745069,1325.6,0.0186749492606016,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris","14","0.888888888888889","1","0.555555555555556","0.555555555555556","Bacteroides","stercoris"
411479,"Bacteroides uniformis",1430,0.0201453848754649,1441.8,0.0203111367333201,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","7","1","1","0.5","0.111111111111111","Bacteroides","uniformis"
295405,"Bacteroides fragilis",1408,0.0198354558773808,1400.6,0.0197310637626611,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","11","1","1","1","1","Bacteroides","caccae"
1121101,"Bacteroides salyersiae",1353,0.0190606333821706,1368.6,0.019280135640781,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides salyersiae","4","0.8","1","0.4","0.4","Bacteroides","salyersiae"
709991,"Odoribacter splanchnicus",1253,0.0176518652090612,1260.5,0.0177579450872417,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter splanchnicus","10","1","1","1","1","Bacteroides","caccae"
266264,"Cupriavidus metallidurans",1251,0.017623689845599,1250.9,0.0176229463280811,NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","Cupriavidus metallidurans","3","1","1","0.5","0","Cupriavidus","metallidurans"
1550024,"Ruthenibacterium lactatiformans",1207,0.0170038318494309,1184.7,0.0166894259681186,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium","Ruthenibacterium lactatiformans","6","0.869565217391304","0.869565217391304","0.130434782608696","0.130434782608696","Ruthenibacterium","lactatiformans"
484018,"Phocaeicola plebeius",1201,0.0169193057590443,1302.3,0.0183464318535628,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola plebeius","12","0","0.5","1","0.75","Bacteroides","distasonis"
47678,"Bacteroides caccae",1171,0.0164966753071115,1176.4,0.0165725305964709,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae","7","1","1","1","0","Bacteroides","caccae"
622312,"Roseburia inulinivorans",1125,0.0158486419474811,1166.3,0.0164307667474386,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia inulinivorans","11","0.0909090909090909","0.454545454545455","1","0.545454545454545","Roseburia","hominis"
470145,"Phocaeicola coprocola",1122,0.0158063789022878,1049.9,0.0147909837565,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola coprocola","17","0","0.75","1","0.875","Bacteroides","fragilis"
411461,"Dorea formicigenerans",1102,0.015524625267666,1076.7,0.0151686141972472,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea formicigenerans","25","1","1","0.333333333333333","0.333333333333333","Dorea","formicigenerans"
411469,"Anaerobutyricum hallii",1053,0.0148343288628423,990.4,0.0139522659507947,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii","7","0.944444444444444","0.944444444444444","0.111111111111111","0.111111111111111","Anaerobutyricum","hallii"
435591,"Parabacteroides distasonis",1015,0.0142989969570607,1023.7,0.0144219630838515,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","11","1","1","1","1","Bacteroides","communis"
537011,"Segatella copri",1009,0.0142144708666742,1008.1,0.0142021670853042,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri","1","1","1","0","0","Segatella","copri"
515619,"Agathobacter rectalis",989,0.0139327172320523,1008.6,0.0142094299249158,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","6","1","1","1","1","Roseburia","[Ruminococcus] lactaris"
585394,"Roseburia hominis",951,0.0133973853262707,1000.1,0.0140885848746453,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia hominis","3","1","1","1","1","Enterocloster","asparagiformis"
198214,"Shigella flexneri",945,0.0133128592358841,919.3,0.0129505117049968,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella flexneri","3","1","1","1","1","Shigella","coli"
1122992,"Hoylesella timonensis",945,0.0133128592358841,951.9,0.013409878116232,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Hoylesella","Hoylesella timonensis","13","0","0.5","1","0.5","Bacteroides","buccalis"
717959,"Alistipes shahii",942,0.0132705961906909,952.1,0.0134122391989932,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","8","1","1","1","1","Alistipes","caecimuris"
1235811,"Prevotella disiens",925,0.0130311056012623,881.4,0.0124175520638083,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella disiens","9","0","0.772727272727273","1","0.318181818181818","Prevotella","intermedia"
742726,"Barnesiella intestinihominis",918,0.0129324918291446,920.1,0.0129621836917278,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis","4","0","0","1","1","Bacteroides","dorei"
762982,"Paraprevotella xylaniphila",902,0.0127070889214471,910.4,0.0128259309331671,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella xylaniphila","2","1","1","0.0416666666666667","0.0416666666666667","Paraprevotella","xylaniphila"
1002367,"Leyella stercorea",895,0.0126084751493294,920.4,0.0129666766896193,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Leyella","Leyella stercorea","18","0","0","1","1","Bacteroides","dorei"
745368,"Gemmiger formicilis",895,0.0126084751493294,896.5,0.0126300661776857,NA,"Bacillota","Clostridia","Eubacteriales",NA,"Gemmiger","Gemmiger formicilis","8","0","0","1","1","Faecalibacterium","prausnitzii"
1256908,"Eubacterium ramulus",880,0.012397159923363,856.5,0.0120659840981301,NA,"Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium ramulus","12","0","0","1","1","Coprococcus","longicatena"
