Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Absicoccus,Absicoccus porci,Absicoccus porci,1,0,0,0,0,0,0,11,0
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio ethanolgignens,Acetivibrio ethanolgignens,2,0,0,0,0,57,126,172,74
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus hominis,Acidaminococcus hominis,3,0,0,0,0,0,0,0,3
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus intestini,4,0,0,0,0,4860,12687,64316,18323
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus timonensis,Acidaminococcus timonensis,5,0,0,0,0,0,2,5,0
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,6,0,0,0,0,9296,24310,80956,35027
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia hattorii,Adlercreutzia hattorii,7,0,0,0,0,0,0,6,0
NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Aedoeadaptatus,Aedoeadaptatus coli,Aedoeadaptatus coli,8,0,0,0,0,0,0,0,1
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter rectalis,9,493375,742535,999081,445467,218712,197315,98547,352169
NA,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum butyriciproducens,Agathobaculum butyriciproducens,10,0,0,0,0,17897,46908,75318,28890
NA,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum faecis,Agathobaculum faecis,11,0,0,0,0,2,0,3,0
NA,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum massiliense,Agathobaculum massiliense,12,0,0,4,0,0,1,2,0
NA,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia massiliensis,Akkermansia massiliensis,13,0,0,0,0,0,1,0,0
NA,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,14,0,0,0,0,81196,212333,81400,130510
NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax profundi,Alcanivorax profundi,15,0,1,0,0,0,0,0,0
