species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Acetitomaculum ruminis,0,0,0,0,0,2,30,0
Acetivibrio cellulolyticus,0,0,0,0,0,0,3,0
Acetivibrio ethanolgignens,0,2,0,1,2,7,3,3
Acetoanaerobium sticklandii,0,0,0,0,0,0,2,0
Acidaminococcus fermentans,0,0,0,0,1,10,15,2
Acidaminococcus intestini,0,0,0,0,470,1250,6353,1807
Acidaminococcus timonensis,0,0,0,0,0,0,3,2
Acidovorax soli,0,0,0,0,0,0,1,0
Acinetobacter johnsonii,0,0,0,0,2,8,5,8
Acinetobacter junii,0,0,0,0,0,0,6,0
Acinetobacter schindleri,0,0,0,0,3,1,0,1
Actinobacillus succinogenes,0,0,0,0,1,0,0,0
Acutalibacter muris,6,4,4,8,1,3,1,1
Adlercreutzia caecimuris,0,0,0,0,0,0,1,4
Adlercreutzia equolifaciens,0,0,0,0,930,2431,8092,3505
Adlercreutzia mucosicola,0,0,0,0,0,1,0,0
Aerococcus viridans,0,0,0,0,0,1,0,0
Aeromonas schubertii,0,0,0,0,0,0,1,0
Agathobacter rectalis,50706,76658,101545,46725,20915,20351,9212,36080
Agathobaculum desmolans,45,64,37,46,16,31,43,19
Aguilavirus mEp213,0,0,0,0,0,3,2,1
Akkermansia muciniphila,0,0,0,0,6998,18467,7007,11309
Alicycliphilus denitrificans,0,0,0,0,0,0,2,8
Alistipes communis,0,0,0,0,983,1875,16,1235
Alistipes finegoldii,1199,1735,3058,936,4210,9263,10159,6175
Alistipes ihumii,0,0,0,0,3,3,6,3
Alistipes inops,0,0,0,0,1137,2969,6491,4283
Alistipes putredinis,28250,42585,70415,25442,11612,11488,6316,19723
Alistipes senegalensis,1,0,0,1,9,574,522,25
Alistipes shahii,5,13,19,7,1163,3018,9354,4458
Alistipes timonensis,0,0,0,0,23,2,1,1
Allobaculum stercoricanis,0,0,0,0,4,0,0,47
Allofournierella massiliensis,179,495,343,423,7,344,752,26
Alloiococcus otitis,0,0,0,0,0,1,0,0
Alloprevotella rava,0,0,0,0,0,1,1,0
Alloprevotella tannerae,0,0,0,0,25,51,9,14
Alloscardovia criceti,2,0,0,0,3,7,2,6
Alloscardovia omnicolens,0,0,0,0,5,8,3,4
Alterileibacterium massiliense,0,0,0,0,5,4,2,5
Amedibacillus dolichus,18,20,13,16,16,82,459,58
Amphibacillus xylanus,0,6,7,2,0,0,0,0
Amylolactobacillus amylophilus,0,0,0,0,0,1,2,2
Anaerobium acetethylicum,0,0,0,0,0,1,0,0
Anaerobutyricum hallii,2,9,4,33,6156,15457,8653,9807
Anaerococcus lactolyticus,0,0,0,0,0,9,21,2
Anaerococcus mediterraneensis,0,0,0,0,0,0,3,2
Anaerococcus obesiensis,0,0,0,0,0,20,152,19
Anaerococcus prevotii,0,0,0,0,0,3,15,35
