species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Acidaminococcus intestini,0,0,0,0,50,151,654,196
Actinobacillus minor,0,0,0,0,1,0,0,0
Acutalibacter caecimuris,0,0,0,0,0,0,1,0
Adlercreutzia equolifaciens,0,0,0,0,93,231,810,350
Adlercreutzia shanghongiae,0,0,0,0,0,1,0,0
Aerococcus viridans,0,0,0,0,0,0,0,1
Agathobacter rectalis,4836,7428,9931,4396,2086,1859,1039,3362
Agathobaculum butyriciproducens,0,0,0,0,96,455,757,293
Agathobaculum desmolans,0,0,0,0,1,0,0,0
Agathobaculum hominis,0,0,0,0,3,0,0,0
Akkermansia muciniphila,0,0,0,0,812,2123,814,1305
Alistipes finegoldii,1,0,0,0,365,1025,842,568
Alistipes inops,0,0,0,0,0,0,647,428
Alistipes onderdonkii,0,0,0,0,14,0,0,35
Alistipes putredinis,2992,4504,7426,2704,1324,1262,706,2061
Alistipes shahii,0,0,0,0,168,457,1277,578
Alitiscatomonas aceti,0,0,0,0,5,0,1,0
Allobaculum stercoricanis,0,0,0,0,0,3,0,1
Allofournierella massiliensis,0,0,0,0,0,0,3,0
Alloprevotella tannerae,0,0,0,0,1,3,2,5
Alloscardovia omnicolens,0,0,1,0,0,0,0,0
Amedibacillus dolichus,0,0,0,0,7,16,11,0
Amedibacillus hominis,0,0,0,0,0,0,6,0
Anaerobutyricum hallii,0,0,0,0,634,1650,915,980
Anaerococcus jeddahensis,0,0,0,0,0,0,7,0
Anaerococcus rubeinfantis,0,0,0,0,0,0,1,0
Anaerococcus senegalensis,0,0,0,0,0,0,1,0
Anaerococcus urinomassiliensis,0,0,0,0,0,1,0,0
Anaerococcus vaginimassiliensis,0,0,0,0,0,0,7,0
Anaerosacchariphilus hominis,0,0,0,0,3,0,19,0
Anaerostipes amylophilus,0,0,0,0,56,0,0,0
Anaerostipes hadrus,0,0,0,2,689,1945,835,1222
Anaerostipes rhamnosivorans,0,0,0,0,0,1,0,0
Anaerotruncus colihominis,0,0,0,0,0,0,9,29
Angelakisella massiliensis,0,0,0,0,1,0,0,0
Anthropogastromicrobium aceti,0,0,0,0,0,0,13,0
Arabiibacter massiliensis,0,0,0,0,0,0,2,0
Bacteroides acidifaciens,0,0,0,0,0,86,0,0
Bacteroides bouchesdurhonensis,0,0,0,0,21,0,0,0
Bacteroides caccae,0,0,0,0,778,1884,1327,1119
Bacteroides caecigallinarum,0,0,0,0,0,0,22,7
Bacteroides caecimuris,0,0,0,0,0,52,189,55
Bacteroides cellulolyticus,0,0,0,0,0,2,0,3
Bacteroides cellulosilyticus,0,0,0,0,315,998,1443,572
Bacteroides clarus,0,0,0,0,50,142,995,232
Bacteroides congonensis,0,0,0,0,12,17,9,0
Bacteroides eggerthii,0,0,0,0,370,928,1400,619
Bacteroides faecalis,0,0,3,0,0,0,143,0
Bacteroides faecichinchillae,0,0,0,0,1,26,3,0
Bacteroides faecis,0,0,0,0,142,361,1431,479
Bacteroides finegoldii,5,2,0,0,275,879,1749,850
Bacteroides fluxus,0,0,0,0,0,0,2,0
Bacteroides fragilis,0,0,0,0,468,1287,1543,801
Bacteroides gallinarum,1,2,3,1,67,0,8,99
Bacteroides helcogenes,0,0,0,0,3,0,0,0
Bacteroides ilei,0,0,0,0,6,1,0,6
Bacteroides intestinalis,7,3,13,8,322,855,2088,1021
Bacteroides koreensis,20,3,57,3,1075,0,2194,1839
Bacteroides kribbi,0,0,0,0,47,0,0,0
Bacteroides luti,0,0,0,0,0,1,0,0
Bacteroides mediterraneensis,0,0,0,0,0,1,0,9
Bacteroides ndongoniae,0,0,0,0,17,0,5,1
Bacteroides oleiciplenus,1,1,6,1,10,35,0,37
Bacteroides ovatus,0,0,0,0,118,2334,129,113
Bacteroides rhinocerotis,3,0,8,3,0,0,0,0
Bacteroides rodentium,0,2,0,0,1,0,0,0
Bacteroides salyersiae,5,3,1,5,105,275,1675,472
Bacteroides stercorirosoris,0,0,0,0,3,54,0,0
Bacteroides stercoris,150,197,231,16,1034,2334,1213,2097
Bacteroides thetaiotaomicron,0,0,0,0,708,1893,1850,1206
Bacteroides timonensis,0,0,0,0,143,342,456,210
Bacteroides togonis,0,0,0,0,0,13,0,0
Bacteroides uniformis,8445,12637,13041,16441,3691,3496,1255,5744
Bacteroides vicugnae,0,0,0,0,3,8,12,13
Bacteroides xylanisolvens,0,0,0,1,188,558,830,326
Bariatricus massiliensis,0,0,0,0,0,0,1,0
Barnesiella intestinihominis,2,4,3,0,463,1429,1038,714
Barnesiella propionica,0,0,0,0,0,1,0,1
Barnesiella viscericola,0,0,0,0,0,0,0,2
Beduini massiliensis,0,0,0,0,0,0,0,1
Berryella intestinalis,0,0,0,0,0,0,1,0
Bifidobacterium adolescentis,2824,4250,6042,2551,1221,1126,627,1968
Bifidobacterium aerophilum,0,0,0,0,1,0,0,0
Bifidobacterium angulatum,0,1,0,0,50,136,541,197
Bifidobacterium animalis,1,0,0,0,38,99,539,142
Bifidobacterium apis,0,0,0,0,0,1,0,0
Bifidobacterium bifidum,0,0,0,0,165,428,613,265
Bifidobacterium breve,0,0,0,0,0,0,0,1
Bifidobacterium catenulatum,0,0,0,0,62,159,504,284
Bifidobacterium dentium,0,0,0,0,0,0,6,0
Bifidobacterium erythrocebi,0,0,0,0,2,0,0,0
Bifidobacterium longum,0,0,0,0,797,2077,687,1282
Bifidobacterium margollesii,0,0,0,0,0,1,0,0
Bifidobacterium merycicum,0,0,0,0,0,0,36,0
Bifidobacterium pseudocatenulatum,0,0,0,0,155,418,684,213
Bifidobacterium pseudolongum,0,0,0,0,0,0,6,0
Bifidobacterium ruminantium,0,0,0,0,0,0,8,2
Bifidobacterium scardovii,0,0,0,0,0,1,0,0
Blautia acetigignens,0,0,0,0,0,37,0,0
Blautia ammoniilytica,0,0,0,0,0,172,13,0
Blautia aquisgranensis,0,0,0,0,0,47,0,4
Blautia caecimuris,0,0,0,0,0,33,0,0
Blautia difficilis,0,0,0,0,1,0,12,0
Blautia faecicola,0,0,0,0,1,0,0,0
Blautia faecis,0,0,0,0,0,0,0,13
Blautia fusiformis,0,0,0,0,0,0,3,10
Blautia hansenii,0,0,0,0,6,0,0,32
