species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Acetatifactor muris,0,0,0,0,0,0,0,2
Acetivibrio ethanolgignens,0,0,0,0,0,10,0,5
Acidaminococcus intestini,0,0,0,0,48,124,630,189
Acidaminococcus provencensis,0,0,0,0,0,0,1,0
Acidaminococcus timonensis,0,0,0,0,0,0,1,0
Adlercreutzia equolifaciens,0,0,0,0,93,243,810,350
Adlercreutzia mucosicola,0,0,0,0,2,0,0,0
Aerococcus agrisoli,0,0,0,0,0,1,0,0
Agathobacter rectalis,4927,7426,9931,4362,2074,1830,921,3247
Agathobaculum ammoniilyticum,0,0,0,0,0,0,0,11
Agathobaculum butyriciproducens,0,0,0,0,163,464,610,284
Agathobaculum desmolans,0,0,0,0,1,0,1,0
Agathobaculum hominis,0,0,1,0,0,0,0,0
Agathobaculum massiliense,0,0,0,0,0,23,28,0
Akkermansia muciniphila,0,0,0,0,812,2123,814,1305
Alistipes communis,0,0,0,0,0,0,2,3
Alistipes finegoldii,4,0,0,4,446,1096,909,672
Alistipes inops,0,0,0,0,112,294,647,428
Alistipes intestinihominis,0,0,0,0,0,13,0,0
Alistipes megaguti,0,0,0,0,0,6,0,1
Alistipes onderdonkii,0,0,0,0,0,50,81,0
Alistipes provencensis,0,0,0,0,0,0,2,0
Alistipes putredinis,2931,4402,7412,2650,1261,1194,736,2096
Alistipes senegalensis,0,0,0,0,0,0,19,0
Alistipes shahii,0,0,0,0,126,310,1000,533
Alitiscatomonas aceti,0,0,0,0,4,0,0,0
Alloprevotella tannerae,0,0,0,0,0,1,1,1
Amedibacillus dolichus,0,0,0,0,2,4,2,4
Amedibacillus hominis,0,0,1,0,0,0,0,0
Anaerobutyricum hallii,0,0,0,0,639,1688,950,1024
Anaerobutyricum soehngenii,0,0,0,0,0,0,0,2
Anaerococcus faecalis,0,0,0,0,0,0,0,1
Anaerococcus rubeinfantis,0,0,0,0,0,0,0,1
Anaerolactibacter massiliensis,0,0,0,1,0,0,0,0
Anaerosacchariphilus hominis,0,0,0,0,5,0,0,0
Anaerostipes amylophilus,0,0,0,0,0,0,0,88
Anaerostipes butyraticus,0,0,0,0,0,0,1,0
Anaerostipes hadrus,0,0,0,1,745,1944,824,1113
Anaerotignum lactatifermentans,0,0,0,0,0,0,0,2
Anaerotignum neopropionicum,0,0,0,0,0,0,0,1
Anaerotruncus colihominis,0,0,0,0,0,0,2,9
Angelakisella massiliensis,0,0,0,0,0,0,1,0
Bacteroides acidifaciens,0,0,0,0,0,0,0,6
Bacteroides bouchesdurhonensis,0,0,0,0,8,0,0,0
Bacteroides caccae,0,0,0,0,786,2020,1429,1192
Bacteroides caecigallinarum,0,0,0,0,0,0,0,1
Bacteroides caecimuris,0,0,0,0,0,153,0,35
Bacteroides cellulosilyticus,0,0,0,0,462,1210,1775,756
Bacteroides clarus,0,0,0,0,55,150,1075,232
Bacteroides congonensis,0,0,0,0,0,0,2,16
Bacteroides eggerthii,0,0,0,0,348,921,1126,659
Bacteroides faecalis,3,0,0,0,0,13,0,18
Bacteroides faecichinchillae,0,0,0,0,2,0,0,0
Bacteroides faecis,0,0,0,0,242,399,1643,558
Bacteroides finegoldii,8,0,1,1,254,221,1620,752
Bacteroides fluxus,54,0,12,0,0,3,58,0
Bacteroides fragilis,0,0,0,0,477,1239,1462,772
Bacteroides gallinarum,1,0,7,1,0,2,9,13
Bacteroides helcogenes,0,0,0,0,1,0,0,0
Bacteroides intestinalis,17,3,2,1,275,662,1800,943
Bacteroides koreensis,0,29,44,12,0,0,0,0
Bacteroides kribbi,0,0,0,0,804,2200,1571,1312
Bacteroides luhongzhouii,0,0,0,0,0,57,0,48
Bacteroides neonati,0,0,3,0,1,0,0,0
Bacteroides nordii,0,0,0,0,1,0,0,0
Bacteroides oleiciplenus,11,1,0,1,0,1,0,12
Bacteroides ovatus,0,0,0,0,290,659,597,407
Bacteroides parvus,0,1,0,0,1,0,0,0
Bacteroides rhinocerotis,2238,3395,3318,4261,2,892,0,0
Bacteroides rodentium,0,0,0,0,9,0,0,0
Bacteroides salyersiae,0,2,5,3,103,278,1503,395
Bacteroides sp. MSB163,0,0,0,0,0,0,150,0
Bacteroides stercoris,1,3,17,2,1084,2721,1202,1572
Bacteroides thetaiotaomicron,0,0,0,0,684,1979,1816,1198
Bacteroides timonensis,0,0,0,0,67,177,3,104
Bacteroides togonis,0,0,0,0,0,0,1,5
Bacteroides uniformis,6333,9529,9966,12252,3603,2500,1290,5946
Bacteroides vicugnae,0,0,0,0,18,0,0,0
Bacteroides xylanisolvens,0,0,0,0,303,931,1425,468
Bacteroides zhangwenhongii,0,0,0,0,0,0,0,47
Bariatricus massiliensis,0,0,0,0,0,0,4,0
Barnesiella intestinihominis,0,1,7,1,510,1288,1011,757
Barnesiella propionica,0,0,0,0,1,0,0,0
Barnesiella viscericola,0,0,6,0,1,2,0,0
Berryella intestinalis,0,0,0,0,0,1,0,0
Bifidobacterium adolescentis,2825,4250,6042,2550,1222,1126,600,1969
Bifidobacterium angulatum,0,0,1,0,48,139,565,194
Bifidobacterium animalis,0,0,0,1,38,97,540,142
Bifidobacterium asteroides,0,0,0,0,0,1,0,0
Bifidobacterium bifidum,0,0,0,0,165,442,612,268
Bifidobacterium catenulatum,0,0,0,0,82,204,518,282
Bifidobacterium erythrocebi,0,0,0,0,1,0,0,0
Bifidobacterium hominis,0,0,0,0,0,73,0,0
Bifidobacterium longum,0,0,0,0,797,2064,677,1282
Bifidobacterium merycicum,0,0,0,0,3,0,0,0
Bifidobacterium pseudocatenulatum,0,0,0,0,134,298,726,213
Bifidobacterium pseudolongum,0,0,0,0,0,3,6,0
Bifidobacterium ruminantium,0,0,0,0,0,0,5,2
Blautia acetigignens,0,0,0,0,0,0,18,0
Blautia ammoniilytica,0,0,0,0,0,0,73,0
Blautia aquisgranensis,0,0,0,0,0,0,0,8
Blautia caecimuris,0,0,0,0,0,2,0,3
Blautia celeris,0,0,0,0,1,0,0,0
Blautia difficilis,6,0,0,0,27,0,0,0
Blautia faecicola,0,0,0,0,0,0,6,0
Blautia glucerasea,0,3,0,1,0,0,26,0
Blautia hansenii,0,0,0,0,0,27,0,38
Blautia intestinalis,0,0,0,0,4,0,0,0
Blautia intestinihominis,0,0,0,0,0,0,0,1
Blautia luti,0,0,0,7,69,0,0,0
Blautia marasmi,0,0,0,0,0,0,3,0
Blautia obeum,0,0,0,0,475,1231,986,824
Blautia schinkii,0,0,0,0,0,0,2,1
Blautia segnis,0,0,0,0,1,0,0,0
Blautia stercoris,0,0,0,0,0,1,16,0
Blautia wexlerae,0,0,0,0,448,1382,1210,915
Bombiscardovia apis,0,1,0,0,0,0,0,0
Bovifimicola ammoniilytica,0,0,0,0,34,0,0,0
Brotomerdimonas butyrica,0,0,0,0,0,0,0,1
Brotonthovivens ammoniilytica,0,0,0,0,0,0,3,0
Brucella gallinifaecis,0,0,0,0,0,0,0,1
Butyribacter intestini,0,0,0,0,0,0,0,5
Butyricicoccus faecihominis,3,0,2,1,0,0,126,0
Butyricimonas faecalis,0,0,0,0,1,5,0,20
Butyricimonas faecihominis,2,0,1,0,0,0,0,0
Butyricimonas hominis,0,0,1,0,0,0,2,0
Butyricimonas paravirosa,7,21,12,3,11,0,0,0
Candidatus Bacteroides intestinigallinarum,0,0,0,0,0,0,0,86
Candidatus Collinsella stercoripullorum,2,0,0,0,0,0,0,0
Castellaniella caeni,0,0,0,0,0,0,0,1
Catenibacterium faecis,0,0,0,0,9,18,201,63
Catenibacterium tridentinum,0,0,0,0,18,34,48,26
Catenulispora yoronensis,0,0,0,0,0,0,1,11
Catonella morbi,0,0,0,0,0,0,2,0
Christensenella massiliensis,0,0,0,0,0,0,0,1
Chryseobacterium lacus,0,0,0,0,1,0,0,0
Chryseobacterium taklimakanense,0,0,0,0,1,0,0,0
Citrobacter portucalensis,0,0,0,0,0,0,0,2
Claveliimonas bilis,0,0,0,0,2,0,0,0
Claveliimonas monacensis,0,0,0,0,0,0,0,1
[Clostridium] aminophilum,0,3,0,0,0,0,0,0
Clostridium ammoniilyticum,0,0,0,0,0,0,1,0
Clostridium cellulovorans,0,0,0,0,0,0,0,1
Clostridium fessum,1,0,1,1,0,0,0,3
[Clostridium] hylemonae,0,0,0,0,0,0,0,1
[Clostridium] scindens,0,0,0,0,0,0,6,0
Collinsella acetigenes,0,1,0,0,0,0,0,0
Collinsella aerofaciens,3015,4567,7101,2722,1301,1180,687,2087
Collinsella bouchesdurhonensis,0,0,0,0,0,0,10,1
Companilactobacillus alimentarius,0,0,0,0,0,0,1,0
Companilactobacillus musae,0,0,0,0,0,0,1,0
Coprobacillus cateniformis,0,0,0,0,1,1,1,0
Coprococcus aceti,0,0,0,0,0,0,0,87
Coprococcus ammoniilyticus,0,0,0,0,0,0,0,3
Coprococcus catus,0,0,0,0,263,517,875,684
Coprococcus comes,0,0,0,0,535,1536,843,983
Coprococcus eutactus,0,0,0,0,505,1363,840,749
Coprococcus intestinihominis,0,0,0,0,0,0,0,73
Coprococcus phoceensis,0,0,0,0,0,0,30,0
Coprococcus sp. B2-R-112,0,0,0,0,0,0,142,0
Criibacterium bergeronii,0,0,0,0,0,0,0,2
Cryptosporangium minutisporangium,0,0,0,0,0,0,1,1
