species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Acetatifactor muris,0,0,0,0,0,10,5,197
Acetivibrio ethanolgignens,0,0,0,0,0,11,0,0
Acetoanaerobium sticklandii,0,0,0,0,0,0,1,0
Acidaminococcus fermentans,0,0,0,0,0,1,2,2
Acidaminococcus hominis,0,0,0,0,4,0,0,0
Acidaminococcus intestini,0,0,0,0,471,1268,6427,1830
[Acidovorax] ebreus,0,0,0,0,0,0,0,3
Actinobacillus minor,0,0,0,0,0,0,2,0
Actinomyces graevenitzii,0,0,0,0,0,1,0,0
Adlercreutzia equolifaciens,0,0,0,0,930,2431,8095,3502
Adlercreutzia mucosicola,0,0,0,0,0,1,0,0
Adlercreutzia rubneri,0,0,0,0,0,8,0,0
Aedoeadaptatus coxii,0,0,0,0,0,0,1,0
Aedoeadaptatus pacaensis,0,0,0,0,0,4,0,0
Agathobacter rectalis,48327,72910,99328,43667,21018,18868,9875,34013
Agathobaculum ammoniilyticum,0,0,0,0,32,0,0,0
Agathobaculum butyriciproducens,0,0,0,0,1716,4550,7310,3008
Agathobaculum desmolans,0,0,0,0,1,0,0,0
Agathobaculum massiliense,0,0,0,2,0,0,0,0
Akkermansia muciniphila,0,0,0,0,8119,21233,8140,13051
Alistipes finegoldii,0,0,3,0,4243,10906,11126,6791
Alistipes inops,0,0,0,0,1136,2972,99,0
Alistipes intestinihominis,0,0,0,0,0,0,511,0
Alistipes provencensis,0,0,17,4,0,1,0,0
Alistipes putredinis,29872,44963,74172,25872,13284,11420,7510,20489
Alistipes shahii,0,0,0,0,1243,3279,9871,4745
Alistipes timonensis,0,0,0,0,7,0,0,0
Alitiscatomonas aceti,0,0,0,0,117,0,0,0
Alloiococcus otitis,0,0,0,0,0,0,0,1
Alloprevotella tannerae,0,1,1,0,0,10,0,0
Alloscardovia omnicolens,0,0,0,0,0,0,2,2
Amedibacillus dolichus,0,0,0,0,61,121,153,0
Amedibacillus hominis,0,0,1,0,0,1,7,0
Amylolactobacillus amylophilus,0,0,0,0,0,0,0,1
Anaerobutyricum hallii,0,0,0,0,6736,17792,9255,11034
Anaerococcus degeneri,0,0,0,0,0,0,0,3
Anaerococcus hydrogenalis,0,0,0,0,0,2,0,0
Anaerococcus jeddahensis,0,0,0,0,0,9,0,5
Anaerococcus obesiensis,0,0,0,0,0,0,0,9
Anaerococcus prevotii,0,0,0,0,2,2,0,4
Anaerococcus provencensis,0,0,0,0,0,9,0,2
Anaerococcus senegalensis,0,0,0,0,0,1,0,0
Anaerofustis sp. HA2171,0,0,0,0,1,0,0,0
Anaerosacchariphilus hominis,0,0,0,0,0,0,6,0
Anaerosphaera aminiphila,0,0,0,0,0,1,0,4
Anaerostipes amylophilus,0,0,0,0,569,0,0,0
Anaerostipes butyraticus,0,0,0,0,0,0,2,4
Anaerostipes hadrus,0,0,0,0,6927,19442,8257,11992
Anaerostipes rhamnosivorans,0,0,0,0,1,0,0,0
Anaerotruncus colihominis,0,0,0,0,13,0,77,0
Anaerotruncus rubiinfantis,0,0,0,0,0,1,1,0
Arabiibacter massiliensis,0,0,0,0,0,6,0,0
Bacillus methanolicus,0,0,0,0,0,1,0,0
Bacteroides acidifaciens,0,0,0,0,0,159,641,455
Bacteroides caccae,0,0,0,0,7599,18155,13402,11482
Bacteroides caecimuris,0,4,0,0,0,0,0,0
Bacteroides cellulolyticus,0,0,0,0,240,0,0,0
Bacteroides cellulosilyticus,0,0,30,0,4706,8920,12451,6039
Bacteroides clarus,0,0,0,0,530,1394,11108,2118
Bacteroides congonensis,0,0,0,0,115,766,0,365
Bacteroides cutis,0,0,0,2,0,0,0,0
Bacteroides eggerthii,0,0,1,0,3534,9241,11526,5589
Bacteroides faecalis,32,0,3,0,0,0,0,0
Bacteroides faecichinchillae,0,0,0,0,0,350,0,392
Bacteroides faecis,2,2,3,2,1372,3610,19570,5210
Bacteroides finegoldii,42,1035,962,1,3231,5727,17353,8443
Bacteroides fluxus,0,584,0,603,84,0,0,0
Bacteroides fragilis,1,3,0,1,4982,12832,15470,7555
Bacteroides gallinaceum,0,0,0,0,0,3,0,2
Bacteroides gallinarum,0,0,0,0,4,0,189,0
Bacteroides helcogenes,0,0,0,0,1,0,0,0
Prevotella heparinolytica,0,0,0,0,0,1,0,0
Bacteroides humanifaecis,0,0,0,0,0,0,1,1
Bacteroides intestinalis,62,392,492,73,1513,6995,15151,7056
Bacteroides koreensis,0,0,0,0,0,0,22131,0
Bacteroides kribbi,0,0,0,0,0,12337,1,14200
Bacteroides luhongzhouii,0,0,0,0,0,0,1652,0
Bacteroides mediterraneensis,0,0,0,0,1,0,0,0
Bacteroides ndongoniae,0,0,0,0,18,0,0,0
Bacteroides neonati,0,0,0,0,0,0,3,0
Bacteroides nordii,0,47,314,42,130,0,41,0
Bacteroides oleiciplenus,4,0,26,0,0,0,954,13
Bacteroides ovatus,0,0,0,0,11668,5820,1548,4154
Bacteroides parvus,3248,4838,27594,6267,1,0,0,0
Bacteroides propionicigenes,0,0,0,0,0,0,1,0
Bacteroides rhinocerotis,18890,28585,6676,37747,0,0,0,0
Bacteroides rodentium,2,0,8,0,4950,0,272,21
Bacteroides salyersiae,0,0,0,0,1054,2760,15790,3988
Bacteroides sp. MSB163,0,0,0,0,1574,0,0,3222
Bacteroides stercorirosoris,0,8,0,0,225,0,0,0
Bacteroides stercoris,966,1455,1540,23,12426,29741,12814,21040
Bacteroides thetaiotaomicron,0,0,0,0,7021,18185,14840,12210
Bacteroides timonensis,0,0,0,0,0,3459,8027,0
Bacteroides togonis,0,0,0,0,1,19,0,126
Bacteroides uniformis,62880,93217,94592,123126,31385,32330,16687,58073
Bacteroides xylanisolvens,0,8,1,8,2846,17258,8224,4284
Bacteroides zhangwenhongii,0,0,0,0,0,0,1813,2
Baileyella intestinalis,0,0,0,0,0,0,18,11
Bariatricus massiliensis,0,0,0,0,0,4,2,10
Barnesiella intestinihominis,25,41,23,20,5283,13794,8568,8516
Barnesiella viscericola,0,0,0,0,14,1,3,0
Berryella intestinalis,0,0,0,0,0,0,1,0
Bianquea renquensis,0,2,4,0,0,0,0,0
Bifidobacterium adolescentis,28244,42495,60400,25499,12228,11234,6175,19675
Bifidobacterium angulatum,0,8,4,0,468,1391,5690,1988
Bifidobacterium animalis,1,0,1,0,383,998,5488,1438
Bifidobacterium asteroides,0,0,0,0,1,0,1,0
