species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Acetatifactor muris,0,0,0,0,0,0,5,0
Acetitomaculum ruminis,0,0,0,0,1,2,0,4
Acetivibrio ethanolgignens,0,0,0,0,2,71,0,3
Acetobacterium wieringae,0,0,0,0,3,0,0,0
Acidaminococcus fermentans,0,0,0,0,0,1,1,3
Acidaminococcus intestini,0,0,0,0,483,1265,6478,1823
Acidovorax temperans,0,0,0,0,0,0,3,0
Acinetobacter nosocomialis,0,0,0,0,0,2,1,0
Acinetobacter sichuanensis,0,0,0,0,0,0,1,0
Actinobacillus minor,0,0,0,0,0,2,0,0
Actinomyces graevenitzii,1,0,0,0,3,1,0,2
Adlercreutzia equolifaciens,0,0,0,0,929,2053,8095,2882
Adlercreutzia faecimuris,0,0,0,0,1,0,0,0
Adlercreutzia hattorii,0,0,0,0,0,378,0,0
Adlercreutzia rubneri,0,0,0,0,0,0,0,620
Aedoeadaptatus coli,0,0,0,0,0,7,0,0
Agathobacter rectalis,48595,72330,97559,42719,21551,18307,9676,33133
Agathobaculum ammoniilyticum,3,5,1,3,0,0,0,0
Agathobaculum butyriciproducens,0,0,0,0,1764,4687,7328,2968
Agathobaculum massiliense,0,0,0,0,1,389,0,0
Akkermansia muciniphila,0,0,0,0,8119,21233,8140,13049
Algoriphagus aestuariicola,0,0,0,0,0,1,0,0
Algoriphagus oliviformis,0,0,0,0,0,2,0,0
Alistipes finegoldii,0,3,0,0,4685,11284,10061,6538
Alistipes inops,0,0,0,0,1136,12,6501,17
Alistipes megaguti,0,0,0,0,4,0,24,0
Alistipes onderdonkii,0,0,0,0,0,0,0,417
Alistipes provencensis,0,0,0,0,12,12,1,13
Alistipes putredinis,29167,43912,74184,26348,13050,11269,7276,21057
Alistipes senegalensis,0,0,0,0,18,61,0,0
Alistipes shahii,0,2,2,0,1211,3199,9956,4814
Alistipes timonensis,0,0,0,0,6,31,0,0
Alitiscatomonas aceti,0,1,0,1,0,0,0,0
Alkalicoccobacillus porphyridii,0,0,0,0,0,0,1,0
Allobaculum stercoricanis,0,0,0,0,0,1,4,0
Allofournierella massiliensis,0,0,0,0,0,0,0,2
Alloprevotella tannerae,1,0,1,1,3,14,0,3
Amedibacillus dolichus,0,0,2,0,31,60,0,85
Amedibacillus hominis,0,0,0,0,5,0,0,0
Anaerobutyricum hallii,0,0,0,0,6352,16665,9936,10337
Anaerobutyricum soehngenii,0,0,0,0,0,0,18,0
Anaerococcus prevotii,0,0,0,0,1,0,0,0
Anaerofilum hominis,0,0,3,0,0,0,0,0
Anaerostipes faecalis,0,0,0,0,1,3,0,0
Anaerostipes hadrus,0,0,0,0,7486,19776,8248,12145
Anaerotruncus rubiinfantis,0,0,2,0,1,38,0,1
Anaerovibrio slackiae,0,0,0,0,0,0,4,0
Angelakisella massiliensis,0,0,0,0,0,94,0,88
