"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","healthy_stool_10_1","healthy_stool_10_10","healthy_stool_10_100","healthy_stool_10_50","healthy_stool_100_1","healthy_stool_100_10","healthy_stool_100_100","healthy_stool_100_50"
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor muris","Acetatifactor muris",1,0,0,0,0,0,10,5,197
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio ethanolgignens","Acetivibrio ethanolgignens",2,0,0,0,0,0,11,0,0
NA,"Bacillota","Clostridia","Peptostreptococcales","Filifactoraceae","Acetoanaerobium","Acetoanaerobium sticklandii","Acetoanaerobium sticklandii",3,0,0,0,0,0,0,1,0
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus fermentans","Acidaminococcus fermentans",4,0,0,0,0,0,1,2,2
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus hominis","Acidaminococcus hominis",5,0,0,0,0,4,0,0,0
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini","Acidaminococcus intestini",6,0,0,0,0,471,1268,6427,1830
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter","Acidovorax ebreus","[Acidovorax] ebreus",7,0,0,0,0,0,0,0,3
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus minor","Actinobacillus minor",8,0,0,0,0,0,0,2,0
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces graevenitzii","Actinomyces graevenitzii",9,0,0,0,0,0,1,0,0
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens","Adlercreutzia equolifaciens",10,0,0,0,0,930,2431,8095,3502
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia mucosicola","Adlercreutzia mucosicola",11,0,0,0,0,0,1,0,0
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia rubneri","Adlercreutzia rubneri",12,0,0,0,0,0,8,0,0
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Aedoeadaptatus","Aedoeadaptatus coxii","Aedoeadaptatus coxii",13,0,0,0,0,0,0,1,0
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Aedoeadaptatus","Aedoeadaptatus pacaensis","Aedoeadaptatus pacaensis",14,0,0,0,0,0,4,0,0
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter rectalis",15,48327,72910,99328,43667,21018,18868,9875,34013
NA,"Bacillota","Clostridia","Eubacteriales","Butyricicoccaceae","Agathobaculum","Agathobaculum ammoniilyticum","Agathobaculum ammoniilyticum",16,0,0,0,0,32,0,0,0
