"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","healthy_stool_10_1","healthy_stool_10_10","healthy_stool_10_100","healthy_stool_10_50","healthy_stool_100_1","healthy_stool_100_10","healthy_stool_100_100","healthy_stool_100_50"
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor muris","Acetatifactor muris",1,0,0,0,0,0,0,5,0
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Acetitomaculum","Acetitomaculum ruminis","Acetitomaculum ruminis",2,0,0,0,0,1,2,0,4
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio ethanolgignens","Acetivibrio ethanolgignens",3,0,0,0,0,2,71,0,3
NA,"Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Acetobacterium","Acetobacterium wieringae","Acetobacterium wieringae",4,0,0,0,0,3,0,0,0
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus fermentans","Acidaminococcus fermentans",5,0,0,0,0,0,1,1,3
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini","Acidaminococcus intestini",6,0,0,0,0,483,1265,6478,1823
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax temperans","Acidovorax temperans",7,0,0,0,0,0,0,3,0
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter nosocomialis","Acinetobacter nosocomialis",8,0,0,0,0,0,2,1,0
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter sichuanensis","Acinetobacter sichuanensis",9,0,0,0,0,0,0,1,0
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus minor","Actinobacillus minor",10,0,0,0,0,0,2,0,0
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces graevenitzii","Actinomyces graevenitzii",11,1,0,0,0,3,1,0,2
