species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Acetitomaculum ruminis,0,0,0,0,1,17,13,10
Acetivibrio cellulolyticus,0,2,0,0,0,0,5,0
Acetivibrio clariflavus,0,0,0,0,0,0,5,0
Acetivibrio ethanolgignens,6,11,7,10,25,72,105,53
Acetivibrio thermocellus,0,0,0,0,0,0,0,1
Acetoanaerobium sticklandii,0,0,0,0,0,0,4,0
Achromobacter xylosoxidans,0,0,0,0,24,1,8,0
Acidaminococcus fermentans,0,0,0,0,18,9,317,134
Acidaminococcus intestini,0,0,0,0,4765,12485,63289,17966
Acidaminococcus timonensis,0,0,0,0,2,1,37,13
Acidovorax soli,0,0,0,0,3,2,10,5
Acinetobacter baumannii,0,0,0,0,0,0,4,0
Acinetobacter defluvii,0,0,0,0,0,16,0,0
Acinetobacter johnsonii,0,0,0,0,43,122,323,202
Acinetobacter junii,0,0,0,0,0,8,0,0
Actinobacillus succinogenes,0,0,0,0,0,0,1,0
Actinomyces urogenitalis,0,0,0,0,0,0,0,2
Actinophytocola xinjiangensis,0,0,0,0,0,5,0,0
Acutalibacter muris,42,42,27,48,16,17,10,20
Adlercreutzia caecimuris,0,0,0,0,0,0,2,1
Adlercreutzia equolifaciens,0,0,0,0,9304,24306,80990,34807
Adlercreutzia mucosicola,0,0,0,0,2,5,19,221
Aedoeadaptatus coxii,0,0,0,0,0,7,83,12
Aedoeadaptatus urinae,0,0,0,0,0,0,1,1
Aerococcus christensenii,0,0,0,0,3,1,9,1
Aeromonas fluvialis,0,0,0,0,1,1,0,0
Aeromonas schubertii,0,0,0,0,0,0,9,14
Aeromonas simiae,0,0,0,0,0,1,0,0
Agathobacter rectalis,489529,767270,1013723,467454,213416,240112,101070,378794
Agathobaculum desmolans,89,220,146,654,108,387,582,308
Aguilavirus mEp043,0,0,0,0,0,0,8,0
Aguilavirus mEp213,0,0,0,0,3,15,2,3
Akkermansia muciniphila,0,0,0,0,70357,183948,70552,112847
Algoriphagus faecimaris,0,0,0,0,0,0,1,2
Alicycliphilus denitrificans,0,0,0,0,2,22,39,17
Alistipes communis,0,0,0,0,35,557,71,47
Alistipes finegoldii,12,16,43,8,32431,101375,77234,54294
Alistipes ihumii,0,0,0,0,5,27,66,34
Alistipes indistinctus,0,0,0,0,0,0,1,1
Alistipes inops,0,0,0,0,11566,29692,64939,42746
Alistipes putredinis,292403,441190,733714,264830,121195,104493,64397,196331
Alistipes senegalensis,5,5,18,4,2152,272,11298,260
Alistipes shahii,64,88,186,51,14786,31063,102695,68012
Alistipes timonensis,0,0,0,0,5,742,15,14
Alkalibacter saccharofermentans,0,0,0,0,0,0,1,0
Alkalihalobacterium alkalinitrilicum,0,0,0,0,0,0,1,0
Allobaculum stercoricanis,26,62,84,149,2,0,1,127
Allofournierella massiliensis,2006,2923,3003,3222,248,307,61,276
Allofustis seminis,0,0,0,0,0,0,7,1
Alloprevotella rava,0,0,0,0,11,16,12,33
Alloprevotella tannerae,0,0,0,0,16,351,1220,718
Alloscardovia criceti,0,0,0,0,21,54,14,41
Alloscardovia macacae,0,0,0,0,3,0,0,0
Alloscardovia omnicolens,0,0,0,0,38,105,33,57
Alterileibacterium massiliense,0,0,0,0,13,54,30,22
Amedibacillus dolichus,107,197,98,232,338,476,777,904
Amphibacillus xylanus,26,34,0,0,0,0,0,21
Amylolactobacillus amylophilus,0,0,0,0,1,3,7,2
Anaerobium acetethylicum,0,0,0,0,0,2,1,3
Anaerobutyricum hallii,18,179,56,167,59446,164772,95689,113804
Anaerococcus lactolyticus,0,0,0,0,6,5,137,281
Anaerococcus mediterraneensis,0,0,0,0,1,3,47,11
Anaerococcus obesiensis,0,0,0,0,0,15,1506,34
Anaerococcus prevotii,0,0,0,0,28,1,53,14
Anaerococcus provencensis,0,0,0,0,1,13,50,171
Anaerococcus tetradius,0,0,0,0,5,11,54,29
Anaerocolumna aminovalerica,0,0,0,0,0,0,1,0
Anaerosphaera aminiphila,0,0,0,0,14,0,4,1
Anaerostipes caccae,0,0,0,0,73,206,144,114
Anaerostipes hadrus,130,183,109,485,60577,147858,72921,91104
Anaerotignum lactatifermentans,1521,2386,959,1793,26,54,69,4822
Anaerotignum neopropionicum,882,2167,834,2073,160,134,85,230
Anaerotruncus colihominis,1082,1440,2290,3087,272,683,1934,3628
Anaerotruncus rubiinfantis,0,0,1,4,0,40,2,1
Andreesenia angusta,0,0,0,0,221,1535,733,868
Angelakisella massiliensis,704,1028,788,2147,207,234,108,255
Aphanizomenon flos-aquae,0,0,0,0,2,0,0,0
Arthrobacter luteolus,0,0,0,0,0,1,0,7
Asaccharospora irregularis,0,0,0,0,43,112,2,47
Aspergillus clavatus,0,0,0,0,17,55,25,31
Atopobium deltae,0,0,0,0,0,5,4,3
Atopococcus tabaci,0,0,0,0,0,0,7,2
Atopostipes suicloacalis,0,0,0,0,4,0,0,0
Bacillus anthracis,0,0,0,0,0,0,1,0
Bacillus coahuilensis,0,0,0,0,10,105,6,77
Bacillus cytotoxicus,0,0,0,0,1,0,0,0
Bacillus methanolicus,0,0,0,0,0,1,0,0
Bacillus pumilus,0,0,0,0,0,0,1,0
Bacillus smithii,0,0,0,0,0,0,2,0
Bacillus thermotolerans,0,0,252,0,0,0,1,0
Bacillus tuaregi,0,0,0,0,0,0,51,0
Bacteroides caccae,0,0,0,1,68662,183089,125776,108899
Bacteroides cellulosilyticus,704,1134,2106,679,51631,146845,216661,95092
Bacteroides faecichinchillae,315,465,961,365,496,1293,19385,1022
Bacteroides fluxus,8074,12235,3429,7383,15034,2052,2937,2204
Bacteroides fragilis,1540,2173,4619,1428,54852,140398,183346,82382
Bacteroides ihuae,50,58,131,39,24,22,10,31
Bacteroides luti,0,0,0,0,3,7,19,11
Bacteroides neonati,0,0,0,0,0,1,3,1
Bacteroides nordii,71,115,195,63,1005,2722,3449,2125
Bacteroides ovatus,124,188,404,144,123882,326018,265500,203367
Bacteroides propionicifaciens,0,0,0,0,0,0,4,0
Bacteroides reticulotermitis,1,0,3,0,612,901,915,542
Bacteroides salyersiae,506,749,1656,738,10573,26196,140640,36841
Bacteroides stercoris,38,60,138,34,93854,243350,113098,144255
Bacteroides thetaiotaomicron,1943,2896,6374,1857,88106,226170,247673,152209
Bacteroides uniformis,858421,1292099,1328056,1655648,381949,372483,150771,617214
Bariatricus massiliensis,31,44,37,54,61,138,978,251
Barnesiella intestinihominis,0,0,0,0,54266,141775,89731,71137
Barnesiella viscericola,0,0,0,0,21,73,58,15363
Bavariicoccus seileri,0,0,0,0,1,1,5,0
Beduini massiliensis,0,0,0,0,0,0,8,186
Belliella baltica,0,0,0,0,0,0,2,0
Bibersteinia trehalosi,0,0,0,0,2,1,0,0
Bifidobacterium actinocoloniiforme,0,0,17,0,1,0,2,0
Bifidobacterium adolescentis,282218,425032,604243,255015,123378,114441,64839,199611
Bifidobacterium aesculapii,0,0,0,0,9,19,49,27
Bifidobacterium angulatum,8,38,32,19,5316,13850,60906,19695
Bifidobacterium asteroides,1,0,0,0,2,0,0,0
Bifidobacterium biavatii,0,0,0,0,11,64,181,94
Bifidobacterium bifidum,0,0,0,0,15957,40857,58062,24690
Bifidobacterium bohemicum,0,0,0,0,1,0,3,0
Bifidobacterium breve,0,0,0,0,1180,3184,1992,2083
Bifidobacterium callitrichos,0,0,0,0,10,58,28,64
Bifidobacterium choerinum,1,0,0,0,19,24,328,33
Bifidobacterium commune,0,0,0,0,3,0,2,0
Bifidobacterium coryneforme,0,1,0,0,0,1,1,1
Bifidobacterium cuniculi,0,0,0,0,4,26,59,19
Bifidobacterium dentium,0,1,0,0,193,501,1265,621
Bifidobacterium gallicum,0,0,0,0,1,12,17,18
Bifidobacterium lemurum,0,0,0,0,2,6,6,2
Bifidobacterium longum,2,5,2,2,61998,164194,52338,100384
Bifidobacterium magnum,0,0,0,0,0,1,5,3
Bifidobacterium mongoliense,0,0,0,0,0,2,10,6
Bifidobacterium pseudolongum,0,0,0,2,76,214,1071,304
