"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",25217,0.309791154791155,25216.1,0.309787393147289
435590,"Phocaeicola vulgatus",20714,0.254471744471744,20403.9,0.250668414054469
411479,"Bacteroides uniformis",12913,0.158636363636364,13210.5,0.162295558071237
515619,"Agathobacter rectalis",7598,0.0933415233415233,7587.4,0.0932133184959857
411903,"Collinsella aerofaciens",4500,0.0552825552825553,4508.2,0.0553842492417781
445970,"Alistipes putredinis",4331,0.0532063882063882,4357.4,0.0535321944595478
367928,"Bifidobacterium adolescentis",4251,0.0522235872235872,4251,0.0522247993706022
411483,"Faecalibacterium duncaniae",920,0.0113022113022113,909.3,0.0111715197532368
763034,"Bacteroides fluxus",124,0.00152334152334152,122.7,0.00150787083571237
484018,"Phocaeicola plebeius",102,0.00125307125307125,78.6,0.00096526100133659
449673,"Bacteroides stercoris",87,0.00106879606879607,82.5,0.00101325862171155
745368,"Gemmiger formicilis",84,0.00103194103194103,83.2,0.00102176125681725
657308,"Gordonibacter pamelaeae",50,0.000614250614250614,43.9,0.000539235424353052
511680,"Eshraghiella crossota",38,0.000466830466830467,36.8,0.000451781851764856
301302,"Roseburia faecis",32,0.000393120393120393,24.9,0.000305347275141601
999419,"Parabacteroides johnsonii",32,0.000393120393120393,31.4,0.000386006399076955
40520,"Blautia obeum",31,0.000380835380835381,35.4,0.000435248828316193
1121323,"Anaerotignum lactatifermentans",29,0.000356265356265356,26.3,0.000323018552262563
1121101,"Bacteroides salyersiae",26,0.000319410319410319,22.1,0.000271871632259992
585394,"Roseburia hominis",25,0.000307125307125307,30.7,0.000377722758735116
470145,"Phocaeicola coprocola",22,0.00027027027027027,29.4,0.000360672924695947
NA,"unknown genome; accession ID isNZ_GG662007.1",21,0.000257985257985258,16.5,0.000203204334347202
1002367,"Leyella stercorea",16,0.000196560196560197,16.2,0.000198856787959429
1550024,"Ruthenibacterium lactatiformans",14,0.000171990171990172,12.9,0.000158367599720072
226186,"Bacteroides thetaiotaomicron",13,0.00015970515970516,13,0.000159715037217286
