"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",252126,0.309732534655509,252113.8,0.309717579623635
435590,"Phocaeicola vulgatus",207592,0.255023267470258,204136.8,0.250778597337994
411479,"Bacteroides uniformis",128892,0.1583416460691,132343.2,0.162581362790072
515619,"Agathobacter rectalis",76075,0.0934568532159231,76057.5,0.0934353888380598
411903,"Collinsella aerofaciens",45600,0.0560188301892355,45598.3,0.0560167253214973
445970,"Alistipes putredinis",44617,0.0548112312840597,44550.5,0.0547295353528899
367928,"Bifidobacterium adolescentis",42505,0.052216674938453,42504.6,0.0522162185706722
411483,"Faecalibacterium duncaniae",9400,0.0115477413109389,9261.1,0.0113771292723738
763034,"Bacteroides fluxus",1217,0.00149506395483113,1199.5,0.00147356390133625
745368,"Gemmiger formicilis",665,0.000816941273593018,659.8,0.000810533751790387
999419,"Parabacteroides johnsonii",395,0.000485250831683071,385.5,0.000473637760921908
1122981,"Prevotella corporis",394,0.000484022348564886,379.1,0.000465728419770125
411461,"Dorea formicigenerans",331,0.000406627912119232,339.2,0.000416661299999147
226186,"Bacteroides thetaiotaomicron",289,0.000355031621155462,289.7,0.00035584227557281
295405,"Bacteroides fragilis",271,0.000332918925028132,274.5,0.00033722565772896
1123313,"Faecalicoccus pleomorphus",246,0.000302206847073508,240.6,0.000295532244723958
39482,"Faecalicatena contorta",239,0.000293607465246213,240.4,0.000295284580332037
1650663,"Allofournierella massiliensis",226,0.000277637184709808,226.3,0.000278012957855468
742733,"Enterocloster citroniae",225,0.000276408701591623,193.7,0.000237986817291516
40520,"Blautia obeum",221,0.000271494769118883,220.6,0.000270961562960806
622312,"Roseburia inulinivorans",208,0.000255524488582478,206.1,0.000253230533148621
742740,"[Clostridium] symbiosum",190,0.000233411792455148,209,0.000256710799591122
1002367,"Leyella stercorea",159,0.000195328815791413,145.2,0.000178404620878309
1211819,"Holdemania massiliensis",145,0.000178130052136824,140.4,0.000172507194837235
585394,"Roseburia hominis",117,0.000143732524827644,90.9,0.000111639083744323
246787,"Bacteroides cellulosilyticus",107,0.000131447693645794,106.8,0.000131171330060548
796942,"Stomatobaculum longum",87,0.000106878031282094,85.9,0.000105547309890116
1121323,"Anaerotignum lactatifermentans",76,9.33647169820592e-05,63.4,7.78904773069498e-05
411463,"Eubacterium ventriosum",71,8.72223013911343e-05,88.4,0.000108544281059539
411474,"Coprococcus eutactus",69,8.47653351547643e-05,69,8.47655304673084e-05
1121101,"Bacteroides salyersiae",63,7.73944364456544e-05,69.1,8.48764289738142e-05
679190,"Hoylesella buccalis",59,7.24805039729144e-05,69.8,8.57330407420528e-05
NA,"unknown genome; accession ID isNZ_EQ973339.1",56,6.87950546183594e-05,60.2,7.39480657545813e-05
1121094,"Phocaeicola barnesiae",56,6.87950546183594e-05,55.6,6.82806361243863e-05
NA,"unknown genome; accession ID isNZ_DS480350.1",51,6.26526390274345e-05,51.2,6.28542543656075e-05
1408437,"Agathobaculum desmolans",51,6.26526390274345e-05,72.5,8.90933257264332e-05
435591,"Parabacteroides distasonis",50,6.14241559092495e-05,120.1,0.000147481576958711
476272,"Blautia hydrogenotrophica",47,5.77387065546945e-05,43.8,5.38450893845516e-05
1122984,"Prevotella intermedia",43,5.28247740819546e-05,49.7,6.10980693665411e-05
NA,"unknown genome; accession ID isNZ_JNKJ01000020.1",43,5.28247740819546e-05,42.7,5.24012404715369e-05
537007,"Blautia hansenii",42,5.15962909637696e-05,53.1,6.52389063241747e-05
1550024,"Ruthenibacterium lactatiformans",42,5.15962909637696e-05,45.8,5.62938338314635e-05
1236513,"Bacteroides faecichinchillae",40,4.91393247273996e-05,41.9,5.15176096091551e-05
3158780,"Ruminococcus sp. YE282",39,4.79108416092146e-05,39,4.7910841616987e-05
556268,"Oxalobacter paraformigenes",36,4.42253922546596e-05,36.7,4.51197027781439e-05
36847,"Anaerotignum neopropionicum",33,4.05399429001047e-05,40.9,5.02849283692131e-05
1150298,"Fusicatenibacter saccharivorans",33,4.05399429001047e-05,33.3,4.09068811637631e-05
1650661,"Clostridium phoceensis",31,3.80829766637347e-05,42.2,5.18994302466655e-05
1871018,"Angelakisella massiliensis",28,3.43975273091797e-05,28.3,3.47528254285038e-05
28116,"Bacteroides ovatus",23,2.82551117182548e-05,23,2.82554372841737e-05
411471,"Subdoligranulum variabile",23,2.82551117182548e-05,75.2,9.23819062741804e-05
547042,"Phocaeicola coprophilus",23,2.82551117182548e-05,49.7,6.10689105464511e-05
1291050,"Ruminiclostridium josui",21,2.57981454818848e-05,14.7,1.80411183184749e-05
511680,"Eshraghiella crossota",21,2.57981454818848e-05,21.4,2.62982743593316e-05
649756,"Anaerostipes hadrus",19,2.33411792455148e-05,21.9,2.69235532293521e-05
1297617,"Intestinimonas butyriciproducens",19,2.33411792455148e-05,17.5,2.14607597118842e-05
566550,"Hungatella hathewayi",17,2.08842130091448e-05,15.8,1.93535665915006e-05
431947,"Porphyromonas gingivalis",16,1.96557298909598e-05,10.1,1.23972937581876e-05
1235811,"Prevotella disiens",16,1.96557298909598e-05,31.9,3.92361648455087e-05
515620,"Lachnospira eligens",13,1.59702805364049e-05,43.5,5.34350119654138e-05
NA,"unknown genome; accession ID isNZ_CCFE01000031.1",13,1.59702805364049e-05,14,1.72137275029611e-05
NA,"unknown genome; accession ID isNZ_KB822499.1",11,1.35133143000349e-05,11.1,1.35805171251368e-05
717959,"Alistipes shahii",11,1.35133143000349e-05,12.9,1.58947228251463e-05
536231,"Roseburia intestinalis",10,1.22848311818499e-05,8.5,1.04387986280106e-05
997884,"Bacteroides nordii",10,1.22848311818499e-05,10.1,1.23829448767392e-05
1121129,"Butyricimonas synergistica",9,1.10563480636649e-05,9,1.10563480639776e-05
1130798,"Limosilactobacillus mucosae",8,9.82786494547992e-06,8.8,1.08541375891e-05
428127,"Amedibacillus dolichus",7,8.59938182729493e-06,6.9,8.53476374507424e-06
