species,abundance_cols.healthy_stool_10_1_noerr,abundance_cols.healthy_stool_10_10_noerr,abundance_cols.healthy_stool_10_100_noerr,abundance_cols.healthy_stool_10_50_noerr,abundance_cols.healthy_stool_100_1_noerr,abundance_cols.healthy_stool_100_10_noerr,abundance_cols.healthy_stool_100_100_noerr,abundance_cols.healthy_stool_100_50_noerr
Acetivibrio ethanolgignens,0,0,1,0,0,2,5,3
Acidaminococcus intestini,0,0,0,0,48,123,636,181
Acidovorax soli,0,0,0,0,0,0,1,0
Acinetobacter baumannii,0,0,0,0,0,1,0,0
Acinetobacter defluvii,0,0,0,0,0,1,0,0
Acinetobacter johnsonii,0,0,0,0,2,0,3,1
Actinomyces graevenitzii,0,0,0,0,0,1,0,0
Actinophytocola xinjiangensis,0,0,0,0,1,0,0,0
Acutalibacter muris,2,0,0,0,0,0,0,0
Adlercreutzia equolifaciens,0,0,0,0,93,243,810,351
Adlercreutzia mucosicola,7,0,0,0,0,0,0,1
Aedoeadaptatus urinae,0,0,0,0,0,0,1,0
Aerococcus christensenii,0,0,0,0,1,0,0,0
Aerococcus viridans,0,0,0,0,0,1,0,1
Agathobacter rectalis,4706,7598,9714,4595,1994,1894,989,3287
Agathobaculum desmolans,0,0,0,0,2,4,1,1
Akkermansia muciniphila,0,0,0,0,698,1851,697,1119
Alicycliphilus denitrificans,0,0,0,0,0,0,1,0
Alistipes communis,0,0,0,0,0,3,1,1
Alistipes finegoldii,0,0,0,0,320,896,816,502
Alistipes ihumii,0,0,0,0,0,0,2,0
Alistipes inops,0,0,0,0,112,294,647,428
Alistipes putredinis,2893,4331,7269,2620,1242,1126,732,2037
Alistipes senegalensis,0,0,0,0,2,7,9,6
Alistipes shahii,3,4,0,1,184,328,942,498
Alistipes timonensis,0,0,0,0,0,1,15,0
Allobaculum stercoricanis,0,0,0,0,0,1,0,0
Allofournierella massiliensis,3,4,2,4,1,0,0,3
Alloprevotella rava,0,0,0,0,0,0,1,0
Alloprevotella tannerae,0,0,0,0,0,2,3,1
Alloscardovia criceti,0,0,0,0,0,2,0,1
Alloscardovia omnicolens,0,0,0,0,0,1,1,0
Alterileibacterium massiliense,0,0,0,0,1,0,0,1
Amedibacillus dolichus,3,1,0,0,6,7,5,6
Amphibacillus xylanus,0,0,0,1,0,0,0,0
Amylolactobacillus amylophilus,0,1,0,0,0,0,1,0
Anaerobutyricum hallii,0,0,0,0,622,1640,1053,999
Anaerococcus lactolyticus,0,0,0,0,0,0,0,2
Anaerococcus obesiensis,0,0,0,0,0,0,3,0
Anaerococcus prevotii,0,0,0,0,0,0,1,0
Anaerococcus tetradius,0,0,0,0,0,0,1,0
Anaerostipes caccae,0,0,0,0,1,2,0,1
Anaerostipes hadrus,0,1,2,2,588,1472,643,922
Anaerotignum lactatifermentans,14,29,13,8,9,56,26,9
Anaerotignum neopropionicum,1,6,4,7,9,2,1,4
Anaerotruncus colihominis,4,4,1,1,3,6,17,9
Anaerotruncus rubiinfantis,0,0,1,0,0,0,0,0
Andreesenia angusta,0,0,0,0,3,0,0,0
Angelakisella massiliensis,8,0,0,3,0,1,7,0
Aquabacterium parvum,0,0,0,0,2,0,0,0
Aspergillus clavatus,0,0,0,0,3,0,0,0
Atopococcus tabaci,0,0,0,0,0,0,1,1
Bacillus coahuilensis,0,0,0,0,1,1,0,0
Bacillus tuaregi,0,0,0,0,1,0,0,0
Bacteroides caccae,0,0,0,0,626,1627,1171,1025
Bacteroides cellulosilyticus,6,13,16,11,512,1304,1940,974
Bacteroides faecichinchillae,4,6,9,1,26,19,13,9
Bacteroides fluxus,13,124,260,80,8,17,21,21
Bacteroides fragilis,4,7,12,4,435,1164,1408,793
Bacteroides ihuae,0,0,0,0,0,0,0,1
Bacteroides nordii,7,6,17,4,25,37,48,35
Bacteroides ovatus,4,1,4,0,1160,3058,2445,1889
Bacteroides reticulotermitis,0,0,0,0,6,14,11,6
Bacteroides salyersiae,13,26,49,18,118,259,1353,376
Bacteroides stercoris,0,87,97,1,945,3109,1441,1586
Bacteroides thetaiotaomicron,8,13,68,9,839,2089,2357,1389
Bacteroides uniformis,8582,12913,13256,16546,3766,3360,1430,6039
Bariatricus massiliensis,1,0,0,0,0,1,4,2
Barnesiella intestinihominis,34,0,0,31,557,1329,918,830
Barnesiella viscericola,0,0,0,0,0,0,3,3
Bibersteinia trehalosi,0,0,0,0,0,0,0,1
Bifidobacterium adolescentis,2825,4251,6042,2551,1218,1147,698,1934
Bifidobacterium angulatum,0,0,1,0,52,140,576,234
Bifidobacterium biavatii,0,0,0,0,0,3,2,0
Bifidobacterium bifidum,0,0,0,0,152,406,580,255
Bifidobacterium bombi,0,0,0,0,0,1,0,0
Bifidobacterium breve,0,0,0,0,11,36,62,15
Bifidobacterium callitrichos,0,0,0,0,1,0,0,0
Bifidobacterium crudilactis,0,0,0,0,0,0,0,1
Bifidobacterium cuniculi,0,0,0,0,0,0,2,0
Bifidobacterium dentium,0,0,0,0,1,3,13,8
