species,abundance_cols.healthy_stool_10_1_noerr,abundance_cols.healthy_stool_10_10_noerr,abundance_cols.healthy_stool_10_100_noerr,abundance_cols.healthy_stool_10_50_noerr,abundance_cols.healthy_stool_100_1_noerr,abundance_cols.healthy_stool_100_10_noerr,abundance_cols.healthy_stool_100_100_noerr,abundance_cols.healthy_stool_100_50_noerr
Acetitomaculum ruminis,0,0,0,0,11,14,15,7
Acetivibrio cellulolyticus,0,0,0,0,0,0,3,0
Acetivibrio clariflavus,0,0,0,0,0,0,8,0
Acetivibrio ethanolgignens,2,14,3,10,72,112,74,71
Acetoanaerobium sticklandii,0,0,0,0,0,0,0,4
Achromobacter xylosoxidans,0,0,0,0,2,0,3,0
Acidaminococcus fermentans,0,0,0,0,57,154,93,10
Acidaminococcus intestini,0,0,0,0,4774,12469,63262,18039
Acidaminococcus timonensis,0,0,0,0,2,0,33,59
Acidovorax soli,0,0,0,0,0,5,28,9
Acinetobacter johnsonii,0,0,0,0,25,76,194,116
Actinomadura mexicana,0,0,0,0,0,0,0,1
Actinomyces graevenitzii,0,0,0,0,0,0,1,0
Actinophytocola xinjiangensis,0,0,0,0,0,2,0,0
Actinotignum schaalii,0,0,0,0,0,0,1,0
Acutalibacter muris,18,25,57,35,12,19,4,22
Adlercreutzia caecimuris,0,0,0,0,0,0,19,1
Adlercreutzia equolifaciens,0,0,0,0,9288,24121,80880,35050
Adlercreutzia mucosicola,0,0,0,0,1,198,1,14
Aedoeadaptatus coxii,0,0,0,0,0,1,111,15
Aedoeadaptatus urinae,0,0,0,0,0,0,0,4
Aerococcus christensenii,0,0,0,0,8,0,6,0
Aerococcus suis,0,0,0,0,0,0,27,0
Aerococcus viridans,0,0,0,0,0,0,3,0
Aeromonas salmonicida,0,0,0,0,0,0,1,2
Aeromonas schubertii,0,0,0,0,0,1,0,1
Agathobacter rectalis,505742,752306,980614,435547,205102,224594,103779,361594
Agathobaculum desmolans,18,23,13,68,149,419,452,298
Aguilavirus mEp043,0,0,0,0,0,0,13,0
Aguilavirus mEp213,0,0,0,0,30,58,0,9
Akkermansia muciniphila,0,0,0,0,69989,182978,70178,112271
Algoriphagus faecimaris,0,0,0,0,3,0,0,0
Alicycliphilus denitrificans,0,0,0,0,2,9,52,20
Alistipes communis,0,0,0,0,60,134,119,135
Alistipes finegoldii,12,10,31,6,32603,88990,82719,55919
Alistipes ihumii,0,0,0,0,4,37,64,33
Alistipes indistinctus,0,0,0,0,0,0,2,1
Alistipes inops,0,0,0,0,11355,29716,64983,42803
Alistipes putredinis,296857,437780,737855,267958,124457,111092,69092,202117
