"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","healthy_stool_10_1","healthy_stool_10_10","healthy_stool_10_100","healthy_stool_10_50","healthy_stool_100_1","healthy_stool_100_10","healthy_stool_100_100","healthy_stool_100_50"
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio ethanolgignens","Acetivibrio ethanolgignens",1,1,0,4,1,7,1,0,2
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus fermentans","Acidaminococcus fermentans",2,0,0,0,0,0,0,1,1
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini","Acidaminococcus intestini",3,0,0,0,0,48,124,637,181
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter defluvii","Acinetobacter defluvii",4,0,0,0,0,0,0,1,0
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter johnsonii","Acinetobacter johnsonii",5,0,0,0,0,2,1,5,1
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter junii","Acinetobacter junii",6,0,0,0,0,0,0,4,0
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter schindleri","Acinetobacter schindleri",7,0,0,0,0,0,0,1,0
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces graevenitzii","Actinomyces graevenitzii",8,0,0,0,0,2,0,0,0
NA,"Bacillota","Clostridia","Eubacteriales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris","Acutalibacter muris",9,2,0,0,1,0,0,0,0
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens","Adlercreutzia equolifaciens",10,0,0,0,0,93,243,810,350
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia mucosicola","Adlercreutzia mucosicola",11,0,0,0,0,0,1,0,1
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus christensenii","Aerococcus christensenii",12,0,0,0,0,0,1,0,0
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus viridans","Aerococcus viridans",13,0,0,0,0,0,0,0,1
